"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.444691664E-2,-9.501219651E-1,-6.384808660E-1,1.320690719E0
2.444091666E-2,-4.539743149E-1,-8.121320611E-1,1.301603068E0
3.443491663E-2,7.415760487E-2,-6.645541853E-1,1.242548529E0
4.442891665E-2,8.409465551E-3,1.862689018E-1,1.148811815E0
5.442291667E-2,1.335963061E-1,3.445477670E-1,1.052167865E0
6.441691663E-2,3.703781345E-1,2.306843519E-1,9.007939768E-1
7.441091666E-2,5.927565166E-1,1.192229730E-1,6.738459957E-1
8.440591663E-2,6.971489042E-1,-2.065119624E-2,4.006336749E-1
9.439991665E-2,5.745342538E-1,-1.739418018E-1,1.398104346E-1
1.043939167E-1,3.220444652E-1,-2.672744733E-1,-2.469041627E-2
1.143879166E-1,-1.029343843E-2,-2.096004617E-1,-1.526847609E-1
1.243819167E-1,-3.803110921E-1,-1.245380920E-1,-2.474822330E-1
1.343759166E-1,-6.544224223E-1,-1.218442798E-1,-3.553786011E-1
1.443699166E-1,-8.403460461E-1,-1.719502401E-1,-4.408555019E-1
1.543649167E-1,-9.858633631E-1,-2.296552420E-1,-5.663940525E-1
1.643589166E-1,-1.071136233E0,-2.543000865E-1,-6.567148232E-1
1.743529167E-1,-1.111088795E0,-2.334910154E-1,-7.355072236E-1
1.843469166E-1,-1.054441555E0,-2.982863510E-1,-8.290275908E-1
1.943409166E-1,-1.026880119E0,-3.195251924E-1,-8.956846797E-1
2.043349167E-1,-1.064975021E0,-2.215597719E-1,-8.827108777E-1
2.143289166E-1,-1.080645267E0,-8.114181161E-2,-7.727621734E-1
2.243229166E-1,-1.007571151E0,-2.781929791E-2,-6.713609290E-1
2.343179166E-1,-8.795025104E-1,-3.285141170E-2,-4.996422752E-1
2.443119166E-1,-7.342579660E-1,-4.474932611E-2,-3.328258173E-1
2.543059167E-1,-6.422084659E-1,-7.717330635E-2,-1.390117049E-1
2.642999166E-1,-5.927699652E-1,-1.202819037E-1,9.981193464E-2
2.742939166E-1,-5.274021873E-1,-1.681741083E-1,3.303186043E-1
2.842879167E-1,-4.148371464E-1,-2.339845204E-1,5.342483997E-1
2.942819166E-1,-2.799038744E-1,-3.247993809E-1,6.987294066E-1
3.042769167E-1,-1.689921337E-1,-5.129148334E-1,7.821060240E-1
3.142709166E-1,-3.301396430E-2,-8.899450529E-1,8.341216850E-1
3.242649166E-1,-1.452980465E-1,-3.925387895E-1,7.770715714E-1
3.342589166E-1,-5.703686973E-1,4.512676388E-1,7.044854057E-1
3.442529166E-1,-5.248750207E-1,6.093383431E-3,7.180778432E-1
3.542469167E-1,-2.689254346E-1,-3.489460427E-1,5.127692743E-1
3.642409166E-1,-1.168101195E-1,-4.338563848E-1,2.270684703E-1
3.742359166E-1,-1.762359568E-1,-3.556633240E-1,3.749472219E-2
3.842299166E-1,-2.930913922E-1,-2.055460024E-1,-6.702542704E-2
3.942239166E-1,-4.006488776E-1,-1.262957650E-1,-1.222278023E-1
4.042179167E-1,-4.833279222E-1,-5.674430430E-2,-1.266986382E-1
4.142119166E-1,-4.910637885E-1,-1.298549652E-2,-1.561265051E-1
4.242059166E-1,-4.533729288E-1,1.564188659E-2,-1.900613876E-1
4.341999167E-1,-4.113837808E-1,2.589673340E-2,-1.896673036E-1
4.441949166E-1,-3.614880279E-1,5.500358820E-2,-1.784336694E-1
4.541889167E-1,-3.254601163E-1,3.066396832E-2,-1.436216497E-1
4.641829166E-1,-2.433333412E-1,-3.032541454E-2,-9.266437132E-2
4.741769166E-1,-1.627522776E-1,-6.573439837E-2,-2.316549897E-2
4.841709167E-1,-1.123276439E-1,-8.208906054E-2,7.238034368E-2
4.941649166E-1,-6.250410408E-2,-5.726879954E-2,1.893702285E-1
5.041589167E-1,-4.368074745E-2,-5.361370504E-2,2.654167764E-1
5.141539166E-1,-1.034226269E-2,-1.005229926E-1,3.370463741E-1
5.241479166E-1,6.432229578E-3,-1.459546888E-1,3.831692111E-1
5.341419167E-1,7.440494210E-2,-1.569193876E-1,3.692820740E-1
5.441359166E-1,6.435182422E-2,-1.286937082E-1,3.731739807E-1
5.541299167E-1,3.942280501E-2,-1.103030455E-1,3.894690378E-1
5.641239166E-1,1.479053199E-3,-6.622907281E-2,3.227218286E-1
5.741179166E-1,-8.942702383E-2,4.888272285E-3,2.475851075E-1
5.841119167E-1,-1.940954000E-1,8.120320737E-2,1.739558351E-1
5.941069166E-1,-2.542842990E-1,5.398441851E-2,9.325843016E-2
