"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.440189166E-1,-3.726478666E-2,-1.720901579E-2,-3.348418977E-3
7.540129166E-1,-3.221436962E-2,-2.528345399E-2,-1.108543389E-2
7.640069167E-1,-2.185335010E-2,-1.753513888E-2,-1.041970681E-2
7.740009166E-1,-1.259779930E-2,-7.179704029E-3,-9.611437097E-3
7.839949167E-1,-1.032819040E-3,1.355103496E-2,-1.228378061E-2
7.939889166E-1,1.179695874E-2,4.875269905E-2,-1.703352667E-2
8.039829166E-1,1.647686400E-2,6.610187143E-2,-2.187987231E-2
8.139779167E-1,1.742255315E-2,6.137848645E-2,-2.433610521E-2
8.239719166E-1,2.170874737E-2,3.783346713E-2,-1.928739995E-2
8.339659167E-1,2.625369653E-2,1.996951550E-2,-2.271462232E-2
8.439599166E-1,2.954979055E-2,8.502567187E-3,-2.278331853E-2
8.539539166E-1,2.574892715E-2,7.108935155E-3,-2.594315819E-2
8.639479167E-1,1.577948406E-2,1.193236187E-2,-2.626541443E-2
8.739419166E-1,-3.504996421E-3,3.154707327E-2,-2.488696203E-2
8.839369167E-1,-2.388091199E-2,4.641098529E-2,-2.213237807E-2
8.939305416E-1,-4.598168656E-2,6.079445034E-2,-2.196007222E-2
9.039245417E-1,-6.264790893E-2,6.640252471E-2,-1.320371311E-2
9.139185416E-1,-8.172865957E-2,6.792612374E-2,-9.731749073E-3
9.239125416E-1,-9.329240769E-2,6.228128448E-2,-2.136642113E-3
9.339065416E-1,-1.023431644E-1,5.765910074E-2,1.166598871E-2
9.439005416E-1,-1.025622115E-1,5.412145332E-2,2.587693371E-2
9.538945417E-1,-1.046181694E-1,4.947743192E-2,3.515645117E-2
9.638895416E-1,-1.039116606E-1,4.967246205E-2,4.971322790E-2
9.738835417E-1,-9.584814310E-2,6.134056672E-2,5.915546417E-2
9.838775416E-1,-9.572301060E-2,7.302226126E-2,6.308739632E-2
9.938715416E-1,-8.742513508E-2,9.309557080E-2,6.411723793E-2
1.003865542E0,-8.575516194E-2,1.090487987E-1,5.682418495E-2
1.013859542E0,-7.456189394E-2,1.119782776E-1,4.309052974E-2
1.023853542E0,-6.545328349E-2,1.075129434E-1,2.943269536E-2
1.033848542E0,-4.935580492E-2,9.808455408E-2,1.199591625E-2
1.043842542E0,-2.959109657E-2,7.638788223E-2,-1.817506272E-3
1.053836542E0,-1.155057549E-2,4.989662394E-2,-1.226029359E-2
1.063830542E0,6.798909046E-3,2.726648375E-2,-1.673933864E-2
1.073824542E0,1.947102882E-2,4.742532503E-3,-1.827358454E-2
1.083818542E0,2.407860383E-2,-8.781985380E-3,-1.826227456E-2
1.093812542E0,3.005021065E-2,-5.520678125E-3,-1.380574144E-2
1.103806542E0,2.718025260E-2,1.585287787E-2,-8.835965768E-3
1.113801542E0,1.910581440E-2,3.296262398E-2,-2.758897841E-3
1.123795542E0,1.361459726E-3,5.708716065E-2,4.715190735E-4
1.133789542E0,-1.491737925E-2,7.385974377E-2,6.077473052E-3
1.143783542E0,-3.167674318E-2,9.211729467E-2,8.614474908E-3
1.153777542E0,-4.821790382E-2,1.068965048E-1,1.254769694E-2
1.163771542E0,-5.636630952E-2,1.139684469E-1,1.330006681E-2
1.173765542E0,-6.975535303E-2,1.180177853E-1,1.336637884E-2
1.183760542E0,-7.209473848E-2,1.131559983E-1,9.117811918E-3
1.193754542E0,-7.890417427E-2,1.028503627E-1,5.206427537E-3
1.203748542E0,-7.496949285E-2,8.774580806E-2,1.087634009E-3
1.213742542E0,-7.273057103E-2,6.983711571E-2,-2.188853221E-3
1.223736542E0,-6.562583148E-2,5.310368165E-2,-2.436488401E-3
1.233730542E0,-5.587892234E-2,3.780781478E-2,-1.981620677E-3
1.243724542E0,-4.941053316E-2,3.592761233E-2,-2.031537006E-3
1.253718542E0,-3.590750694E-2,3.426899761E-2,2.477727365E-3
1.263713542E0,-2.551775239E-2,3.765228018E-2,3.320922609E-3
1.273707542E0,-1.476683654E-2,4.690303653E-2,9.401718155E-3
1.283701542E0,-8.743068203E-3,5.393032357E-2,1.519040298E-2
1.293695542E0,-5.456194282E-3,6.554888934E-2,1.691027358E-2
1.303689542E0,-1.175763085E-2,7.763555646E-2,2.016513795E-2
1.313683542E0,-1.478937268E-2,7.988193631E-2,2.038777806E-2
1.323677542E0,-1.926381513E-2,7.554133236E-2,1.847373694E-2
1.333671542E0,-2.462182939E-2,6.441251189E-2,1.742871292E-2
1.343666542E0,-3.137117252E-2,4.847633466E-2,1.247594319E-2
1.353660542E0,-3.798140585E-2,3.817682341E-2,1.069535315E-2
1.363654542E0,-4.333266616E-2,2.916052006E-2,6.609887816E-3
1.373648542E0,-4.702806845E-2,2.272792161E-2,7.415760309E-3
1.383642542E0,-5.258132517E-2,1.811000332E-2,6.708995905E-3
1.393636542E0,-5.018607900E-2,1.986928843E-2,6.276764907E-3
1.403630542E0,-4.866058379E-2,1.943793520E-2,3.412660444E-3
1.413624542E0,-4.433507472E-2,2.255756035E-2,2.148724161E-3
1.423619542E0,-3.670041636E-2,2.277931198E-2,-6.474184338E-4
1.433613542E0,-2.488663420E-2,2.353991009E-2,1.157672144E-3
1.443607542E0,-9.658792987E-3,2.673349343E-2,-1.795555232E-3
1.453601542E0,1.440196997E-3,2.516835369E-2,-2.261608606E-3
1.463595542E0,1.974336989E-2,1.805603132E-2,-2.537752502E-3
1.473589542E0,2.282517962E-2,1.822700538E-2,-8.956473321E-4
1.483583542E0,3.022184782E-2,9.645849466E-3,-2.739022020E-4
1.493577542E0,2.763059177E-2,8.176317438E-3,1.687249634E-3
1.503572542E0,2.255969308E-2,3.407496959E-3,2.327640308E-3
1.513566542E0,1.122474670E-2,2.942775376E-3,1.781958505E-3
1.523560542E0,-4.251163045E-4,-1.770580886E-3,2.386055421E-4
1.533554542E0,-1.249962207E-2,1.412163023E-3,-4.748163745E-3
1.543548542E0,-2.571932226E-2,4.363748245E-3,-9.325832129E-3
1.553542542E0,-3.253754601E-2,1.314738672E-2,-6.610473618E-3
1.563536542E0,-3.909527883E-2,2.036534809E-2,-5.281062331E-3
1.573531542E0,-4.388843477E-2,2.822300419E-2,1.896033064E-4
1.583525542E0,-4.114767537E-2,3.118922375E-2,6.837270223E-3
1.593519542E0,-3.675425798E-2,3.225768730E-2,1.411648840E-2
1.603513542E0,-2.817781083E-2,4.093772545E-2,1.869020052E-2
1.613507542E0,-2.519427240E-2,4.798471555E-2,2.482425980E-2
1.623501542E0,-1.828869618E-2,5.301383138E-2,2.958386205E-2
1.633495542E0,-1.024648175E-2,5.159915984E-2,2.760007232E-2
1.643489542E0,-1.144247223E-2,4.844703898E-2,2.566311881E-2
1.653484542E0,-1.230080891E-2,3.734431788E-2,1.972773112E-2
1.663478542E0,-1.748218946E-2,2.703486942E-2,1.651598327E-2
1.673472542E0,-1.774291322E-2,5.991103593E-3,1.432952937E-2
1.683466542E0,-1.541781425E-2,-1.873607188E-2,7.082916796E-3
1.693460542E0,-2.067862265E-2,-3.523462266E-2,1.690814621E-3
1.703454542E0,-1.423726417E-2,-3.750994429E-2,3.462551162E-3
1.713448542E0,-1.805463992E-2,-3.206085041E-2,5.099862814E-3
1.723442542E0,-1.612278260E-2,-2.427323163E-2,3.408222692E-3
1.733437542E0,-1.558375824E-2,-1.803664118E-2,3.911027685E-3
1.743431542E0,-1.105911843E-2,-1.515829191E-2,-1.420810353E-3
1.753425542E0,-4.221452400E-3,-2.093815058E-2,-3.052262589E-3
1.763419542E0,1.088913344E-2,-3.590423986E-2,-1.012686267E-2
1.773413542E0,1.922509447E-2,-4.977691174E-2,-1.765641756E-2
1.783407542E0,2.936348133E-2,-6.325490028E-2,-1.820103452E-2
1.793401542E0,3.416409343E-2,-7.434909791E-2,-1.690300927E-2
1.803395542E0,3.616715223E-2,-7.982987165E-2,-1.840484142E-2
1.813390542E0,3.898983449E-2,-7.570357621E-2,-1.577310450E-2
1.823384542E0,4.069157690E-2,-6.665389985E-2,-1.836116984E-2
1.833378542E0,3.802415356E-2,-5.649606884E-2,-1.556351688E-2
1.843372542E0,3.207780421E-2,-4.475507513E-2,-1.702918112E-2
1.853366542E0,2.700448409E-2,-3.565025702E-2,-1.778205670E-2
1.863360542E0,2.311084792E-2,-3.298798949E-2,-1.269870438E-2
1.873354542E0,2.132067084E-2,-2.280299738E-2,-4.197627306E-3
1.883348542E0,1.719192974E-2,-1.125108451E-2,-1.417678548E-3
1.893344167E0,1.077158190E-2,-1.042337436E-2,4.708657041E-3
1.903338167E0,1.184300706E-2,-1.363221928E-2,1.062190160E-2
1.913332167E0,2.590119839E-3,-1.892099157E-2,1.130100712E-2
1.923326167E0,-1.209613401E-3,-2.565727755E-2,2.249456570E-2
1.933320167E0,-4.620856605E-3,-3.068745509E-2,2.467888966E-2
1.943314167E0,-8.015214466E-3,-3.924126923E-2,2.706283703E-2
1.953308167E0,-1.564330608E-2,-3.448592871E-2,3.184613958E-2
1.963302167E0,-1.570439339E-2,-2.711181343E-2,3.461610526E-2
1.973296167E0,-2.015853114E-2,-1.326284278E-2,3.692986071E-2
1.983291167E0,-2.270780876E-2,4.698403645E-3,3.525155038E-2
1.993285167E0,-1.735671982E-2,9.504344314E-3,3.426271677E-2
2.003279167E0,-1.355952490E-2,9.594456293E-3,3.058475628E-2
2.013273167E0,-6.962875370E-3,4.024720751E-3,2.914904617E-2
2.023267167E0,-3.355163150E-3,-2.542465460E-3,2.695313655E-2
2.033261167E0,6.478026509E-3,-9.920753539E-3,2.262843028E-2
2.043255167E0,1.162702497E-2,-1.359200571E-2,1.778021269E-2
2.053249167E0,1.262970455E-2,-1.193072554E-2,1.543583162E-2
2.063244167E0,1.010360196E-2,-3.864104161E-3,6.204692647E-3
2.073238167E0,9.583486244E-3,8.734778501E-3,4.420108162E-3
2.083232167E0,4.443373531E-3,1.274125464E-2,-1.524368534E-3
2.093226167E0,4.103554413E-3,1.975122653E-2,-7.912226953E-3
2.103220167E0,3.773427103E-3,2.754202858E-2,-1.318220608E-2
2.113214167E0,3.997665364E-3,3.080866300E-2,-1.849521138E-2
2.123208167E0,4.471850581E-3,2.650285512E-2,-2.377295308E-2
2.133202167E0,6.923823152E-3,1.738605648E-2,-2.031377330E-2
2.143197167E0,9.298664518E-3,1.082020998E-2,-2.300171368E-2
2.153191167E0,8.121015504E-3,2.135641407E-3,-2.178065479E-2
2.163185167E0,3.712389618E-3,-3.427347867E-3,-1.553613879E-2
2.173179167E0,-2.757494105E-3,-4.485421814E-3,-1.395342126E-2
2.183173167E0,-1.542528812E-2,-1.481464598E-3,-7.493898738E-3
2.193167167E0,-2.374526858E-2,8.462245576E-3,-1.035200432E-3
2.203161167E0,-3.492888063E-2,2.491037361E-2,1.692168531E-3
2.213155167E0,-4.485048726E-2,3.912339732E-2,2.153694397E-3
2.223150167E0,-5.130200461E-2,4.227542877E-2,3.282977268E-3
2.233144167E0,-5.199469253E-2,4.382485524E-2,-4.648892209E-4
2.243138167E0,-4.770806804E-2,4.235585779E-2,1.499191974E-3
2.253132167E0,-4.556369409E-2,4.087300971E-2,4.944789689E-3
2.263126167E0,-3.400481120E-2,3.708413243E-2,4.187957849E-3
2.273120167E0,-3.302716464E-2,3.441511095E-2,2.351974603E-3
2.283114167E0,-1.796068996E-2,3.607709706E-2,9.408995509E-3
2.293108167E0,-9.472396225E-3,5.133488029E-2,1.512387302E-2
2.303103167E0,2.059660386E-3,6.652581692E-2,2.157986909E-2
2.313097167E0,7.603297010E-3,8.103391528E-2,2.459270321E-2
2.323091167E0,9.890326299E-3,9.227690101E-2,2.701449208E-2
2.333085167E0,1.177371386E-2,9.943387657E-2,2.692634054E-2
2.343079167E0,7.814579643E-3,1.034983099E-1,2.694729529E-2
2.353073167E0,3.521930194E-5,1.000204906E-1,2.507136390E-2
2.363067167E0,-1.379513741E-2,8.839054406E-2,1.987200975E-2
2.373061167E0,-2.824438550E-2,7.214712352E-2,1.918145269E-2
2.383055167E0,-4.808173701E-2,5.632875115E-2,1.471692882E-2
2.393050167E0,-6.540559977E-2,4.349045083E-2,1.374034770E-2
2.403044167E0,-8.085379750E-2,3.672255948E-2,1.166441292E-2
2.413038167E0,-9.903919697E-2,4.030477628E-2,1.288813539E-2
2.423032167E0,-1.097673103E-1,4.302768037E-2,1.050781552E-2
2.433026167E0,-1.104440168E-1,4.752789065E-2,9.258793667E-3
2.443020167E0,-1.028399393E-1,4.167026654E-2,8.596765809E-3
2.453014167E0,-9.253643453E-2,4.046492279E-2,1.912498032E-3
2.463008167E0,-6.994099915E-2,3.228209168E-2,-3.213665914E-3
2.473003167E0,-4.847165570E-2,2.301455848E-2,-1.114642434E-2
2.482997167E0,-1.952942088E-2,6.980907638E-3,-1.707166433E-2
2.492991167E0,1.224860083E-3,-1.144364011E-2,-2.361798286E-2
2.502985167E0,1.761738583E-2,-2.691758238E-2,-3.091990016E-2
2.512979167E0,3.487946466E-2,-3.062097542E-2,-3.644782305E-2
2.522973167E0,4.597708583E-2,-2.802066319E-2,-4.385456815E-2
2.532967167E0,5.071857944E-2,-2.102959901E-2,-4.064173251E-2
2.542961167E0,4.779173434E-2,-1.760202274E-2,-3.579590842E-2
2.552955167E0,4.168377444E-2,-1.121123508E-2,-3.284086287E-2
2.562950167E0,3.171349689E-2,-1.465485897E-3,-2.896966971E-2
2.572944167E0,2.369019203E-2,7.231599651E-3,-2.249046415E-2
2.582938167E0,1.122928411E-2,1.220061816E-2,-1.344353799E-2
2.592932167E0,3.525292035E-3,7.987497374E-3,-4.668689333E-3
2.602926167E0,-7.650023792E-3,8.150478825E-3,3.427204909E-3
2.612920167E0,-1.504056156E-2,-2.052091062E-3,1.105795987E-2
2.622914167E0,-2.781969681E-2,-4.828080069E-3,1.614445634E-2
2.632908167E0,-4.235868901E-2,-8.219881915E-3,2.139407955E-2
2.642903167E0,-5.096254498E-2,-2.918505576E-3,2.810274810E-2
2.652897167E0,-5.283634365E-2,2.004140429E-2,2.961888723E-2
2.662891167E0,-4.960334301E-2,3.097271174E-2,1.950870082E-2
2.672885167E0,-6.020378694E-2,-2.451024717E-3,1.892733201E-2
2.682879167E0,-3.979593143E-2,-1.747995801E-2,3.150157630E-2
2.692873167E0,-1.662323438E-2,-8.105365559E-3,3.981542960E-2
2.702867167E0,-1.259084977E-2,3.325008322E-3,3.590307385E-2
2.712861167E0,-1.487264596E-2,1.302131172E-2,3.205027431E-2
2.722855167E0,-1.340093743E-2,1.256866660E-2,2.573950775E-2
2.732850167E0,-1.000647247E-2,9.227198549E-3,1.989706606E-2
2.742844167E0,-8.054528385E-3,5.912537221E-3,1.678302325E-2
