"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.049166597E-4,2.097737732E0,-9.916129303E0,7.457492065E-1
1.069991663E-2,2.397863617E0,-9.956245880E0,7.379653931E-1
2.069391665E-2,2.999163208E0,-1.016835480E1,7.105723572E-1
3.068791662E-2,3.182681580E0,-9.495354309E0,6.316864014E-1
4.068191664E-2,3.106939087E0,-8.941655731E0,5.528004456E-1
5.067591666E-2,3.338507538E0,-9.018446045E0,4.620890808E-1
6.066991662E-2,3.559747467E0,-9.114246826E0,2.974314880E-1
7.066391665E-2,3.751049652E0,-9.253307648E0,6.301895142E-2
8.065891662E-2,3.758085022E0,-9.389674072E0,-1.755848694E-1
9.065291664E-2,3.574267273E0,-9.534123688E0,-3.655398560E-1
1.006469167E-1,3.299738159E0,-9.541308746E0,-4.825964355E-1
1.106409166E-1,2.965034180E0,-9.450447693E0,-5.581892395E-1
1.206349166E-1,2.631378021E0,-9.382039948E0,-6.331832886E-1
1.306289167E-1,2.453697510E0,-9.419013062E0,-6.978488159E-1
1.406229166E-1,2.293680267E0,-9.462273102E0,-7.780819702E-1
1.506179167E-1,2.187850342E0,-9.506580963E0,-8.725355530E-1
1.606119166E-1,2.140249329E0,-9.495503998E0,-9.370513916E-1
1.706059166E-1,2.153272247E0,-9.513915710E0,-1.014590149E0
1.805999167E-1,2.220632172E0,-9.572593689E0,-1.101559296E0
1.905939166E-1,2.223027191E0,-9.529782715E0,-1.144370270E0
2.005879167E-1,2.177222443E0,-9.385931854E0,-1.085841980E0
2.105819166E-1,2.193388824E0,-9.294621735E0,-9.928852844E-1
2.205759166E-1,2.302062836E0,-9.275611267E0,-8.837622070E-1
2.305709167E-1,2.431393890E0,-9.289083252E0,-7.333250427E-1
2.405649166E-1,2.556383972E0,-9.316176910E0,-5.873785400E-1
2.505589167E-1,2.616858215E0,-9.359436951E0,-3.936813354E-1
2.605529166E-1,2.646646271E0,-9.398356018E0,-1.772314453E-1
2.705469166E-1,2.738405457E0,-9.465266876E0,1.871109009E-2
2.805409167E-1,2.853965149E0,-9.531429291E0,2.010319519E-1
2.905349166E-1,2.969524841E0,-9.668843536E0,3.106040955E-1
