"Time (s)","X (hPa)"
-5.715898334E-1,1.015560303E3
4.289231666E-1,1.015558853E3
1.429434167E0,1.015557404E3
2.429940167E0,1.015554581E3
3.430442167E0,1.015551071E3
3.788034167E0,1.015548553E3
4.855253167E0,1.015547485E3
5.922471167E0,1.015545731E3
6.989699167E0,1.015543594E3
8.056915167E0,1.015540390E3
9.124155167E0,1.015537033E3
1.019137617E1,1.015532608E3
1.125855017E1,1.015529938E3
1.232571917E1,1.015526276E3
1.339292817E1,1.015523605E3
1.446012917E1,1.015522995E3
1.552728317E1,1.015521851E3
1.659442017E1,1.015520782E3
1.766160917E1,1.015519791E3
1.872883417E1,1.015518265E3
1.979603717E1,1.015515823E3
2.086315217E1,1.015514526E3
2.193032817E1,1.015510941E3
2.299746417E1,1.015509491E3
2.406467017E1,1.015507736E3
2.513182017E1,1.015507736E3
2.619900117E1,1.015508347E3
2.726615517E1,1.015509109E3
2.833329217E1,1.015511398E3
2.940043517E1,1.015513306E3
3.046760717E1,1.015515594E3
3.153478917E1,1.015518875E3
3.260193417E1,1.015522919E3
3.366907517E1,1.015525208E3
3.473619117E1,1.015529480E3
3.580330317E1,1.015533676E3
3.687040317E1,1.015536346E3
3.793751817E1,1.015538101E3
3.900459817E1,1.015539780E3
4.007169617E1,1.015539780E3
4.113881917E1,1.015538483E3
4.220588417E1,1.015536423E3
4.327300517E1,1.015536346E3
4.434015717E1,1.015534897E3
4.540730817E1,1.015534515E3
4.647445717E1,1.015534134E3
4.754164017E1,1.015533066E3
4.860871617E1,1.015529938E3
4.967580217E1,1.015527802E3
5.074286617E1,1.015526352E3
5.180994617E1,1.015523758E3
5.287708617E1,1.015523376E3
5.394417517E1,1.015523376E3
5.501122817E1,1.015521317E3
5.607831517E1,1.015519791E3
5.714534817E1,1.015518951E3
5.821235217E1,1.015517731E3
5.927937317E1,1.015514374E3
6.034641917E1,1.015511932E3
6.141344417E1,1.015511093E3
6.248049217E1,1.015507736E3
6.354752517E1,1.015506897E3
6.461450817E1,1.015506058E3
6.568149517E1,1.015505295E3
6.674851817E1,1.015505066E3
6.781553517E1,1.015503616E3
6.888254717E1,1.015503616E3
6.994954517E1,1.015503311E3
7.101658817E1,1.015503006E3
7.208358917E1,1.015502777E3
7.500598421E1,1.015471497E3
7.600639721E1,1.015469055E3
7.700681421E1,1.015469513E3
7.800723521E1,1.015468674E3
7.900762521E1,1.015469513E3
7.936533821E1,1.015470047E3
8.043246221E1,1.015470886E3
8.149960421E1,1.015470047E3
8.256669121E1,1.015465927E3
8.363374721E1,1.015462036E3
8.470077821E1,1.015456772E3
8.576781521E1,1.015452423E3
8.683487621E1,1.015447540E3
8.790192321E1,1.015447540E3
8.896899121E1,1.015447540E3
9.003608021E1,1.015447540E3
9.110317621E1,1.015443573E3
9.217027421E1,1.015443573E3
9.323737621E1,1.015443573E3
9.430446521E1,1.015441437E3
9.537152921E1,1.015441437E3
9.643859521E1,1.015442276E3
9.750565521E1,1.015442276E3
9.857265821E1,1.015439987E3
9.963968121E1,1.015439987E3
1.007067322E2,1.015440369E3
1.017737702E2,1.015441666E3
1.028407732E2,1.015441666E3
1.039077252E2,1.015439148E3
1.049747452E2,1.015437469E3
1.060417582E2,1.015435638E3
1.071087342E2,1.015430298E3
1.081757282E2,1.015428238E3
1.092427352E2,1.015422516E3
1.103097062E2,1.015420837E3
1.113767072E2,1.015412064E3
1.124436982E2,1.015412064E3
1.135106942E2,1.015412445E3
1.145776882E2,1.015420456E3
1.156446692E2,1.015427094E3
1.167116502E2,1.015438995E3
1.177786482E2,1.015442581E3
1.188456492E2,1.015442581E3
1.199126822E2,1.015440445E3
1.209796762E2,1.015437698E3
1.220466292E2,1.015434952E3
1.231136212E2,1.015434113E3
1.241806222E2,1.015434036E3
1.252476602E2,1.015434036E3
1.263146262E2,1.015433655E3
1.273816392E2,1.015433655E3
1.284485932E2,1.015433197E3
1.295156262E2,1.015434265E3
1.305826542E2,1.015434494E3
1.316496632E2,1.015437698E3
1.327166572E2,1.015442047E3
1.337836032E2,1.015445480E3
1.348505502E2,1.015449066E3
1.359174762E2,1.015450974E3
1.369844552E2,1.015450974E3
1.399500070E2,1.015439148E3
1.409502220E2,1.015440445E3
1.419504380E2,1.015441589E3
1.429506380E2,1.015441742E3
1.439508820E2,1.015442352E3
1.443088460E2,1.015448837E3
1.453757660E2,1.015449905E3
1.464427170E2,1.015449905E3
1.475096460E2,1.015451126E3
1.485766030E2,1.015451813E3
1.496435930E2,1.015452652E3
1.507104970E2,1.015455627E3
1.517774180E2,1.015456009E3
1.528443560E2,1.015460815E3
1.539112330E2,1.015464020E3
1.549781440E2,1.015464401E3
1.560450410E2,1.015465622E3
1.571119850E2,1.015472794E3
1.581789010E2,1.015473480E3
1.592458170E2,1.015473480E3
1.603127190E2,1.015472260E3
1.613795950E2,1.015469666E3
1.624464560E2,1.015467377E3
1.635133140E2,1.015467377E3
1.645802180E2,1.015469742E3
1.656470980E2,1.015472565E3
1.667139620E2,1.015472565E3
1.677808320E2,1.015466766E3
1.688476770E2,1.015466156E3
1.699145360E2,1.015460663E3
1.709814240E2,1.015453873E3
1.720483200E2,1.015446930E3
1.731151740E2,1.015445099E3
1.741820450E2,1.015444870E3
1.752488940E2,1.015444870E3
1.763157740E2,1.015448685E3
1.773825980E2,1.015448990E3
1.784494040E2,1.015450058E3
1.795162050E2,1.015450058E3
1.805830630E2,1.015448380E3
1.816499390E2,1.015442123E3
1.827168250E2,1.015436249E3
1.837837140E2,1.015432358E3
1.848506470E2,1.015428391E3
1.859175430E2,1.015423813E3
1.869843540E2,1.015423813E3
1.880511870E2,1.015426102E3
1.891180780E2,1.015428009E3
1.901849160E2,1.015430298E3
1.925713320E2,1.015394516E3
1.935716220E2,1.015411835E3
1.945718480E2,1.015429077E3
1.965485287E2,1.015407410E3
1.975486697E2,1.015409775E3
1.985488627E2,1.015412140E3
1.995490707E2,1.015422440E3
2.005492707E2,1.015442734E3
2.009072417E2,1.015456619E3
2.019740927E2,1.015458679E3
2.030409617E2,1.015469284E3
2.041078397E2,1.015478897E3
2.051746947E2,1.015483093E3
2.062415357E2,1.015484467E3
2.073083557E2,1.015485077E3
2.083752347E2,1.015485077E3
2.094420987E2,1.015483780E3
2.105089837E2,1.015482788E3
2.115758617E2,1.015482788E3
2.126427287E2,1.015483170E3
2.137096037E2,1.015485458E3
2.147764907E2,1.015488815E3
2.158434067E2,1.015488815E3
2.169103867E2,1.015483780E3
2.179773697E2,1.015473557E3
2.190442837E2,1.015470581E3
2.201112217E2,1.015466766E3
2.211781067E2,1.015463638E3
2.222450277E2,1.015463638E3
2.233119397E2,1.015474243E3
2.243789107E2,1.015479202E3
2.254458207E2,1.015481262E3
2.265127727E2,1.015488586E3
2.275796797E2,1.015490570E3
2.286465927E2,1.015490723E3
2.297135207E2,1.015492249E3
2.307804957E2,1.015492249E3
2.318474637E2,1.015490875E3
2.329144677E2,1.015490875E3
2.339814527E2,1.015490875E3
2.350484187E2,1.015485916E3
2.361154177E2,1.015478134E3
2.371824407E2,1.015473557E3
2.382493967E2,1.015468445E3
2.393163597E2,1.015468445E3
2.403832837E2,1.015468674E3
2.414502397E2,1.015475006E3
2.425171527E2,1.015481873E3
2.435840767E2,1.015485916E3
2.446510137E2,1.015486984E3
2.457179257E2,1.015486984E3
2.467848057E2,1.015484161E3
2.478517367E2,1.015480270E3
2.489186857E2,1.015479813E3
2.499856037E2,1.015477295E3
2.510525117E2,1.015475616E3
2.521194477E2,1.015473709E3
2.531863427E2,1.015471344E3
2.542532777E2,1.015467529E3
2.553202167E2,1.015466309E3
2.563870987E2,1.015463638E3
2.574539927E2,1.015463333E3
2.585209057E2,1.015463562E3
2.595878327E2,1.015463409E3
2.606547937E2,1.015463562E3
2.617217527E2,1.015466156E3
2.627886487E2,1.015467377E3
2.638555607E2,1.015469742E3
2.649225017E2,1.015472641E3
2.659894437E2,1.015474472E3
2.670564067E2,1.015476685E3
2.681233517E2,1.015479736E3
2.691903147E2,1.015480804E3
2.702572847E2,1.015481491E3
2.713242457E2,1.015481720E3
2.723911747E2,1.015481720E3
2.734581507E2,1.015479584E3
2.745251217E2,1.015475998E3
2.755921137E2,1.015473099E3
2.766590727E2,1.015469437E3
2.777260377E2,1.015466156E3
2.787930177E2,1.015465088E3
2.798599627E2,1.015464630E3
2.828811101E2,1.015402832E3
2.838814141E2,1.015400391E3
2.848816641E2,1.015397873E3
2.858819441E2,1.015397873E3
2.868822121E2,1.015412369E3
2.872400561E2,1.015428772E3
2.883070151E2,1.015431061E3
2.893740061E2,1.015445023E3
2.904409901E2,1.015459747E3
2.915080421E2,1.015467529E3
2.925750591E2,1.015470123E3
2.936420771E2,1.015470505E3
2.947090991E2,1.015470886E3
2.957760981E2,1.015470886E3
2.968431281E2,1.015470123E3
2.979101361E2,1.015468826E3
2.989771471E2,1.015467758E3
3.000441131E2,1.015463181E3
3.011111451E2,1.015458755E3
3.021781831E2,1.015457077E3
3.032452411E2,1.015455551E3
3.043122811E2,1.015455322E3
3.053792861E2,1.015454712E3
3.064463121E2,1.015452042E3
3.075133331E2,1.015450897E3
3.085803651E2,1.015449524E3
3.096474081E2,1.015448456E3
3.107143811E2,1.015448456E3
3.117813871E2,1.015448151E3
3.128483451E2,1.015446548E3
3.139153421E2,1.015446472E3
3.149823501E2,1.015445404E3
3.160493171E2,1.015445404E3
3.171162731E2,1.015445404E3
3.181832341E2,1.015447540E3
3.192501701E2,1.015449524E3
3.203171151E2,1.015450668E3
3.213840461E2,1.015454025E3
3.224509661E2,1.015455170E3
3.235179081E2,1.015455627E3
3.245848341E2,1.015455627E3
3.256517701E2,1.015455627E3
3.267187101E2,1.015451965E3
3.277856391E2,1.015450516E3
3.288525751E2,1.015446548E3
3.299194831E2,1.015442963E3
3.309864101E2,1.015440369E3
3.320534011E2,1.015439301E3
3.331204061E2,1.015437241E3
3.341873921E2,1.015437088E3
3.352543451E2,1.015435333E3
3.363212911E2,1.015433197E3
3.373882571E2,1.015430756E3
3.384552181E2,1.015429077E3
3.395221841E2,1.015429077E3
3.405891551E2,1.015430908E3
3.416561421E2,1.015434036E3
3.427231751E2,1.015435944E3
3.437902581E2,1.015436172E3
3.448572721E2,1.015435944E3
3.477269713E2,1.015337982E3
3.487273103E2,1.015340424E3
3.497276213E2,1.015342789E3
3.507279553E2,1.015357666E3
3.519976801E2,1.015343552E3
3.529979931E2,1.015347290E3
3.539982301E2,1.015351105E3
3.549985131E2,1.015355377E3
3.559987841E2,1.015355835E3
3.563567291E2,1.015361023E3
3.574237431E2,1.015361252E3
3.584908001E2,1.015362473E3
3.595578461E2,1.015363388E3
3.606248041E2,1.015363617E3
3.616917281E2,1.015363617E3
3.627586691E2,1.015363388E3
3.638255861E2,1.015363007E3
3.648925641E2,1.015361938E3
3.659595001E2,1.015360413E3
3.670264571E2,1.015360413E3
3.680934911E2,1.015360413E3
3.691605161E2,1.015359421E3
3.702275591E2,1.015359421E3
3.712945871E2,1.015361023E3
3.723616341E2,1.015361023E3
3.734286761E2,1.015359650E3
3.744956781E2,1.015358963E3
3.755626481E2,1.015357285E3
3.766296021E2,1.015355988E3
3.776965631E2,1.015354538E3
3.787635011E2,1.015354156E3
3.798304361E2,1.015353622E3
3.808973721E2,1.015352859E3
3.819643311E2,1.015352783E3
3.830312941E2,1.015351639E3
3.840982431E2,1.015351334E3
3.851651771E2,1.015351334E3
3.862321751E2,1.015351410E3
3.872991461E2,1.015351410E3
3.883660621E2,1.015351410E3
3.894330541E2,1.015351105E3
3.904999881E2,1.015350342E3
3.915668561E2,1.015349884E3
3.926337991E2,1.015348053E3
3.937007421E2,1.015347137E3
3.947676661E2,1.015347137E3
3.974439439E2,1.015313034E3
3.984442359E2,1.015311890E3
3.994445729E2,1.015313034E3
4.004448769E2,1.015346222E3
4.014452139E2,1.015369720E3
4.031725943E2,1.015317612E3
4.041728743E2,1.015315933E3
4.051731403E2,1.015314255E3
4.061734273E2,1.015309830E3
4.071736953E2,1.015306778E3
4.075316123E2,1.015305328E3
4.085985853E2,1.015305252E3
4.096655433E2,1.015304413E3
