"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.601202500E-1,-1.599518657E-1,-1.003445834E-1,2.509587817E-2
7.701132500E-1,-1.292363107E-1,-1.224644482E-1,1.816774905E-2
7.801062500E-1,-8.531891555E-2,-1.356457621E-1,1.777306944E-2
7.900992500E-1,-5.464025587E-2,-1.174854934E-1,1.934259757E-2
8.000922500E-1,-4.608964548E-2,-6.860450655E-2,2.493763342E-2
8.100852500E-1,-6.780755520E-2,1.367249247E-2,2.856953070E-2
8.200782500E-1,-1.139161959E-1,1.101881117E-1,2.830534615E-2
8.300712500E-1,-1.713712513E-1,2.191157937E-1,2.574976906E-2
8.400642500E-1,-2.282353342E-1,3.227585554E-1,2.644804865E-2
8.500572500E-1,-2.634401619E-1,4.205688834E-1,2.598999254E-2
8.600502500E-1,-2.849963307E-1,4.942313731E-1,2.505176142E-2
8.700432500E-1,-2.651404142E-1,5.363966227E-1,1.339267753E-2
8.800362500E-1,-2.343859673E-1,5.733929873E-1,-8.077460341E-3
8.900292500E-1,-2.218501121E-1,6.499461532E-1,-4.737485945E-2
9.000222500E-1,-2.657541931E-1,7.861562371E-1,-1.065335199E-1
9.100152500E-1,-3.744348586E-1,9.887771010E-1,-1.748619676E-1
9.200082500E-1,-5.137296319E-1,1.232623100E0,-2.381943315E-1
9.300012500E-1,-6.443049312E-1,1.465636134E0,-2.789359689E-1
9.399942500E-1,-7.210968733E-1,1.627544880E0,-2.961911261E-1
9.499872500E-1,-7.299872041E-1,1.712401152E0,-3.004610240E-1
9.599802500E-1,-6.833541989E-1,1.728419542E0,-2.947272360E-1
9.699732500E-1,-6.282959580E-1,1.689156175E0,-2.613427043E-1
9.799662500E-1,-5.765011907E-1,1.575752854E0,-2.212240696E-1
9.899592500E-1,-5.250788331E-1,1.385598302E0,-1.781566143E-1
9.999522500E-1,-5.034960508E-1,1.138029456E0,-1.320029646E-1
1.009945250E0,-5.354251862E-1,8.755434752E-1,-4.288248718E-2
1.019938250E0,-6.079598069E-1,6.796514392E-1,4.767244309E-2
1.029931250E0,-6.798636913E-1,5.578971505E-1,1.383669674E-1
1.039924250E0,-7.151718736E-1,4.848408401E-1,2.306276560E-1
1.049917250E0,-7.299656868E-1,4.501269162E-1,2.917498946E-1
1.059910250E0,-7.481817007E-1,4.260128140E-1,3.076995611E-1
1.069903250E0,-7.522727251E-1,4.187112153E-1,3.101393282E-1
1.079896250E0,-7.304909825E-1,4.207810163E-1,3.089036345E-1
1.089889250E0,-6.556743979E-1,4.376795292E-1,2.984824479E-1
1.099882250E0,-5.530313849E-1,4.664967954E-1,2.630269825E-1
1.109875250E0,-4.452532232E-1,4.800872505E-1,2.200089544E-1
1.119868250E0,-3.489112556E-1,4.556665719E-1,1.853380650E-1
1.129862250E0,-2.883818448E-1,4.136718214E-1,1.582732499E-1
1.139855250E0,-2.472866029E-1,3.875043988E-1,1.256692261E-1
1.149848250E0,-2.314248085E-1,3.889802694E-1,8.604024351E-2
1.159841250E0,-2.425104827E-1,3.905510008E-1,5.893246830E-2
1.169834250E0,-2.779466212E-1,3.583377600E-1,4.085400328E-2
1.179827250E0,-3.359153867E-1,3.057951629E-1,2.017615363E-2
1.189820250E0,-4.128489196E-1,2.284977585E-1,1.825773343E-2
1.199813250E0,-4.905003011E-1,1.472854614E-1,2.851010486E-2
1.209806250E0,-5.530899167E-1,5.457721651E-2,4.786914960E-2
1.219799250E0,-6.009528041E-1,-2.985138074E-2,7.321045548E-2
1.229792250E0,-6.107314229E-1,-1.238455623E-1,1.025095806E-1
1.239785375E0,-5.727656484E-1,-2.239724249E-1,1.318030208E-1
1.249778375E0,-4.939481020E-1,-2.954599857E-1,1.499833465E-1
1.259771375E0,-4.233881831E-1,-3.025184274E-1,1.609805971E-1
1.269764375E0,-3.898547590E-1,-2.116973996E-1,1.825398654E-1
1.279757375E0,-4.080595970E-1,-1.034971550E-1,2.066590488E-1
1.289750375E0,-4.479527771E-1,-6.536597013E-2,2.553075254E-1
1.299743375E0,-4.856809974E-1,-1.050744951E-1,3.065249026E-1
1.309736375E0,-4.707245231E-1,-1.698489189E-1,3.378888965E-1
1.319729375E0,-3.830652535E-1,-1.857591867E-1,3.244433701E-1
1.329722375E0,-2.307421863E-1,-1.777677238E-1,2.954830527E-1
1.339715375E0,-5.575918779E-2,-1.386344284E-1,2.492148876E-1
1.349708375E0,1.083155945E-1,-7.003539801E-2,1.956520081E-1
1.359701375E0,2.354391962E-1,3.262249054E-3,1.336182058E-1
1.369694375E0,3.300308585E-1,3.280351311E-2,7.064941525E-2
1.379687375E0,3.982341588E-1,6.127162371E-3,1.716089249E-2
1.389680375E0,4.178464711E-1,-9.352535009E-2,-2.686178498E-2
1.399673375E0,3.872014880E-1,-2.372226119E-1,-5.523643270E-2
1.409666375E0,3.054280579E-1,-3.769784272E-1,-6.655851007E-2
1.419659375E0,2.176681012E-1,-4.841535985E-1,-5.397639796E-2
1.429652375E0,1.688453555E-1,-5.654234886E-1,-2.491575107E-2
1.439645375E0,1.788156927E-1,-6.169388890E-1,1.544312295E-2
1.449638375E0,2.274233550E-1,-6.421278119E-1,3.768129274E-2
1.459631375E0,2.869338393E-1,-6.417655945E-1,4.900052771E-2
1.469624375E0,3.363839090E-1,-5.825011730E-1,4.947358742E-2
1.479617375E0,3.841522336E-1,-4.802139103E-1,4.666022584E-2
1.489610375E0,4.531140924E-1,-3.567954004E-1,4.010816291E-2
1.499603375E0,5.323908329E-1,-2.300933897E-1,2.776840702E-2
1.509596375E0,6.263847351E-1,-1.336760968E-1,2.354431665E-3
1.519589375E0,7.295665145E-1,-8.337217569E-2,-2.750652842E-2
1.529582375E0,8.106199503E-1,-4.065868258E-2,-5.896651000E-2
1.539575375E0,8.653708100E-1,2.315947320E-3,-7.611460239E-2
1.549568375E0,8.984374404E-1,1.492408663E-2,-8.540390432E-2
1.559561375E0,9.341768026E-1,-1.117356122E-2,-8.052019775E-2
1.569554375E0,9.943915606E-1,-9.707569331E-2,-7.119204849E-2
1.579547375E0,1.069559813E0,-2.276339829E-1,-6.545027345E-2
1.589540375E0,1.133893728E0,-3.503590226E-1,-7.853691280E-2
1.599533375E0,1.163503528E0,-4.122522175E-1,-1.155987903E-1
1.609526375E0,1.125149727E0,-3.463203311E-1,-1.415467709E-1
1.619519375E0,1.010339022E0,-1.676464528E-1,-1.295979619E-1
1.629512375E0,8.510085344E-1,-4.257128388E-2,-1.353657991E-1
1.639505375E0,6.282767057E-1,-1.244080602E-3,-1.437907070E-1
1.649498375E0,3.996652365E-1,4.445724562E-2,-1.751789302E-1
1.659491375E0,2.975100875E-1,1.492145360E-1,-1.802977920E-1
1.669484375E0,2.939596474E-1,2.530813813E-1,-2.007428557E-1
1.679478375E0,3.173755109E-1,3.529640436E-1,-2.497402281E-1
1.689471375E0,3.660358787E-1,4.744320512E-1,-2.749878466E-1
1.699464375E0,4.625981152E-1,5.483171940E-1,-2.484960407E-1
1.709457375E0,5.709743500E-1,5.729272962E-1,-2.028096169E-1
1.719450375E0,6.245400906E-1,5.186384916E-1,-1.741984785E-1
1.729443375E0,6.596911550E-1,5.170271397E-1,-1.502481401E-1
1.739436375E0,7.018849254E-1,6.018552184E-1,-8.861700445E-2
1.749429375E0,7.087290883E-1,6.749630570E-1,-2.105444297E-2
1.759422375E0,6.627101898E-1,7.354461551E-1,3.598647192E-2
1.769415375E0,5.877047181E-1,7.500261068E-1,6.213795394E-2
1.779408375E0,5.081574321E-1,6.832979321E-1,6.034618244E-2
1.789401375E0,4.836484492E-1,5.508592129E-1,4.967073724E-2
1.799394375E0,5.491973758E-1,4.064737856E-1,4.813755676E-2
1.809387375E0,6.879777312E-1,2.619800866E-1,7.846675068E-2
1.819380375E0,8.263238668E-1,1.715966612E-1,1.151944026E-1
1.829373375E0,9.187809229E-1,1.671975404E-1,1.421427727E-1
1.839366375E0,9.719091654E-1,2.587237060E-1,1.591305435E-1
1.849359375E0,9.885349274E-1,3.945323229E-1,1.823963672E-1
1.859352375E0,9.591796994E-1,5.245673060E-1,1.821950227E-1
1.869345375E0,9.151422381E-1,6.340485811E-1,1.594201028E-1
1.879338375E0,8.726831675E-1,6.818799973E-1,1.022164747E-1
1.889331375E0,8.366521001E-1,6.920245290E-1,1.756615564E-2
1.899324375E0,8.485090137E-1,6.677581072E-1,-8.315353096E-2
1.909317375E0,8.839032650E-1,6.129271984E-1,-1.830339432E-1
1.919310375E0,9.249989986E-1,5.760778189E-1,-2.720445096E-1
1.929303375E0,9.612828493E-1,5.629530549E-1,-3.340700269E-1
1.939296375E0,9.921429753E-1,5.518324971E-1,-3.701984882E-1
1.949289375E0,1.018225193E0,5.361719131E-1,-3.717330992E-1
1.959282375E0,1.038765073E0,4.925703406E-1,-3.442045450E-1
1.969275375E0,1.056259394E0,4.032063782E-1,-3.135465086E-1
1.979268375E0,1.054847836E0,2.809081674E-1,-2.870432436E-1
1.989261375E0,1.018476367E0,1.514433622E-1,-2.498067319E-1
1.999254375E0,9.603320956E-1,2.524521016E-2,-2.080267966E-1
2.009247375E0,8.880201578E-1,-8.572285622E-2,-1.609040797E-1
2.019240375E0,8.177025914E-1,-1.759052128E-1,-1.176889613E-1
2.029233375E0,7.706753612E-1,-2.674917877E-1,-8.206520975E-2
2.039226375E0,7.499309182E-1,-3.567167222E-1,-4.289064184E-2
2.049219375E0,7.626797557E-1,-4.265860617E-1,8.651551791E-3
2.059212375E0,8.064397573E-1,-4.670517147E-1,6.344635785E-2
2.069205375E0,8.709285855E-1,-4.828511178E-1,6.839960068E-2
2.079198375E0,9.425193667E-1,-4.780209363E-1,3.087166511E-2
2.089191375E0,1.007782817E0,-4.721857309E-1,-1.298800390E-2
2.099184375E0,1.062416553E0,-4.762893915E-1,-4.443354160E-2
2.109177375E0,1.111076832E0,-4.780607820E-1,-3.758393601E-2
2.119170375E0,1.160656095E0,-4.795806408E-1,4.078022204E-3
2.129163375E0,1.198438287E0,-4.677133560E-1,6.048024073E-2
2.139156375E0,1.249171734E0,-4.244881272E-1,1.332138330E-1
2.149149375E0,1.422729850E0,-2.375036031E-1,1.790198237E-1
2.159142375E0,1.658004403E0,2.017057240E-1,1.808089465E-1
2.169135375E0,1.768919826E0,9.483024478E-1,1.758249402E-1
2.179128375E0,1.683508515E0,2.027910948E0,1.639123559E-1
2.189121375E0,1.335943818E0,3.246510744E0,1.376598775E-1
2.199114375E0,7.782320976E-1,4.078716278E0,1.166374087E-1
2.209107375E0,2.156969011E-1,4.334030628E0,1.382989734E-1
2.219100375E0,-1.075245664E-1,4.132592201E0,2.123580128E-1
2.229093375E0,-1.202865094E-1,3.564373493E0,3.541738689E-1
2.239086875E0,-7.060843706E-2,2.723329306E0,5.247603059E-1
2.249079875E0,-2.952063978E-1,1.802984238E0,6.046360135E-1
2.259072875E0,-7.876808643E-1,9.994714260E-1,5.348684192E-1
2.269065875E0,-1.416402578E0,4.128036201E-1,3.241532445E-1
2.279058875E0,-2.057472944E0,1.215107888E-1,1.358204521E-2
2.289051875E0,-2.573680401E0,8.033686876E-2,-3.009920716E-1
2.299044875E0,-2.947623968E0,1.734793335E-1,-6.247712374E-1
2.309037875E0,-3.188003540E0,3.271398246E-1,-8.933233619E-1
2.319030875E0,-3.271238804E0,3.481588066E-1,-1.059400797E0
2.329023875E0,-3.250238657E0,1.401949525E-1,-1.174667239E0
2.339016875E0,-3.187985420E0,-1.222249418E-1,-1.254929304E0
