"Time (s)","X (hPa)"
1.358531033E2,1.015563660E3
1.368532783E2,1.015562744E3
1.378534563E2,1.015563278E3
1.388536333E2,1.015563278E3
1.398537553E2,1.015563660E3
1.402117513E2,1.015581665E3
1.412786263E2,1.015582504E3
1.423454913E2,1.015592194E3
1.445882725E2,1.015507812E3
1.455884715E2,1.015520782E3
1.465886775E2,1.015533752E3
1.475889005E2,1.015552979E3
1.485891385E2,1.015561066E3
1.489471025E2,1.015561066E3
1.500139825E2,1.015559616E3
1.510808335E2,1.015558090E3
1.521477455E2,1.015558090E3
1.532146395E2,1.015559769E3
1.542814975E2,1.015560455E3
1.553484145E2,1.015566711E3
1.564153145E2,1.015566940E3
1.574822065E2,1.015566940E3
1.585490295E2,1.015561066E3
1.596158535E2,1.015557861E3
1.606827295E2,1.015555573E3
1.617496175E2,1.015557098E3
1.628165235E2,1.015557098E3
1.638833995E2,1.015557098E3
1.649502875E2,1.015555954E3
1.660171885E2,1.015553284E3
1.670841385E2,1.015549850E3
1.681510365E2,1.015549240E3
1.692179305E2,1.015548553E3
1.702848725E2,1.015548553E3
1.713517695E2,1.015546875E3
1.724186975E2,1.015546875E3
1.734856165E2,1.015547562E3
1.745525415E2,1.015547714E3
1.756195145E2,1.015548401E3
1.766864765E2,1.015550995E3
1.777534235E2,1.015551376E3
1.788203005E2,1.015551376E3
1.798872355E2,1.015550690E3
1.809541545E2,1.015550690E3
1.820210785E2,1.015550461E3
1.830879995E2,1.015549622E3
1.841549235E2,1.015541229E3
1.852218345E2,1.015535583E3
1.862887605E2,1.015535355E3
1.873556755E2,1.015535583E3
1.884225485E2,1.015538101E3
1.894894485E2,1.015544434E3
1.905563535E2,1.015552979E3
1.916232715E2,1.015556641E3
1.926902295E2,1.015558472E3
1.937571825E2,1.015560226E3
1.948240865E2,1.015560226E3
1.958909945E2,1.015558548E3
1.969578625E2,1.015558319E3
1.980247245E2,1.015554581E3
1.990915895E2,1.015553741E3
2.001584585E2,1.015553741E3
2.012252775E2,1.015551376E3
2.022921115E2,1.015551376E3
2.033589475E2,1.015553055E3
2.044257885E2,1.015558319E3
2.075329073E2,1.015610657E3
2.085331123E2,1.015611420E3
2.095332823E2,1.015610657E3
2.105334663E2,1.015603256E3
2.115336383E2,1.015600815E3
2.118915903E2,1.015595856E3
2.129584583E2,1.015595398E3
2.140252993E2,1.015590668E3
2.150921643E2,1.015587311E3
2.161590083E2,1.015587311E3
2.172258293E2,1.015587387E3
2.182926843E2,1.015587387E3
2.193595453E2,1.015587387E3
2.204263213E2,1.015587387E3
2.214931383E2,1.015586929E3
2.225599453E2,1.015586090E3
2.236267563E2,1.015583344E3
2.246935913E2,1.015583191E3
2.257604623E2,1.015582275E3
2.268273333E2,1.015578156E3
2.278941893E2,1.015567398E3
2.302488899E2,1.015573654E3
2.312490729E2,1.015566711E3
2.322492719E2,1.015566177E3
2.332494799E2,1.015566177E3
2.342496539E2,1.015578384E3
2.346075769E2,1.015586929E3
2.356744219E2,1.015592957E3
2.367412959E2,1.015600662E3
2.378081409E2,1.015608826E3
2.388749929E2,1.015613022E3
2.399418659E2,1.015614548E3
2.410087069E2,1.015614548E3
2.420755299E2,1.015614243E3
2.431423659E2,1.015613556E3
2.442092359E2,1.015612564E3
2.452760879E2,1.015609894E3
2.463429429E2,1.015606689E3
2.474097699E2,1.015605011E3
2.484765739E2,1.015602264E3
2.495433619E2,1.015599213E3
2.520362048E2,1.015520325E3
2.530364188E2,1.015521622E3
2.540366138E2,1.015522919E3
2.550368028E2,1.015530167E3
2.560370108E2,1.015591125E3
2.563949428E2,1.015591125E3
2.574618128E2,1.015600662E3
2.597118058E2,1.015525055E3
2.607121148E2,1.015528641E3
2.617124018E2,1.015532150E3
2.627126718E2,1.015538483E3
2.637129628E2,1.015538788E3
2.640708268E2,1.015539169E3
2.651377238E2,1.015538788E3
2.662046418E2,1.015538788E3
2.672715448E2,1.015536652E3
2.683384948E2,1.015536652E3
2.694054458E2,1.015536652E3
2.704723638E2,1.015536194E3
2.715392638E2,1.015536041E3
2.726062108E2,1.015534897E3
2.736731918E2,1.015534515E3
2.747401298E2,1.015534515E3
2.758070518E2,1.015537262E3
2.768740118E2,1.015538940E3
2.779409778E2,1.015541000E3
2.790079418E2,1.015541611E3
2.800749778E2,1.015542068E3
2.811418688E2,1.015542068E3
