"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686308947439451E9,"2023-06-09 13:09:07.439 UTC+02:00"
"PAUSE",7.557838212494971E1,1.686309023019673E9,"2023-06-09 13:10:23.020 UTC+02:00"
"START",7.557838212494971E1,1.686309153693663E9,"2023-06-09 13:12:33.694 UTC+02:00"
"PAUSE",1.405281687499373E2,1.686309218645024E9,"2023-06-09 13:13:38.645 UTC+02:00"
"START",1.405281687499373E2,1.686309222023436E9,"2023-06-09 13:13:42.023 UTC+02:00"
"PAUSE",1.931636781666311E2,1.686309274660221E9,"2023-06-09 13:14:34.660 UTC+02:00"
"START",1.931636781666311E2,1.686309294253855E9,"2023-06-09 13:14:54.254 UTC+02:00"
"PAUSE",1.971070759582799E2,1.686309298197349E9,"2023-06-09 13:14:58.197 UTC+02:00"
"START",1.971070759582799E2,1.686309309690733E9,"2023-06-09 13:15:09.691 UTC+02:00"
"PAUSE",2.834653151666280E2,1.686309396051066E9,"2023-06-09 13:16:36.051 UTC+02:00"
"START",2.834653151666280E2,1.686309402941650E9,"2023-06-09 13:16:42.942 UTC+02:00"
"PAUSE",3.483064284583088E2,1.686309467784334E9,"2023-06-09 13:17:47.784 UTC+02:00"
"START",3.483064284583088E2,1.686309474926732E9,"2023-06-09 13:17:54.927 UTC+02:00"
"PAUSE",3.525852382499725E2,1.686309479205645E9,"2023-06-09 13:17:59.206 UTC+02:00"
"START",3.525852382499725E2,1.686309488372747E9,"2023-06-09 13:18:08.373 UTC+02:00"
"PAUSE",3.980243660000269E2,1.686309533812975E9,"2023-06-09 13:18:53.813 UTC+02:00"
"START",3.980243660000269E2,1.686309538514468E9,"2023-06-09 13:18:58.514 UTC+02:00"
"PAUSE",4.037578362083877E2,1.686309544248077E9,"2023-06-09 13:19:04.248 UTC+02:00"
"START",4.037578362083877E2,1.686309587170245E9,"2023-06-09 13:19:47.170 UTC+02:00"
"PAUSE",4.731478868334088E2,1.686309656561977E9,"2023-06-09 13:20:56.562 UTC+02:00"
"START",4.731478868334088E2,1.686309661710833E9,"2023-06-09 13:21:01.711 UTC+02:00"
"PAUSE",4.780047194584040E2,1.686309666567783E9,"2023-06-09 13:21:06.568 UTC+02:00"
"START",4.780047194584040E2,1.686309692856359E9,"2023-06-09 13:21:32.856 UTC+02:00"
"PAUSE",5.482412016667658E2,1.686309763094543E9,"2023-06-09 13:22:43.095 UTC+02:00"
"START",5.482412016667658E2,1.686309774097485E9,"2023-06-09 13:22:54.097 UTC+02:00"
"PAUSE",5.558345211668056E2,1.686309781690988E9,"2023-06-09 13:23:01.691 UTC+02:00"
"START",5.558345211668056E2,1.686309818676221E9,"2023-06-09 13:23:38.676 UTC+02:00"
"PAUSE",6.065219454584876E2,1.686309869364873E9,"2023-06-09 13:24:29.365 UTC+02:00"
