"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.320746667E-1,-2.722190857E1,3.711282349E1,-8.575923920E0
9.420866666E-1,-2.752632141E1,3.683348846E1,-9.095390320E0
9.520976667E-1,-2.769638062E1,3.669365692E1,-9.300704956E0
9.621096666E-1,-2.759878159E1,3.661203003E1,-9.694416046E0
9.721216667E-1,-2.784040070E1,3.633625031E1,-1.010521698E1
9.821336668E-1,-2.822290039E1,3.609353638E1,-1.131774139E1
9.921456666E-1,-2.814587402E1,3.589678192E1,-1.185026550E1
1.002157667E0,-2.817754364E1,3.576795197E1,-1.242810440E1
1.012168667E0,-2.829972839E1,3.566263580E1,-1.283853531E1
1.022180667E0,-2.798944855E1,3.576539612E1,-1.308709335E1
1.032192667E0,-2.818959808E1,3.581025696E1,-1.377624893E1
1.042204667E0,-2.821752930E1,3.560681915E1,-1.397413254E1
1.052216667E0,-2.799556732E1,3.551527405E1,-1.450297165E1
1.062228667E0,-2.785540771E1,3.577476501E1,-1.489695358E1
1.072239667E0,-2.773126221E1,3.599239349E1,-1.512292862E1
1.082251667E0,-2.756225967E1,3.606116486E1,-1.512480545E1
1.092263667E0,-2.784227753E1,3.632952118E1,-1.431519699E1
1.102275667E0,-2.777899933E1,3.662287903E1,-1.436946487E1
1.112287667E0,-2.784289551E1,3.686154175E1,-1.383111191E1
1.122299667E0,-2.805688477E1,3.692021942E1,-1.279431534E1
1.132310667E0,-2.801293945E1,3.686950684E1,-1.241621780E1
1.142322667E0,-2.816878510E1,3.691249847E1,-1.192549896E1
1.152334667E0,-2.847643280E1,3.713536835E1,-1.151449966E1
1.162346667E0,-2.849390411E1,3.744626617E1,-1.127577972E1
1.172358667E0,-2.826106262E1,3.756822968E1,-1.088896942E1
1.182369667E0,-2.832312775E1,3.744387817E1,-1.074274826E1
1.192381667E0,-2.802285767E1,3.786100769E1,-1.014076996E1
1.202393667E0,-2.806449890E1,3.817944336E1,-9.837631226E0
1.212405667E0,-2.773960876E1,3.856455231E1,-9.444736481E0
1.222417667E0,-2.764057922E1,3.882621002E1,-8.995128632E0
1.232429667E0,-2.726748276E1,3.906526184E1,-8.593425751E0
1.242440667E0,-2.656614304E1,3.907127380E1,-8.192081451E0
1.252452667E0,-2.661384964E1,3.909983826E1,-8.028812408E0
1.262464667E0,-2.629380035E1,3.954712677E1,-7.572326660E0
1.272476667E0,-2.605930710E1,3.964931488E1,-7.257492065E0
1.282488667E0,-2.587471008E1,3.980669403E1,-7.056365967E0
1.292500667E0,-2.549839401E1,4.015298462E1,-7.052352905E0
1.302511667E0,-2.527790451E1,4.025773621E1,-7.423206329E0
1.312522875E0,-2.502431870E1,4.058670807E1,-6.886032104E0
1.322534875E0,-2.473087692E1,4.073031616E1,-6.308795929E0
1.332546875E0,-2.455579758E1,4.061605072E1,-6.299900055E0
1.342558875E0,-2.439327240E1,4.081915283E1,-6.270668030E0
1.352570875E0,-2.421341324E1,4.106988525E1,-6.194690704E0
1.362581875E0,-2.397972107E1,4.119458771E1,-6.063392639E0
1.372593875E0,-2.361486435E1,4.114249420E1,-5.865299225E0
1.382605875E0,-2.341581345E1,4.140464020E1,-5.390605927E0
1.392617875E0,-2.349756622E1,4.151668549E1,-5.055259705E0
1.402629875E0,-2.318716431E1,4.164969635E1,-5.425289154E0
1.412640875E0,-2.317686081E1,4.188280487E1,-5.023345947E0
1.422652875E0,-2.273416519E1,4.192141724E1,-4.786907196E0
1.432664875E0,-2.265860367E1,4.212679291E1,-4.365489960E0
1.442676875E0,-2.218147278E1,4.251808929E1,-4.669048309E0
1.452688875E0,-2.188414383E1,4.261169434E1,-4.500686646E0
1.462700875E0,-2.157019806E1,4.290979004E1,-4.701259613E0
1.472711875E0,-2.140707397E1,4.334230042E1,-4.248012543E0
1.482723875E0,-2.072448730E1,4.323192596E1,-4.389411926E0
1.492735875E0,-2.036005783E1,4.347826385E1,-4.411315918E0
1.502747875E0,-2.009426880E1,4.351216888E1,-4.845664978E0
1.512759875E0,-1.975287247E1,4.376883698E1,-5.044933319E0
1.522771875E0,-1.950758743E1,4.402008820E1,-5.044132233E0
1.532782875E0,-1.905178833E1,4.405173492E1,-5.180931091E0
1.542794875E0,-1.856580734E1,4.415882111E1,-6.046337128E0
1.552806875E0,-1.826259613E1,4.431710052E1,-5.829727173E0
1.562818875E0,-1.796763992E1,4.440736389E1,-6.220554352E0
1.572830875E0,-1.767472839E1,4.454602051E1,-6.276412964E0
1.582841875E0,-1.738491821E1,4.469199371E1,-6.948249817E0
1.592853875E0,-1.692953491E1,4.472501373E1,-7.489395142E0
1.602865875E0,-1.687587357E1,4.468249512E1,-7.951942444E0
1.612877875E0,-1.659237289E1,4.483246613E1,-7.996303558E0
1.622889875E0,-1.616627121E1,4.476733398E1,-8.066356659E0
1.632901875E0,-1.601040268E1,4.483536530E1,-8.556545258E0
1.642912875E0,-1.573296356E1,4.465074158E1,-8.994106293E0
1.652924875E0,-1.573003387E1,4.479476166E1,-8.846321106E0
1.662936875E0,-1.521677017E1,4.456731415E1,-8.999217987E0
1.672948875E0,-1.521675491E1,4.463874054E1,-9.422622681E0
1.682960875E0,-1.500035477E1,4.487744904E1,-9.721492767E0
1.692972875E0,-1.483477783E1,4.484346771E1,-9.828475952E0
1.702983875E0,-1.483243179E1,4.478861237E1,-9.713676453E0
1.712995875E0,-1.495853043E1,4.492426300E1,-9.577877045E0
1.723007875E0,-1.494778824E1,4.491762543E1,-9.611755371E0
1.733019875E0,-1.477191925E1,4.506545258E1,-9.638042450E0
1.743031875E0,-1.493660355E1,4.508905029E1,-9.539825439E0
1.753042875E0,-1.483788681E1,4.503191376E1,-9.543155670E0
1.763054875E0,-1.493434143E1,4.493694305E1,-9.374034882E0
1.773066875E0,-1.484782028E1,4.520703888E1,-9.334426880E0
1.783078875E0,-1.485673141E1,4.513243866E1,-9.419235229E0
1.793090875E0,-1.505093002E1,4.509485626E1,-9.235073090E0
1.803102875E0,-1.501320648E1,4.496663666E1,-9.077243805E0
1.813113875E0,-1.528185272E1,4.534678650E1,-9.099292755E0
1.823125875E0,-1.529050446E1,4.529525757E1,-8.871475220E0
1.833137875E0,-1.538555527E1,4.516720581E1,-8.547523499E0
1.843149875E0,-1.554815292E1,4.525172424E1,-8.258201599E0
1.853161875E0,-1.539748383E1,4.521544647E1,-7.943382263E0
1.863173875E0,-1.529394150E1,4.494628143E1,-7.936470032E0
1.873184875E0,-1.554690170E1,4.522898102E1,-7.746967316E0
1.883196875E0,-1.553977585E1,4.503058624E1,-7.431758881E0
1.893208875E0,-1.538788223E1,4.494095612E1,-7.603626251E0
1.903220875E0,-1.519933701E1,4.490876770E1,-7.458236694E0
1.913232875E0,-1.532651138E1,4.517350769E1,-7.121524811E0
1.923244875E0,-1.543205643E1,4.511999512E1,-7.196277618E0
1.933255875E0,-1.544708633E1,4.492575836E1,-7.000358582E0
1.943267875E0,-1.548251724E1,4.492912292E1,-7.047992706E0
1.953279875E0,-1.535031128E1,4.523911285E1,-6.873970032E0
1.963291875E0,-1.523968887E1,4.520632172E1,-6.907478333E0
1.973303875E0,-1.548881149E1,4.493225098E1,-6.903533936E0
1.983314875E0,-1.565804672E1,4.485298157E1,-7.242881775E0
1.993326875E0,-1.563036728E1,4.509423828E1,-6.893730164E0
2.003338875E0,-1.558333206E1,4.488871002E1,-7.429256439E0
2.013350875E0,-1.538461304E1,4.493373871E1,-7.310428619E0
2.023362875E0,-1.559289169E1,4.490895081E1,-7.601207733E0
2.033374875E0,-1.561447525E1,4.489252472E1,-7.695178986E0
2.043385875E0,-1.566001511E1,4.488449097E1,-7.766372681E0
2.053397875E0,-1.551730347E1,4.483157349E1,-8.153915405E0
2.063409875E0,-1.571298218E1,4.477912903E1,-8.346302032E0
2.073421875E0,-1.548596191E1,4.507757568E1,-8.383712769E0
2.083433875E0,-1.553350067E1,4.493234253E1,-8.850383759E0
2.093444875E0,-1.558806610E1,4.484459686E1,-8.463470459E0
2.103456875E0,-1.558164215E1,4.477736664E1,-8.242588043E0
2.113468875E0,-1.557072067E1,4.499984741E1,-8.284877777E0
2.123480875E0,-1.557445526E1,4.480641937E1,-8.163387299E0
2.133492875E0,-1.586228180E1,4.482071686E1,-8.389648438E0
2.143504875E0,-1.582459259E1,4.490917969E1,-8.574295044E0
2.153515875E0,-1.566973114E1,4.502368164E1,-8.576755524E0
2.163527875E0,-1.577941132E1,4.501432037E1,-8.310646057E0
2.173539875E0,-1.588708115E1,4.488515472E1,-8.499664307E0
2.183551875E0,-1.564389801E1,4.507585907E1,-8.631530762E0
2.193563875E0,-1.578798294E1,4.491814423E1,-7.827678680E0
2.203575875E0,-1.545735550E1,4.492639923E1,-8.034900665E0
2.213586875E0,-1.564223862E1,4.482663727E1,-7.872612000E0
2.223598875E0,-1.555090714E1,4.496963501E1,-7.535064697E0
2.233610875E0,-1.549647903E1,4.479244995E1,-7.423133850E0
2.243622875E0,-1.572112656E1,4.492802429E1,-7.717414856E0
2.253634875E0,-1.569319534E1,4.490820312E1,-7.295368195E0
2.263645875E0,-1.559730530E1,4.494331360E1,-7.444023132E0
2.273657875E0,-1.570579910E1,4.484146118E1,-7.428791046E0
2.283669875E0,-1.585762787E1,4.486172485E1,-7.314052582E0
2.293681875E0,-1.611062241E1,4.491207123E1,-7.289596558E0
2.303693875E0,-1.585623932E1,4.504116058E1,-7.550754547E0
2.313705875E0,-1.593094254E1,4.491979980E1,-7.503128052E0
2.323716875E0,-1.594564438E1,4.501118469E1,-7.073368073E0
2.333728875E0,-1.609918213E1,4.517550659E1,-7.143032074E0
2.343740875E0,-1.599201965E1,4.506803131E1,-6.902690887E0
2.353752875E0,-1.611690903E1,4.513397217E1,-6.918930054E0
2.363764875E0,-1.582817459E1,4.508930206E1,-7.172019958E0
2.373776875E0,-1.581215668E1,4.503743744E1,-7.163642883E0
2.383787875E0,-1.593296814E1,4.501878357E1,-7.327030182E0
2.393799875E0,-1.573950577E1,4.510035706E1,-7.374351501E0
2.403811875E0,-1.564753723E1,4.512821960E1,-7.361083984E0
2.413823875E0,-1.561319733E1,4.511769867E1,-7.194881439E0
2.423835875E0,-1.551177216E1,4.509360504E1,-6.927021027E0
2.433846875E0,-1.554734039E1,4.508985901E1,-6.815677643E0
2.443858875E0,-1.562870407E1,4.500108337E1,-7.100685120E0
2.453870875E0,-1.569702911E1,4.492388916E1,-7.154769897E0
2.463882875E0,-1.585871124E1,4.507411194E1,-7.014293671E0
2.473894875E0,-1.584127426E1,4.515249634E1,-7.063465118E0
2.483906875E0,-1.586652756E1,4.523773193E1,-7.509262085E0
2.493917875E0,-1.582027817E1,4.505506134E1,-6.914199829E0
2.503929875E0,-1.568755341E1,4.503854370E1,-7.178665161E0
2.513941875E0,-1.585657120E1,4.510091400E1,-7.280349731E0
2.523953875E0,-1.575289917E1,4.478852081E1,-7.542861938E0
2.533965875E0,-1.563528061E1,4.503641510E1,-7.628379822E0
2.543976875E0,-1.572190094E1,4.485127258E1,-7.428539276E0
2.553988875E0,-1.573498535E1,4.481626129E1,-7.120605469E0
2.564000875E0,-1.562273788E1,4.503421021E1,-7.595684052E0
2.574012875E0,-1.562366867E1,4.504377747E1,-7.360820770E0
2.584024875E0,-1.605374908E1,4.507508087E1,-7.364593506E0
2.594036875E0,-1.624023056E1,4.510941315E1,-7.379211426E0
2.604047875E0,-1.606673431E1,4.501600647E1,-7.534091949E0
2.614059875E0,-1.612575150E1,4.502851868E1,-7.474151611E0
2.624071875E0,-1.598077393E1,4.502645111E1,-7.260646820E0
2.634083875E0,-1.591757965E1,4.495932770E1,-7.378684998E0
2.644095875E0,-1.580774689E1,4.499932098E1,-7.378955841E0
2.654107875E0,-1.586114120E1,4.510537720E1,-7.489753723E0
2.664118875E0,-1.579540634E1,4.508669281E1,-7.369663239E0
2.674130875E0,-1.578463364E1,4.504088593E1,-7.190280914E0
2.684142875E0,-1.580535507E1,4.483847046E1,-7.094230652E0
2.694154875E0,-1.588828659E1,4.513627625E1,-7.449119568E0
2.704166875E0,-1.604225922E1,4.490982056E1,-7.047344208E0
2.714177875E0,-1.600625229E1,4.482382965E1,-6.980564117E0
2.724189875E0,-1.564051437E1,4.483081818E1,-7.135406494E0
2.734201875E0,-1.586084366E1,4.471397400E1,-7.268508911E0
2.744213875E0,-1.599583817E1,4.476206207E1,-7.293781281E0
2.754225875E0,-1.607180023E1,4.482192230E1,-7.302413940E0
2.764237875E0,-1.599030685E1,4.475382996E1,-7.213485718E0
2.774248875E0,-1.626387405E1,4.504117584E1,-7.199604034E0
2.784260875E0,-1.616656494E1,4.511640930E1,-7.493854523E0
2.794272875E0,-1.616069031E1,4.499448395E1,-7.162094116E0
2.804284875E0,-1.609930801E1,4.508157349E1,-7.296253204E0
2.814296875E0,-1.608052826E1,4.519535828E1,-7.120910645E0
2.824307875E0,-1.618384171E1,4.488318634E1,-7.407535553E0
2.834319875E0,-1.602914810E1,4.498765564E1,-7.308921814E0
2.844331875E0,-1.593434143E1,4.482534790E1,-7.702888489E0
2.854343875E0,-1.621619797E1,4.507576752E1,-7.269149780E0
2.864355875E0,-1.619412994E1,4.495076752E1,-6.836277008E0
2.874367875E0,-1.598834610E1,4.497465515E1,-6.756656647E0
2.884378875E0,-1.621692276E1,4.489023590E1,-6.797645569E0
2.894390875E0,-1.615591049E1,4.506610107E1,-6.708198547E0
2.904402875E0,-1.586764526E1,4.507999420E1,-6.783462524E0
2.914414875E0,-1.600002289E1,4.497045135E1,-6.679248810E0
2.924426875E0,-1.609760666E1,4.490588379E1,-6.921539307E0
2.934438875E0,-1.624061966E1,4.495388794E1,-7.049140930E0
2.944449875E0,-1.630803299E1,4.501298523E1,-6.931747437E0
2.954461875E0,-1.621355057E1,4.490814209E1,-7.137744904E0
2.964473875E0,-1.601337051E1,4.490770721E1,-6.730392456E0
2.974485875E0,-1.622012711E1,4.503177643E1,-6.569210052E0
2.984497875E0,-1.634587479E1,4.502100372E1,-6.522735596E0
2.994508875E0,-1.629807281E1,4.511755371E1,-6.762901306E0
3.004520875E0,-1.610733032E1,4.513935852E1,-6.798332214E0
3.014532875E0,-1.609231949E1,4.493621826E1,-6.930599213E0
3.024544875E0,-1.605489731E1,4.509415436E1,-6.829872131E0
3.034556875E0,-1.610020065E1,4.508341217E1,-7.031150818E0
3.044568875E0,-1.604720688E1,4.526577759E1,-6.445888519E0
3.054579875E0,-1.615057373E1,4.523528290E1,-6.671615601E0
3.064591875E0,-1.608231735E1,4.507706451E1,-6.342262268E0
3.074603875E0,-1.633346558E1,4.522348785E1,-6.221157074E0
3.084615875E0,-1.611348724E1,4.525539398E1,-6.605098724E0
3.094627875E0,-1.605749512E1,4.500784302E1,-6.336612701E0
3.104639875E0,-1.607244873E1,4.500673676E1,-6.288234711E0
3.114650875E0,-1.630754471E1,4.505422211E1,-6.590076447E0
3.124662875E0,-1.614229584E1,4.502860260E1,-6.483329773E0
3.134674875E0,-1.609458923E1,4.487274170E1,-6.418037415E0
3.144686875E0,-1.594614410E1,4.496652985E1,-6.351032257E0
3.154698875E0,-1.604226303E1,4.471658325E1,-6.773731232E0
3.164709875E0,-1.611177826E1,4.479405212E1,-6.600635529E0
3.174721875E0,-1.612588882E1,4.485358429E1,-6.544384003E0
3.184733875E0,-1.586935043E1,4.497598267E1,-6.908428192E0
3.194745875E0,-1.595375443E1,4.500006104E1,-6.756580353E0
3.204757875E0,-1.589443588E1,4.492390442E1,-6.521713257E0
3.214769875E0,-1.606257629E1,4.479428101E1,-6.683753967E0
3.224780875E0,-1.581955338E1,4.478894043E1,-6.241161346E0
3.234792875E0,-1.596844482E1,4.504312134E1,-6.224792480E0
3.244804875E0,-1.610709000E1,4.504856110E1,-6.220100403E0
3.254816875E0,-1.607138062E1,4.477745056E1,-6.381118774E0
3.264828875E0,-1.601393890E1,4.489424896E1,-6.561695099E0
3.274839875E0,-1.600323486E1,4.487987518E1,-6.377140045E0
3.284851875E0,-1.575401306E1,4.489297485E1,-6.407222748E0
3.294863875E0,-1.555557251E1,4.477781677E1,-6.599666595E0
3.304876000E0,-1.570870209E1,4.486209106E1,-6.715042114E0
3.314888000E0,-1.584363937E1,4.478132629E1,-6.663490295E0
3.324900000E0,-1.619616318E1,4.469203949E1,-6.703834534E0
3.334911000E0,-1.597463608E1,4.474272156E1,-6.936344147E0
3.344923000E0,-1.605861664E1,4.503687286E1,-6.630237579E0
3.354935000E0,-1.608998489E1,4.513095856E1,-6.646110535E0
3.364947000E0,-1.606694031E1,4.506478882E1,-6.873390198E0
3.374959000E0,-1.594060898E1,4.501622772E1,-6.877971649E0
3.384970000E0,-1.601736069E1,4.511386108E1,-6.748840332E0
3.394982000E0,-1.604394531E1,4.505678558E1,-6.476696014E0
3.404994000E0,-1.629067993E1,4.502697754E1,-6.394611359E0
3.415006000E0,-1.618222046E1,4.527233887E1,-6.577640533E0
3.425018000E0,-1.613387299E1,4.525292206E1,-6.687858582E0
3.435030000E0,-1.611421967E1,4.520426941E1,-6.679962158E0
3.445041000E0,-1.605370712E1,4.515935516E1,-6.663272858E0
3.455053000E0,-1.623329926E1,4.494602203E1,-6.845710754E0
3.465065000E0,-1.609163666E1,4.509430695E1,-7.002113342E0
3.475077000E0,-1.613640976E1,4.495390320E1,-6.818340302E0
3.485089000E0,-1.635049820E1,4.493367004E1,-7.036163330E0
3.495100000E0,-1.628757477E1,4.502452087E1,-7.174930573E0
3.505112000E0,-1.648117447E1,4.506650543E1,-7.216060638E0
3.515124000E0,-1.626518631E1,4.500500488E1,-7.289924622E0
3.525136000E0,-1.636130905E1,4.509951782E1,-6.967876434E0
3.535148000E0,-1.612040710E1,4.516463470E1,-7.016239166E0
3.545160000E0,-1.615927887E1,4.509642029E1,-6.808979034E0
3.555171000E0,-1.630430222E1,4.500286102E1,-6.797931671E0
3.565183000E0,-1.640394592E1,4.501591492E1,-6.799514771E0
3.575195000E0,-1.629799652E1,4.498303986E1,-7.057453156E0
3.585207000E0,-1.614770889E1,4.517591095E1,-6.972625732E0
3.595219000E0,-1.596181870E1,4.493868256E1,-6.878128052E0
3.605231000E0,-1.600417709E1,4.494361877E1,-7.001537323E0
3.615242000E0,-1.603103256E1,4.481338501E1,-7.050785065E0
3.625254000E0,-1.591721344E1,4.501611328E1,-6.759010315E0
3.635266000E0,-1.580913925E1,4.495061493E1,-6.818969727E0
3.645278000E0,-1.613155746E1,4.509299469E1,-6.878463745E0
3.655290000E0,-1.608983994E1,4.524630737E1,-6.793212891E0
3.665301000E0,-1.610486221E1,4.520423126E1,-7.147407532E0
3.675313000E0,-1.605540085E1,4.516161346E1,-6.921039581E0
3.685325000E0,-1.605909348E1,4.519651031E1,-6.765563965E0
3.695337000E0,-1.593111801E1,4.488478088E1,-6.763362885E0
3.705349000E0,-1.596608353E1,4.502913666E1,-6.543563843E0
3.715361000E0,-1.604574585E1,4.502128601E1,-6.775226593E0
3.725372000E0,-1.603123856E1,4.492832947E1,-6.637935638E0
3.735384000E0,-1.602153015E1,4.486493683E1,-6.541061401E0
3.745396000E0,-1.583028030E1,4.506781769E1,-6.503044128E0
3.755408000E0,-1.607345200E1,4.512696075E1,-6.654697418E0
3.765420000E0,-1.603389359E1,4.511665344E1,-6.649860382E0
3.775431000E0,-1.615180588E1,4.464244843E1,-6.951042175E0
3.785443000E0,-1.598899841E1,4.479508972E1,-6.604980469E0
3.795455000E0,-1.582975769E1,4.489797974E1,-6.749217987E0
3.805467000E0,-1.581238937E1,4.495932007E1,-6.913944244E0
3.815479000E0,-1.601173019E1,4.483695984E1,-7.212528229E0
3.825491000E0,-1.597897339E1,4.488486481E1,-7.160526276E0
3.835502000E0,-1.607492447E1,4.488182068E1,-7.135353088E0
3.845514000E0,-1.606783676E1,4.491963196E1,-6.784336090E0
3.855526000E0,-1.592677307E1,4.471943665E1,-7.067539215E0
3.865538000E0,-1.614381409E1,4.488581085E1,-7.057025909E0
3.875550000E0,-1.603807068E1,4.480075073E1,-7.026123047E0
3.885561000E0,-1.595458603E1,4.496621704E1,-6.925895691E0
3.895573000E0,-1.616479874E1,4.490300751E1,-7.050380707E0
3.905585000E0,-1.628104019E1,4.474296570E1,-7.149425507E0
3.915597000E0,-1.601042938E1,4.481861115E1,-6.972351074E0
3.925609000E0,-1.633834076E1,4.485173798E1,-6.496940613E0
3.935621000E0,-1.654611969E1,4.492392731E1,-6.636150360E0
3.945632000E0,-1.623085022E1,4.492534637E1,-6.562889099E0
3.955644000E0,-1.636028290E1,4.481484222E1,-6.762344360E0
3.965656000E0,-1.630480194E1,4.487647247E1,-6.360736847E0
3.975668000E0,-1.615777969E1,4.494042969E1,-6.484569550E0
3.985680000E0,-1.635268021E1,4.502097321E1,-6.512290955E0
3.995691000E0,-1.640566254E1,4.500531769E1,-6.694259644E0
4.005703000E0,-1.644209290E1,4.510447693E1,-6.794513702E0
4.015715000E0,-1.614591980E1,4.497147369E1,-6.775814056E0
4.025727000E0,-1.608692932E1,4.517657471E1,-6.584178925E0
4.035739000E0,-1.604482651E1,4.511059570E1,-7.073154449E0
4.045751000E0,-1.624058533E1,4.502075958E1,-6.666862488E0
