"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.818966666E-1,2.311044159E0,-9.173523560E0,-2.258802795E0
7.919086667E-1,2.644850006E0,-8.901988220E0,-1.873653717E0
8.019206666E-1,2.891836395E0,-8.786428528E0,-1.735790405E0
8.119326667E-1,3.040177917E0,-8.948242035E0,-1.892963562E0
8.219446666E-1,3.118016052E0,-9.268426208E0,-2.122586060E0
8.319566667E-1,3.134481812E0,-9.523795166E0,-2.004781036E0
8.419676668E-1,3.304378510E0,-9.682764587E0,-1.153501282E0
8.519796666E-1,3.569327545E0,-9.706864471E0,-1.948947144E-1
8.619916667E-1,3.643423462E0,-9.846673737E0,-6.242019653E-2
8.720036666E-1,3.574267273E0,-1.003932312E1,-6.465055847E-1
8.820156667E-1,3.415148163E0,-1.000594254E1,-1.343456268E0
8.920276666E-1,3.393592987E0,-9.682465210E0,-1.648372192E0
9.020386667E-1,3.674259338E0,-9.570797424E0,-1.579216003E0
9.120506668E-1,3.896846466E0,-9.386081543E0,-1.386865997E0
9.220626666E-1,4.092938690E0,-8.942703552E0,-1.183588715E0
9.320746667E-1,4.406835938E0,-8.530311127E0,-9.815089417E-1
9.420866666E-1,4.490362244E0,-8.243357849E0,-8.140072632E-1
9.520976667E-1,4.171225891E0,-8.010442200E0,-9.728269958E-1
9.621096666E-1,3.891757050E0,-8.012088776E0,-1.238374786E0
9.721216667E-1,3.888763275E0,-8.029153290E0,-1.364412689E0
9.821336668E-1,3.848347321E0,-8.056845703E0,-1.470991058E0
9.921456666E-1,3.504212952E0,-8.021968231E0,-1.648970947E0
1.002157667E0,3.063379669E0,-7.784861298E0,-1.894460449E0
1.012168667E0,2.640658722E0,-7.512876892E0,-2.163301392E0
1.022180667E0,2.238445129E0,-7.378755798E0,-2.416574707E0
1.032192667E0,1.856439514E0,-7.263794861E0,-2.694846039E0
1.042204667E0,1.389859772E0,-7.112609253E0,-3.095712433E0
1.052216667E0,1.253792725E0,-7.028184814E0,-3.460952911E0
1.062228667E0,1.770218811E0,-7.145091705E0,-3.846401367E0
1.072239667E0,2.177671509E0,-7.472011871E0,-4.262835388E0
1.082251667E0,2.300865326E0,-8.002508698E0,-4.347858582E0
1.092263667E0,2.405647430E0,-8.619525604E0,-3.914509735E0
1.102275667E0,2.467618561E0,-9.041797485E0,-3.190166016E0
1.112287667E0,2.549647980E0,-9.382788391E0,-2.492766266E0
1.122299667E0,2.626737671E0,-9.841584320E0,-2.107467499E0
1.132310667E0,2.706222382E0,-1.033016830E1,-2.052980804E0
1.142322667E0,2.731220398E0,-1.077728851E1,-2.312391357E0
1.152334667E0,2.539169769E0,-1.115091156E1,-2.698887634E0
1.162346667E0,1.963616638E0,-1.148127457E1,-2.973865814E0
1.172358667E0,9.984237671E-1,-1.169323380E1,-3.170407104E0
1.182369667E0,1.956431580E-1,-1.151779861E1,-3.262914734E0
1.192381667E0,-2.429447937E-1,-1.116468292E1,-3.421435089E0
1.202393667E0,-4.734654236E-1,-1.082339264E1,-3.594774628E0
1.212405667E0,-4.049079895E-1,-1.040426422E1,-3.538042603E0
1.222417667E0,-1.718426514E-1,-9.798623657E0,-2.984194336E0
1.232429667E0,3.611988831E-1,-9.194180603E0,-2.114951935E0
1.242440667E0,9.574090576E-1,-8.695567474E0,-1.368753662E0
1.252452667E0,1.505718842E0,-8.449628906E0,-9.136999512E-1
1.262464667E0,1.951641541E0,-8.341553650E0,-9.303153992E-1
1.272476667E0,2.331850891E0,-8.461454315E0,-1.453028412E0
1.282488667E0,2.718496857E0,-8.725954285E0,-2.229164429E0
1.292500667E0,2.907404022E0,-8.977581024E0,-2.915038147E0
1.302511667E0,2.828368378E0,-9.264534302E0,-3.316353607E0
1.312522875E0,2.530038757E0,-9.490115204E0,-3.682192841E0
1.322534875E0,2.341730347E0,-9.536369019E0,-3.885170746E0
1.332546875E0,2.220332794E0,-9.467362518E0,-3.772006073E0
1.342558875E0,2.103276215E0,-9.571096802E0,-3.308270416E0
1.352570875E0,1.962868195E0,-9.797276459E0,-2.785557404E0
1.362581875E0,1.841770020E0,-1.004561005E1,-2.394720154E0
1.372593875E0,1.807341614E0,-1.019125717E1,-2.197729797E0
1.382605875E0,1.694626007E0,-1.010144394E1,-2.158361664E0
1.392617875E0,1.543440399E0,-1.000085312E1,-2.126328278E0
1.402629875E0,1.419947205E0,-9.862989807E0,-2.184257813E0
1.412640875E0,1.277742920E0,-9.705217896E0,-2.355352020E0
1.422652875E0,1.204096069E0,-9.589508514E0,-2.595153351E0
1.432664875E0,1.076710968E0,-9.467063141E0,-2.834355927E0
1.442676875E0,8.643026733E-1,-9.395960999E0,-2.925216980E0
1.452688875E0,5.950126648E-1,-9.246421967E0,-2.784210205E0
1.462700875E0,3.204835510E-1,-8.913514252E0,-2.727328491E0
1.472711875E0,1.564247131E-1,-8.547675018E0,-2.748733978E0
1.482723875E0,1.525328064E-1,-8.416996765E0,-2.874322815E0
1.492735875E0,1.401086426E-1,-8.523126068E0,-3.081941071E0
1.502747875E0,5.448669434E-2,-8.733289032E0,-3.193309479E0
1.512759875E0,6.840774536E-2,-8.998387756E0,-3.118914185E0
1.522771875E0,5.059478760E-2,-9.169631653E0,-2.885549469E0
1.532782875E0,3.802093506E-2,-9.118138733E0,-2.799777832E0
1.542794875E0,1.321751404E-1,-8.916657715E0,-2.879412231E0
1.552806875E0,1.664538574E-1,-8.743018799E0,-2.973416748E0
1.562818875E0,3.011737061E-1,-8.715476074E0,-3.039878540E0
1.572830875E0,3.475772095E-1,-8.827293549E0,-3.201841736E0
1.582841875E0,3.746708679E-1,-8.992849274E0,-3.226690063E0
1.592853875E0,4.822970581E-1,-9.018595734E0,-3.207978973E0
