"Time (s)","X (hPa)"
8.450818662E1,1.014812622E3
8.558156662E1,1.014805756E3
8.665492162E1,1.014805756E3
8.772830162E1,1.014807434E3
8.880175962E1,1.014807587E3
8.987519662E1,1.014807434E3
9.094859462E1,1.014807587E3
9.202201862E1,1.014806976E3
9.309546662E1,1.014805984E3
9.416896562E1,1.014804916E3
9.524247662E1,1.014800034E3
9.631598162E1,1.014794388E3
9.738946462E1,1.014788666E3
9.846301062E1,1.014784241E3
9.953650562E1,1.014782715E3
1.006099456E2,1.014782715E3
1.016834036E2,1.014782715E3
1.027568056E2,1.014782791E3
1.038302256E2,1.014784927E3
1.049036886E2,1.014785690E3
1.059771136E2,1.014788437E3
1.070505456E2,1.014791565E3
1.081240226E2,1.014794159E3
1.091975466E2,1.014795609E3
1.102709916E2,1.014797897E3
1.113444196E2,1.014797897E3
1.124178436E2,1.014797897E3
1.134913136E2,1.014797897E3
1.145647616E2,1.014796829E3
1.156382146E2,1.014794312E3
1.167116556E2,1.014792252E3
1.177851326E2,1.014790344E3
1.188586056E2,1.014790344E3
1.199321006E2,1.014791641E3
1.229913735E2,1.014714432E3
1.239977935E2,1.014711304E3
1.250041695E2,1.014710388E3
1.260105685E2,1.014708252E3
1.270169805E2,1.014705963E3
1.273673265E2,1.014704742E3
1.284408345E2,1.014705963E3
1.295142645E2,1.014706116E3
1.305877135E2,1.014706116E3
1.316611575E2,1.014705887E3
1.327346185E2,1.014704895E3
1.338081145E2,1.014704514E3
1.348815995E2,1.014703140E3
1.359549885E2,1.014703140E3
1.370284325E2,1.014704514E3
1.381018685E2,1.014704514E3
1.391753255E2,1.014702301E3
1.402487455E2,1.014702225E3
1.413222465E2,1.014695206E3
1.423957225E2,1.014688721E3
1.434691435E2,1.014685516E3
1.445425295E2,1.014678192E3
1.456159345E2,1.014671783E3
1.466893805E2,1.014666977E3
1.477628205E2,1.014661865E3
1.488362645E2,1.014660873E3
1.499096775E2,1.014660873E3
1.509831425E2,1.014665298E3
1.520566085E2,1.014665756E3
1.531301495E2,1.014666519E3
1.542036695E2,1.014670334E3
1.552771665E2,1.014670334E3
1.563505925E2,1.014668808E3
1.574241205E2,1.014668808E3
1.584976505E2,1.014676208E3
1.595711405E2,1.014681091E3
1.606446275E2,1.014682083E3
1.617181785E2,1.014687424E3
1.627916795E2,1.014690933E3
1.638651335E2,1.014697952E3
1.649385915E2,1.014703217E3
1.660120145E2,1.014706802E3
1.670854395E2,1.014707184E3
1.681588035E2,1.014707184E3
1.692322015E2,1.014703979E3
1.703056845E2,1.014701462E3
1.713791295E2,1.014701080E3
1.724526095E2,1.014699631E3
1.735260655E2,1.014698563E3
1.745995665E2,1.014698181E3
1.756730555E2,1.014697342E3
1.767465615E2,1.014697952E3
1.778200465E2,1.014697952E3
1.788934935E2,1.014700241E3
1.799669495E2,1.014700623E3
1.822284662E2,1.014715576E3
1.832349102E2,1.014715576E3
1.842413302E2,1.014715576E3
1.852477052E2,1.014704132E3
1.862541242E2,1.014697266E3
1.866044212E2,1.014693680E3
1.876779622E2,1.014692993E3
1.887514122E2,1.014690552E3
1.898248772E2,1.014688873E3
1.908983362E2,1.014686813E3
1.919718012E2,1.014683762E3
1.930452702E2,1.014681473E3
1.941187522E2,1.014677734E3
1.951922732E2,1.014674301E3
1.962657522E2,1.014674301E3
1.973391852E2,1.014674988E3
1.984126702E2,1.014677963E3
1.994862032E2,1.014677963E3
2.005597972E2,1.014673920E3
2.016332942E2,1.014671402E3
2.027068132E2,1.014665298E3
2.037803912E2,1.014659042E3
2.048539662E2,1.014657745E3
2.059275622E2,1.014657745E3
2.070010872E2,1.014661026E3
2.080746092E2,1.014666595E3
2.091481152E2,1.014666824E3
2.102216542E2,1.014667435E3
2.112951652E2,1.014666824E3
2.123686982E2,1.014664459E3
2.134421372E2,1.014661026E3
2.145155482E2,1.014661026E3
2.155890442E2,1.014661255E3
2.166625252E2,1.014662323E3
2.177360292E2,1.014663391E3
2.188095242E2,1.014663391E3
2.198830292E2,1.014662399E3
2.209565662E2,1.014661331E3
2.220301342E2,1.014659042E3
2.242696525E2,1.014683990E3
2.252760225E2,1.014721527E3
2.262823705E2,1.014759064E3
2.272887265E2,1.014765778E3
2.290519652E2,1.014672699E3
2.300583052E2,1.014671097E3
2.310646292E2,1.014669495E3
2.320709162E2,1.014660110E3
2.330772412E2,1.014656372E3
2.334276212E2,1.014648819E3
2.345010372E2,1.014645920E3
2.355745132E2,1.014640503E3
2.366479352E2,1.014637909E3
2.377213632E2,1.014630966E3
2.387947862E2,1.014628830E3
2.398681892E2,1.014627228E3
2.409415802E2,1.014625320E3
2.420150342E2,1.014622803E3
2.430885012E2,1.014622803E3
2.441619192E2,1.014622192E3
2.452353422E2,1.014621048E3
2.463088612E2,1.014621048E3
2.473824062E2,1.014621048E3
2.484559352E2,1.014620819E3
2.495294542E2,1.014617767E3
2.506029202E2,1.014616623E3
2.516763982E2,1.014615173E3
2.527498432E2,1.014612427E3
2.538233972E2,1.014612274E3
2.548968692E2,1.014610138E3
2.559703482E2,1.014608917E3
2.570438352E2,1.014607849E3
2.581173052E2,1.014607544E3
2.591907962E2,1.014605560E3
2.602642902E2,1.014605255E3
2.613377462E2,1.014604416E3
2.624112212E2,1.014603806E3
2.634846932E2,1.014603348E3
2.645581882E2,1.014603806E3
2.656317732E2,1.014604645E3
2.667053432E2,1.014605255E3
2.677789422E2,1.014607849E3
2.688524362E2,1.014607849E3
2.699259112E2,1.014607697E3
2.721921329E2,1.014717255E3
2.731985319E2,1.014706116E3
2.742049309E2,1.014694901E3
2.752113959E2,1.014651031E3
2.762178769E2,1.014651031E3
2.765682699E2,1.014657669E3
2.776418639E2,1.014661331E3
2.787154479E2,1.014661331E3
2.797890129E2,1.014677124E3
2.808625519E2,1.014677124E3
2.819360639E2,1.014672394E3
2.830095969E2,1.014672012E3
2.840831719E2,1.014670792E3
2.851568289E2,1.014669495E3
2.862305219E2,1.014669495E3
2.873041019E2,1.014672470E3
2.883776739E2,1.014673767E3
2.894511969E2,1.014674301E3
2.905247459E2,1.014674301E3
2.915983199E2,1.014674072E3
2.926718259E2,1.014673462E3
