"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.618736667E-1,-8.735599369E-2,1.882685721E-1,-1.607620716E-1
7.718856668E-1,-9.250867367E-2,3.237065673E-1,-1.555984616E-1
7.818966666E-1,-7.966166735E-2,4.683013260E-1,-1.545989662E-1
7.919086667E-1,-4.446186870E-2,6.215898991E-1,-1.622326523E-1
8.019206666E-1,-2.087272890E-2,7.833741903E-1,-1.899525672E-1
8.119326667E-1,-3.296587616E-2,8.897743821E-1,-2.325660735E-1
8.219446666E-1,-7.292622328E-2,8.796296120E-1,-2.744906247E-1
8.319566667E-1,-3.316416591E-2,8.324043155E-1,-3.282233477E-1
8.419676668E-1,1.656792760E-1,8.841401935E-1,-3.953229189E-1
8.519796666E-1,4.497767687E-1,1.019025564E0,-4.349566102E-1
8.619916667E-1,6.902479529E-1,1.131849289E0,-4.184897244E-1
8.720036666E-1,8.203849196E-1,1.153190255E0,-3.593097627E-1
8.820156667E-1,8.755161166E-1,1.127105117E0,-2.825725079E-1
8.920276666E-1,9.109449387E-1,1.061917901E0,-2.459455281E-1
9.020386667E-1,9.551955462E-1,9.687899351E-1,-2.437070310E-1
9.120506668E-1,9.828996062E-1,8.493726850E-1,-2.437222004E-1
9.220626666E-1,9.874222875E-1,6.723064780E-1,-2.774266899E-1
9.320746667E-1,9.959779978E-1,5.020534992E-1,-3.402983248E-1
9.420866666E-1,1.004957914E0,4.560289085E-1,-3.999795020E-1
9.520976667E-1,9.789761901E-1,5.431089401E-1,-4.074456990E-1
9.621096666E-1,9.159673452E-1,6.276355982E-1,-3.974871635E-1
9.721216667E-1,8.498530388E-1,6.726880074E-1,-3.954780698E-1
9.821336668E-1,7.713013887E-1,7.214659452E-1,-3.926443160E-1
9.921456666E-1,6.677009463E-1,7.879464030E-1,-3.635636568E-1
1.002157667E0,5.428851843E-1,8.539656997E-1,-3.203633130E-1
1.012168667E0,3.986135125E-1,9.006011486E-1,-2.834402025E-1
1.022180667E0,2.672594190E-1,9.546285272E-1,-2.556013465E-1
1.032192667E0,1.295819730E-1,9.976748228E-1,-2.214233875E-1
1.042204667E0,-2.207132988E-2,1.018119335E0,-1.544196606E-1
1.052216667E0,-1.898083985E-1,9.734606147E-1,-1.014272869E-1
1.062228667E0,-3.826380670E-1,8.106740713E-1,-7.693909109E-2
1.072239667E0,-5.839937925E-1,4.704746306E-1,-6.044240296E-2
1.082251667E0,-7.426007986E-1,-1.557401102E-2,-4.402710125E-2
1.092263667E0,-8.158206940E-1,-5.296223760E-1,-4.505401477E-2
1.102275667E0,-8.010680676E-1,-8.938928246E-1,-4.081195220E-2
1.112287667E0,-7.420638800E-1,-1.043877721E0,-2.080761641E-2
1.122299667E0,-6.569568515E-1,-1.015189886E0,8.953494951E-3
1.132310667E0,-5.613216758E-1,-9.032462835E-1,5.604910105E-2
1.142322667E0,-4.627445936E-1,-8.129028678E-1,1.042296663E-1
1.152334667E0,-3.633199930E-1,-8.228119612E-1,1.659811735E-1
1.162346667E0,-2.779221833E-1,-9.442252517E-1,3.175070286E-1
1.172358667E0,-1.889185607E-1,-1.052689314E0,5.308420062E-1
1.182369667E0,-1.303409040E-1,-1.072896600E0,7.270817757E-1
1.192381667E0,-1.002021804E-1,-1.031074286E0,9.070408940E-1
1.202393667E0,-1.415923685E-1,-9.905595183E-1,1.038158655E0
1.212405667E0,-2.105045915E-1,-9.627001882E-1,1.093700409E0
1.222417667E0,-2.527446151E-1,-9.291118979E-1,1.077850938E0
1.232429667E0,-2.550447881E-1,-8.876193166E-1,1.011286020E0
1.242440667E0,-2.313481122E-1,-8.089253306E-1,9.297931194E-1
1.252452667E0,-2.150887102E-1,-6.941838861E-1,8.558624387E-1
1.262464667E0,-2.385970205E-1,-5.526325107E-1,8.079759479E-1
1.272476667E0,-3.024156988E-1,-3.496131003E-1,7.597407699E-1
1.282488667E0,-4.023472369E-1,-1.099378765E-1,7.038769722E-1
1.292500667E0,-4.703025818E-1,8.482202142E-2,6.468949318E-1
1.302511667E0,-5.129821301E-1,1.794977784E-1,6.098775268E-1
1.312522875E0,-5.372642875E-1,1.669407040E-1,5.958706141E-1
1.322534875E0,-5.494763851E-1,6.184768677E-2,5.867017508E-1
1.332546875E0,-5.287429094E-1,-1.100665480E-1,5.602450967E-1
1.342558875E0,-4.591810405E-1,-2.943974733E-1,5.383601189E-1
1.352570875E0,-3.727737069E-1,-4.522944391E-1,5.193437934E-1
1.362581875E0,-2.961385250E-1,-5.419653058E-1,5.092071295E-1
1.372593875E0,-2.516363263E-1,-5.672466755E-1,5.112809539E-1
1.382605875E0,-2.302965522E-1,-5.107620358E-1,5.342550278E-1
1.392617875E0,-2.357355356E-1,-3.881056309E-1,5.690628290E-1
1.402629875E0,-2.562437356E-1,-2.079909742E-1,6.184820533E-1
1.412640875E0,-3.043284416E-1,-7.634981535E-3,6.602907181E-1
1.422652875E0,-3.608494997E-1,2.014432102E-1,6.885727048E-1
1.432664875E0,-4.246125221E-1,3.849571049E-1,7.124202847E-1
1.442676875E0,-4.657348990E-1,5.554583073E-1,7.470206022E-1
1.452688875E0,-4.807900190E-1,6.895958781E-1,7.872124910E-1
1.462700875E0,-4.864902794E-1,7.650137544E-1,8.260564804E-1
1.472711875E0,-4.711297154E-1,7.883009315E-1,8.336755633E-1
1.482723875E0,-4.314810932E-1,7.457829118E-1,8.265908957E-1
1.492735875E0,-3.478463888E-1,6.649655700E-1,8.049066067E-1
1.502747875E0,-2.130709291E-1,5.652313828E-1,7.751050591E-1
1.512759875E0,-3.598430008E-2,5.081494451E-1,7.459397316E-1
1.522771875E0,1.399642676E-1,4.891647100E-1,7.231832743E-1
1.532782875E0,2.838492692E-1,4.879655242E-1,7.037810683E-1
1.542794875E0,3.651206791E-1,5.080012679E-1,6.787582636E-1
1.552806875E0,4.093278348E-1,5.366688967E-1,6.496957541E-1
1.562818875E0,4.164679945E-1,5.826299191E-1,6.128834486E-1
1.572830875E0,4.279656708E-1,6.442482471E-1,5.869298577E-1
1.582841875E0,4.520037472E-1,6.952515841E-1,5.383942127E-1
1.592853875E0,4.893460572E-1,7.107990980E-1,4.910796881E-1
1.602865875E0,5.251185298E-1,6.918909550E-1,4.567581415E-1
1.612877875E0,5.393983722E-1,6.454616785E-1,4.150258601E-1
1.622889875E0,5.348902941E-1,5.686392188E-1,3.822989464E-1
1.632901875E0,5.126569271E-1,4.981176257E-1,3.563784063E-1
1.642912875E0,4.644362032E-1,4.523868561E-1,3.296320140E-1
1.652924875E0,4.063257575E-1,4.058808684E-1,2.897317111E-1
1.662936875E0,3.257472217E-1,3.593885005E-1,2.452775240E-1
1.672948875E0,2.348436713E-1,3.358032703E-1,2.023899853E-1
1.682960875E0,1.462342590E-1,3.055033982E-1,1.665807664E-1
1.692972875E0,7.793402672E-2,2.672830522E-1,1.308957338E-1
1.702983875E0,1.871287823E-2,1.984770447E-1,1.013538912E-1
1.712995875E0,-3.759060800E-2,1.009768546E-1,6.713999063E-2
1.723007875E0,-6.517672539E-2,-2.596515790E-2,2.730299532E-2
1.733019875E0,-7.546584308E-2,-1.524461210E-1,-4.416583106E-3
1.743031875E0,-7.262146473E-2,-2.715542316E-1,-6.385651883E-3
1.753042875E0,-5.681107193E-2,-3.834322989E-1,-1.308829617E-2
1.763054875E0,-6.065934151E-2,-4.752339423E-1,-2.775773779E-2
1.773066875E0,-9.456324577E-2,-5.155497193E-1,-2.577900887E-2
1.783078875E0,-1.445796341E-1,-4.857931733E-1,-1.686329767E-2
1.793090875E0,-1.967387050E-1,-3.955058753E-1,-1.669072360E-2
1.803102875E0,-2.418901324E-1,-2.832414210E-1,-1.100754738E-2
1.813113875E0,-2.820279598E-1,-2.053346336E-1,-6.198677234E-3
1.823125875E0,-3.125922382E-1,-2.070165277E-1,3.285425249E-3
1.833137875E0,-3.419754207E-1,-2.640182972E-1,2.025162429E-2
