"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.718856668E-1,2.371656981E-1,-3.227043235E-1,4.660999784E-1
7.818966666E-1,5.412646200E-1,-1.315641063E-1,8.923228231E-1
7.919086667E-1,8.624485213E-1,1.291889673E-1,1.302331924E0
8.019206666E-1,1.097059717E0,3.018011123E-1,1.508366753E0
8.119326667E-1,1.214108403E0,2.029498386E-1,1.400833534E0
8.219446666E-1,1.271702454E0,-1.064327735E-1,1.142698258E0
8.319566667E-1,1.222081374E0,-3.996256149E-1,1.116601843E0
8.419676668E-1,1.288161196E0,-5.878854936E-1,1.763348333E0
8.519796666E-1,1.486108011E0,-6.352578807E-1,2.774454418E0
8.619916667E-1,1.549494168E0,-7.165873879E-1,3.057790900E0
8.720036666E-1,1.431081034E0,-9.113189650E-1,2.512581310E0
8.820156667E-1,1.226008071E0,-9.307206112E-1,1.681707461E0
8.920276666E-1,1.085398176E0,-6.438936335E-1,1.152138880E0
9.020386667E-1,1.260146894E0,-4.233185327E-1,1.040736851E0
9.120506668E-1,1.478524611E0,-2.977472377E-1,1.113687298E0
9.220626666E-1,1.600008848E0,1.235838264E-1,1.203560903E0
9.320746667E-1,1.872528713E0,5.838240176E-1,1.301139238E0
9.420866666E-1,1.997005117E0,9.015687329E-1,1.399671400E0
9.520976667E-1,1.713525085E0,1.182053236E0,1.217092091E0
9.621096666E-1,1.324657178E0,1.233841440E0,8.452965912E-1
9.721216667E-1,1.218382571E0,1.221095679E0,5.785363805E-1
9.821336668E-1,1.172269675E0,1.199874380E0,3.912604420E-1
9.921456666E-1,8.560157070E-1,1.202123219E0,1.504311709E-1
1.002157667E0,3.740545714E-1,1.397963428E0,-1.707891293E-1
1.012168667E0,-1.071139741E-1,1.682279611E0,-4.940569782E-1
1.022180667E0,-5.484805226E-1,1.850281227E0,-8.230072975E-1
1.032192667E0,-9.612734824E-1,1.944766384E0,-1.119712561E0
1.042204667E0,-1.453811646E0,2.095845573E0,-1.540416073E0
1.052216667E0,-1.767208957E0,2.195997852E0,-1.937422135E0
1.062228667E0,-1.375781723E0,2.137825658E0,-2.307871314E0
1.072239667E0,-9.117537054E-1,1.844010088E0,-2.708389360E0
1.082251667E0,-7.409027418E-1,1.355887449E0,-2.868328249E0
1.092263667E0,-6.490906388E-1,7.202746421E-1,-2.464239747E0
1.102275667E0,-5.545157263E-1,2.237980860E-1,-1.694517395E0
1.112287667E0,-4.830156809E-1,-1.274751484E-1,-8.494342272E-1
1.122299667E0,-3.715665811E-1,-5.601620901E-1,-2.848376088E-1
1.132310667E0,-2.707687694E-1,-1.071220433E0,-6.056575209E-2
1.142322667E0,-1.980247289E-1,-1.534784181E0,-1.766747904E-1
1.152334667E0,-2.978282216E-1,-1.933185389E0,-5.071936253E-1
1.162346667E0,-7.150972250E-1,-2.275385499E0,-7.523577297E-1
1.172358667E0,-1.558469205E0,-2.530194293E0,-9.241006860E-1
1.182369667E0,-2.371462269E0,-2.443579488E0,-9.836512153E-1
1.192381667E0,-2.782175959E0,-2.081308225E0,-1.082449425E0
1.202393667E0,-2.946176324E0,-1.717228419E0,-1.223695498E0
1.212405667E0,-2.843110085E0,-1.314904899E0,-1.233054697E0
1.222417667E0,-2.521099242E0,-7.221884358E-1,-7.484482813E-1
1.232429667E0,-1.939400395E0,-8.732407272E-2,1.174217382E-1
1.242440667E0,-1.232920650E0,4.705745602E-1,9.682173434E-1
1.252452667E0,-5.517260197E-1,7.794379395E-1,1.542455728E0
1.262464667E0,4.812697023E-3,9.349002010E-1,1.691062714E0
1.272476667E0,4.706491122E-1,8.912595069E-1,1.307581261E0
1.282488667E0,9.514117147E-1,6.336446339E-1,6.108472171E-1
1.292500667E0,1.255761336E0,3.899291772E-1,-9.954446107E-2
1.302511667E0,1.322574692E0,9.458280623E-2,-5.056648707E-1
1.312522875E0,1.082030472E0,-1.518118447E-1,-8.296652296E-1
1.322534875E0,9.170110832E-1,-2.667125559E-1,-1.044429660E0
1.332546875E0,8.345599338E-1,-1.974832767E-1,-9.716873735E-1
1.342558875E0,7.869982432E-1,-2.596567208E-1,-5.320100856E-1
1.352570875E0,7.055460906E-1,-4.680409616E-1,5.085761994E-2
1.362581875E0,6.341993885E-1,-7.314475018E-1,5.207202816E-1
1.372593875E0,6.436702698E-1,-9.131163990E-1,7.984419751E-1
1.382605875E0,6.364300282E-1,-8.785254407E-1,8.906689382E-1
1.392617875E0,5.390107376E-1,-7.686615211E-1,9.498676112E-1
1.402629875E0,4.836173594E-1,-6.453010583E-1,9.506181014E-1
1.412640875E0,3.991970140E-1,-4.960777760E-1,8.328028455E-1
1.422652875E0,3.698739584E-1,-3.645452446E-1,6.314457884E-1
1.432664875E0,3.264339700E-1,-2.651683062E-1,4.191284180E-1
1.442676875E0,1.809689856E-1,-1.739271837E-1,3.038654718E-1
1.452688875E0,-2.410273455E-2,-8.780588329E-2,4.576162532E-1
1.462700875E0,-2.583328380E-1,2.079129553E-1,5.817125881E-1
1.472711875E0,-4.117719994E-1,5.707420421E-1,6.166271898E-1
1.482723875E0,-3.894649813E-1,7.690831053E-1,5.634821391E-1
1.492735875E0,-3.406891529E-1,6.964250189E-1,3.836969224E-1
1.502747875E0,-3.667277544E-1,4.948720801E-1,2.760002732E-1
1.512759875E0,-3.213836568E-1,2.465115952E-1,2.888217553E-1
1.522771875E0,-2.801683878E-1,2.589147091E-2,5.164936218E-1
1.532782875E0,-2.519920626E-1,3.532186031E-2,6.245829114E-1
1.542794875E0,-1.338671784E-1,2.310386932E-1,5.483013055E-1
1.552806875E0,-4.033601219E-2,4.389610040E-1,3.966178071E-1
1.562818875E0,1.077945169E-1,5.239649016E-1,3.083459008E-1
1.572830875E0,2.284804815E-1,4.480428994E-1,1.171124205E-1
1.582841875E0,2.616306859E-1,3.132663327E-1,2.430395186E-3
1.592853875E0,4.025846715E-1,2.264913136E-1,-5.118944943E-3
1.602865875E0,3.824000099E-1,4.137723684E-1,-1.558414534E-1
1.612877875E0,4.732970238E-1,5.595042783E-1,-4.466711426E-1
1.622889875E0,7.539915879E-1,6.599711376E-1,-7.543694642E-1
1.632901875E0,9.630127367E-1,5.770085031E-1,-9.899502745E-1
1.642912875E0,1.035535899E0,3.461569208E-1,-1.005227295E0
1.652924875E0,8.786802457E-1,1.329814714E-1,-8.768741870E-1
1.662936875E0,7.023774844E-1,-2.206271410E-2,-7.375499484E-1
1.672948875E0,5.810392446E-1,-2.417355895E-2,-6.392152762E-1
1.682960875E0,4.368015542E-1,9.532130957E-3,-5.529477954E-1
1.692972875E0,3.961784985E-1,-1.269290185E-1,-3.682134953E-1
1.702983875E0,3.538704580E-1,-1.834423578E-1,-1.969836321E-1
1.712995875E0,2.106724756E-1,-9.176210940E-2,-2.203938371E-1
1.723007875E0,2.601519434E-2,4.428681135E-3,-2.723711988E-1
1.733019875E0,-1.391673596E-1,1.676537061E-1,-2.284741044E-1
1.743031875E0,-4.153749806E-1,4.011792201E-1,-1.587530744E-1
1.753042875E0,-7.215951627E-1,5.936151803E-1,1.515042812E-2
1.763054875E0,-8.585780299E-1,6.249001229E-1,2.344961518E-1
1.773066875E0,-1.032696783E0,3.844936055E-1,4.751286641E-1
1.783078875E0,-1.254550670E0,8.222997844E-2,6.939574939E-1
1.793090875E0,-1.334056138E0,-2.566266936E-1,8.946617094E-1
1.803102875E0,-1.386893625E0,-6.144371152E-1,1.037475274E0
1.813113875E0,-1.529103611E0,-8.721893978E-1,1.092597853E0
1.823125875E0,-1.539805331E0,-9.694812191E-1,1.039930812E0
1.833137875E0,-1.348228912E0,-9.021066767E-1,9.101670635E-1
1.843149875E0,-1.066424254E0,-6.506840050E-1,6.905506137E-1
1.853161875E0,-7.386217430E-1,-3.580975199E-1,5.132513407E-1
1.863173875E0,-4.336289646E-1,-1.871097314E-1,3.893801236E-1
1.873184875E0,-1.874096022E-1,-1.480830753E-1,2.989985418E-1
1.883196875E0,6.320324834E-2,-1.422762054E-1,3.296952546E-1
1.893208875E0,2.807509167E-1,-6.289089739E-2,3.720773354E-1
1.903220875E0,4.020566679E-1,8.863735735E-2,4.219108155E-1
1.913232875E0,4.683762994E-1,2.444323254E-1,5.457384709E-1
1.923244875E0,5.296934187E-1,3.083827382E-1,7.019947842E-1
1.933255875E0,4.511194119E-1,3.415077996E-1,8.654911199E-1
1.943267875E0,2.783572493E-1,2.984559202E-1,9.667049611E-1
1.953279875E0,7.020247512E-2,2.263574123E-1,8.992225376E-1
1.963291875E0,-9.243956415E-2,1.746171552E-1,7.590940145E-1
1.973303875E0,-2.110724252E-1,2.346470100E-1,5.769760510E-1
1.983314875E0,-2.086548208E-1,3.099030143E-1,4.528189051E-1
1.993326875E0,-1.030515114E-1,3.109192604E-1,3.877136672E-1
2.003338875E0,-4.918869669E-2,3.055176026E-1,3.243079224E-1
2.013350875E0,1.841114072E-1,1.692956042E-1,2.866743654E-1
2.023362875E0,4.343573084E-1,-2.159493685E-2,1.570211291E-1
2.033374875E0,5.464118874E-1,-1.207192755E-1,-5.287871003E-2
2.043385875E0,6.028258971E-1,-1.965079612E-1,-3.194898167E-1
2.053397875E0,6.361032419E-1,-2.565348923E-1,-4.879966316E-1
2.063409875E0,5.998716279E-1,-2.387903470E-1,-5.111051202E-1
2.073421875E0,5.432903513E-1,-1.762532061E-1,-4.745173377E-1
2.083433875E0,4.680365031E-1,-1.284416932E-1,-4.249066365E-1
2.093444875E0,3.841835934E-1,-5.654608369E-2,-3.848146176E-1
2.103456875E0,2.672841212E-1,3.869161069E-2,-3.172965261E-1
2.113468875E0,1.283453603E-1,1.261396444E-1,-2.648686364E-1
2.123480875E0,1.203859476E-2,1.544460154E-1,-2.614945006E-1
2.133492875E0,-1.341697353E-1,1.311898845E-1,-3.170503584E-1
2.143504875E0,-1.947069091E-1,7.184356928E-2,-3.552116266E-1
2.153515875E0,-1.745988096E-1,2.265679121E-2,-3.202879617E-1
2.163527875E0,-1.453900122E-1,-1.860525548E-2,-2.723618433E-1
2.173539875E0,-8.508039557E-2,-2.425951302E-2,-2.064859423E-1
2.183551875E0,-3.394141492E-2,-2.932554066E-2,-9.485031635E-2
2.193563875E0,-1.864724580E-2,-4.118720233E-2,3.380158424E-2
2.203575875E0,3.716636449E-5,-1.822577119E-2,1.149457347E-1
2.213586875E0,-2.655560497E-2,-3.902431726E-3,1.544129786E-1
2.223598875E0,-5.746766883E-2,-2.259539545E-2,1.775708762E-1
2.233610875E0,-6.698695418E-2,-5.290911555E-2,2.019990814E-1
2.243622875E0,-8.460392059E-2,-8.143066406E-2,2.740274227E-1
2.253634875E0,-7.983167899E-2,-7.977999508E-2,3.754447469E-1
2.263645875E0,-6.225590805E-2,-5.683727503E-2,4.441267267E-1
2.273657875E0,-2.963421883E-2,-3.532536864E-2,4.435820585E-1
2.283669875E0,-4.803642975E-3,1.323224902E-3,4.570432261E-1
2.293681875E0,1.498266784E-2,1.134593725E-2,4.700295997E-1
2.303693875E0,4.888965729E-2,2.147273004E-2,4.535954154E-1
2.313705875E0,7.483931713E-2,-2.783274651E-4,4.063847038E-1
2.323716875E0,9.737516234E-2,-2.181128383E-2,3.335658190E-1
2.333728875E0,1.465805419E-1,-1.215519190E-2,2.799398348E-1
2.343740875E0,1.441679259E-1,6.769321561E-3,2.648706830E-1
2.353752875E0,9.235068647E-2,4.569891393E-2,3.006003866E-1
2.363764875E0,7.774865409E-2,4.742501199E-2,3.347039795E-1
2.373776875E0,2.302840004E-2,1.969926953E-2,3.658061966E-1
2.383787875E0,-5.232307836E-2,-2.053717554E-2,3.732888785E-1
2.393799875E0,-1.339549597E-1,-3.944180846E-2,2.981039178E-1
2.403811875E0,-1.816197807E-1,-6.788032651E-2,1.847635362E-1
2.413823875E0,-1.724213795E-1,-1.051072097E-1,1.084433386E-1
2.423835875E0,-1.760954775E-1,-1.202544218E-1,6.290580779E-2
2.433846875E0,-1.548320412E-1,-6.213660657E-2,5.309447229E-2
2.443858875E0,-1.196250422E-1,1.990509152E-2,5.861365914E-2
2.453870875E0,-8.892418155E-2,5.320030689E-2,1.144218242E-1
2.463882875E0,-1.050953873E-1,6.863695621E-2,1.652762282E-1
2.473894875E0,-1.120302947E-1,5.123447299E-2,2.005808392E-1
2.483906875E0,-1.107851302E-1,1.301648676E-2,1.995374036E-1
2.493917875E0,-1.046622183E-1,1.805035472E-3,1.498053727E-1
2.503929875E0,-9.014930114E-2,2.473372221E-3,1.106667423E-1
2.513941875E0,-8.378129957E-2,-4.080187082E-3,8.629759401E-2
2.523953875E0,-4.436834347E-2,-3.668893933E-2,6.209158301E-2
2.533965875E0,2.335602684E-2,-7.706454813E-2,1.034036234E-1
2.543976875E0,8.593818211E-2,-7.447189271E-2,1.586118641E-1
2.553988875E0,1.265829730E-1,-4.083987772E-2,1.721943614E-1
2.564000875E0,1.462296267E-1,-1.279663146E-2,1.770876038E-1
2.574012875E0,1.525144699E-1,-3.203104734E-3,1.992938671E-1
2.584024875E0,1.306010791E-1,-3.607030392E-2,1.894579732E-1
2.594036875E0,1.035208966E-1,-8.944719672E-2,1.935372832E-1
2.604047875E0,6.359741463E-2,-1.291497910E-1,1.913185573E-1
2.614059875E0,4.269180056E-3,-1.306671435E-1,1.970064363E-1
2.624071875E0,-5.924055375E-2,-1.072782809E-1,2.103255165E-1
