"Time (s)","X (hPa)"
-5.610142084E-1,1.015676117E3
4.392317916E-1,1.015680542E3
1.439490792E0,1.015684891E3
2.439747792E0,1.015699081E3
3.440008792E0,1.015701904E3
3.797973792E0,1.015703583E3
4.864937792E0,1.015704575E3
5.931923792E0,1.015705490E3
6.998870792E0,1.015705490E3
8.065822792E0,1.015705185E3
9.132796792E0,1.015704575E3
1.019976479E1,1.015703812E3
1.126671179E1,1.015700989E3
1.233369179E1,1.015695038E3
1.340064279E1,1.015686722E3
1.446758179E1,1.015683365E3
1.553451779E1,1.015677414E3
1.660143479E1,1.015673904E3
1.766838379E1,1.015673904E3
1.873526479E1,1.015679932E3
1.980213479E1,1.015681915E3
2.086904479E1,1.015686493E3
2.193589979E1,1.015691528E3
2.300280279E1,1.015697021E3
2.406976179E1,1.015701447E3
2.513667079E1,1.015704880E3
2.620360979E1,1.015709076E3
2.727047379E1,1.015709076E3
2.833730279E1,1.015707932E3
3.112299717E1,1.015713043E3
3.212310917E1,1.015709686E3
3.312326417E1,1.015706406E3
3.412342317E1,1.015703125E3
3.512357417E1,1.015703125E3
3.548162517E1,1.015703125E3
3.654848317E1,1.015696640E3
3.761534017E1,1.015691986E3
3.868213917E1,1.015685501E3
3.974892617E1,1.015676804E3
4.081575417E1,1.015671921E3
4.188262417E1,1.015663757E3
4.294950217E1,1.015663757E3
4.401639217E1,1.015666656E3
4.508330917E1,1.015666656E3
4.615022317E1,1.015667572E3
4.721711617E1,1.015671768E3
4.828404317E1,1.015674286E3
4.935093317E1,1.015674362E3
5.041782317E1,1.015674973E3
5.148468217E1,1.015674973E3
5.255153017E1,1.015674973E3
5.361839317E1,1.015669708E3
5.468524217E1,1.015666046E3
5.575206917E1,1.015665817E3
5.681888017E1,1.015666046E3
5.788568917E1,1.015673065E3
5.895253617E1,1.015677719E3
6.001937417E1,1.015680847E3
6.108618917E1,1.015685272E3
6.215303317E1,1.015685272E3
6.321991517E1,1.015684357E3
6.428673717E1,1.015682983E3
6.535358917E1,1.015681839E3
6.642039617E1,1.015676651E3
6.748719517E1,1.015671539E3
6.855404617E1,1.015667801E3
6.962088017E1,1.015667801E3
7.068771417E1,1.015670090E3
7.317021237E1,1.015836639E3
7.417034737E1,1.015809784E3
7.517048237E1,1.015782928E3
7.617062437E1,1.015750275E3
7.717076337E1,1.015741501E3
7.752878437E1,1.015735703E3
7.859557937E1,1.015724411E3
7.966240337E1,1.015724411E3
8.072922537E1,1.015724411E3
8.179601937E1,1.015723724E3
8.286285537E1,1.015723190E3
8.392969337E1,1.015722046E3
8.499656737E1,1.015719147E3
8.606341537E1,1.015715714E3
8.713023837E1,1.015712585E3
8.819709937E1,1.015708389E3
8.926396537E1,1.015703583E3
9.033082837E1,1.015700378E3
9.139766137E1,1.015696259E3
9.246450837E1,1.015695419E3
9.353136537E1,1.015695419E3
9.459818737E1,1.015697098E3
9.566502537E1,1.015698700E3
9.673186037E1,1.015704575E3
9.779866537E1,1.015707932E3
9.886546937E1,1.015708237E3
9.993229537E1,1.015708237E3
1.009991704E2,1.015707779E3
1.033545402E2,1.015822678E3
1.043547402E2,1.015819702E3
1.053548722E2,1.015816727E3
1.063550602E2,1.015814743E3
1.075178292E2,1.015741806E3
1.085180002E2,1.015749512E3
1.095181722E2,1.015757141E3
1.105183242E2,1.015768280E3
1.115184372E2,1.015782928E3
1.118764142E2,1.015795364E3
1.129432902E2,1.015795441E3
1.140101682E2,1.015801849E3
1.150770172E2,1.015802765E3
1.161438772E2,1.015802765E3
1.172106892E2,1.015793839E3
1.182775442E2,1.015783157E3
1.193443522E2,1.015773010E3
1.204111492E2,1.015762863E3
1.214779622E2,1.015752869E3
1.225447532E2,1.015747147E3
1.248251095E2,1.015683365E3
1.258251605E2,1.015707169E3
1.268252325E2,1.015726700E3
1.278253435E2,1.015726700E3
1.288253855E2,1.015711517E3
1.291834905E2,1.015711517E3
1.302502205E2,1.015712891E3
1.313169515E2,1.015714569E3
1.323836605E2,1.015714569E3
1.334504085E2,1.015719833E3
1.345170995E2,1.015719833E3
1.355838415E2,1.015718765E3
1.366506315E2,1.015718460E3
1.377173985E2,1.015716782E3
1.387841245E2,1.015715942E3
1.398508135E2,1.015715561E3
1.409175345E2,1.015713196E3
1.419842745E2,1.015710449E3
1.430509715E2,1.015707932E3
1.441177025E2,1.015705185E3
1.451844595E2,1.015700836E3
1.462512525E2,1.015697708E3
1.473180025E2,1.015695572E3
1.483847625E2,1.015692825E3
1.494515085E2,1.015689468E3
1.505181965E2,1.015685730E3
1.515849355E2,1.015683289E3
1.526516825E2,1.015678558E3
1.537184435E2,1.015678253E3
1.547851715E2,1.015678253E3
1.558519125E2,1.015683365E3
1.569186615E2,1.015686340E3
1.579854165E2,1.015691833E3
1.590522195E2,1.015696793E3
1.601189535E2,1.015698090E3
1.611856355E2,1.015698090E3
1.622523785E2,1.015698090E3
1.633191005E2,1.015695343E3
1.643858235E2,1.015691147E3
1.654526345E2,1.015690079E3
1.665194395E2,1.015689011E3
1.675862505E2,1.015688782E3
1.686530285E2,1.015688782E3
1.697197785E2,1.015691986E3
1.707865305E2,1.015692978E3
1.718533185E2,1.015692978E3
1.729200755E2,1.015692978E3
1.739868185E2,1.015693283E3
1.750535535E2,1.015693283E3
1.761203205E2,1.015694504E3
1.771870705E2,1.015694504E3
1.782538705E2,1.015694504E3
1.793206885E2,1.015693512E3
1.803873995E2,1.015690994E3
1.814541275E2,1.015690994E3
1.825209175E2,1.015694351E3
1.835876555E2,1.015694351E3
1.866929992E2,1.015616150E3
1.876930912E2,1.015662384E3
1.886932212E2,1.015708694E3
1.896933322E2,1.015719757E3
1.906934282E2,1.015719833E3
1.910515432E2,1.015722351E3
1.921183053E2,1.015725403E3
1.931850452E2,1.015725403E3
1.942518452E2,1.015722504E3
1.953186333E2,1.015721436E3
1.963854092E2,1.015719833E3
1.974521822E2,1.015718994E3
1.985189753E2,1.015718994E3
1.995857703E2,1.015721512E3
2.021700603E2,1.015728607E3
2.031702213E2,1.015729370E3
2.041703973E2,1.015728607E3
2.051705483E2,1.015709991E3
2.061707133E2,1.015688324E3
2.065287903E2,1.015671082E3
2.075956043E2,1.015664978E3
2.086623813E2,1.015657730E3
2.097292263E2,1.015655823E3
2.107960613E2,1.015652161E3
2.118628953E2,1.015651627E3
2.129297793E2,1.015647202E3
2.139965853E2,1.015642319E3
2.150634173E2,1.015636597E3
2.176593288E2,1.015635605E3
2.186880171E2,1.015645294E3
2.196881781E2,1.015646210E3
2.206883441E2,1.015646362E3
2.216885101E2,1.015647202E3
2.226886831E2,1.015647049E3
2.230467111E2,1.015647049E3
2.241136091E2,1.015646667E3
2.251805011E2,1.015646667E3
2.262473611E2,1.015646896E3
2.273142051E2,1.015647812E3
2.283810801E2,1.015649185E3
2.294479231E2,1.015649490E3
2.305147401E2,1.015650101E3
2.315815661E2,1.015650482E3
2.326484121E2,1.015650482E3
2.337152861E2,1.015651550E3
2.347821781E2,1.015651550E3
2.376931611E2,1.015663528E3
2.386932641E2,1.015659943E3
2.396934221E2,1.015656357E3
2.406936391E2,1.015643539E3
2.416938391E2,1.015639496E3
2.420518721E2,1.015633087E3
2.431186501E2,1.015629196E3
2.441855181E2,1.015624847E3
2.452523631E2,1.015622940E3
2.463191901E2,1.015622253E3
2.473860011E2,1.015622253E3
2.484528651E2,1.015622253E3
2.495197101E2,1.015622253E3
2.505865031E2,1.015621948E3
2.516533201E2,1.015621948E3
2.527201671E2,1.015621948E3
2.537870221E2,1.015622559E3
2.548538521E2,1.015623169E3
2.559207141E2,1.015624847E3
2.569875841E2,1.015626068E3
2.580544441E2,1.015626068E3
2.591213131E2,1.015625916E3
2.601881861E2,1.015625229E3
2.612550641E2,1.015623627E3
2.623219541E2,1.015622101E3
2.633888331E2,1.015622101E3
2.644557301E2,1.015622330E3
2.655226601E2,1.015625610E3
2.665895151E2,1.015629425E3
2.676563661E2,1.015634689E3
2.687232861E2,1.015640793E3
2.697901931E2,1.015645218E3
2.708571341E2,1.015649338E3
2.719240581E2,1.015649338E3
2.729909561E2,1.015648422E3
2.740578751E2,1.015646515E3
2.751248001E2,1.015645523E3
2.761917021E2,1.015642548E3
2.772586041E2,1.015642242E3
2.804416291E2,1.015596695E3
2.814418151E2,1.015624695E3
2.824420161E2,1.015652771E3
