"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.253754162E-2,-1.739439130E0,1.802109033E-1,2.695876360E-1
2.253154165E-2,-1.978477359E0,4.409221187E-2,8.730332553E-2
3.252454166E-2,-2.120850801E0,1.493773516E-2,-1.308661103E-1
4.251754162E-2,-2.265176773E0,7.920039818E-3,-3.889163136E-1
5.251154164E-2,-2.438945055E0,6.356906891E-2,-7.182949781E-1
6.250454165E-2,-2.679437637E0,3.150886297E-2,-1.152579308E0
7.249754167E-2,-2.855116844E0,-3.357397020E-1,-1.646788478E0
8.249154163E-2,-2.971357584E0,-9.043032527E-1,-2.103987932E0
9.248454164E-2,-3.060921907E0,-1.469141603E0,-2.350708008E0
1.024775417E-1,-3.131192684E0,-2.046206713E0,-2.097293139E0
1.124715416E-1,-3.131700993E0,-2.654614210E0,-1.339213967E0
1.224645416E-1,-3.051072359E0,-3.130788326E0,-7.133824825E-1
1.324575417E-1,-2.985081434E0,-3.249795675E0,-4.702622890E-1
1.424505417E-1,-2.898832798E0,-2.927376509E0,-5.120976567E-1
1.524445416E-1,-2.684475660E0,-2.134907961E0,-6.308810115E-1
1.624375416E-1,-2.300640583E0,-1.038279414E0,-6.703522801E-1
1.724305417E-1,-1.709658742E0,3.402156532E-1,-6.478350163E-1
1.824245416E-1,-1.130864143E0,1.625115991E0,-4.785463512E-1
1.924175416E-1,-9.517920017E-1,2.116250038E0,-2.924262881E-1
2.024105416E-1,-1.052711129E0,1.888488412E0,-1.109960452E-1
2.124049583E-1,-1.188410997E0,1.379384875E0,7.578178495E-2
2.223979583E-1,-1.304789543E0,8.039932847E-1,2.013586164E-1
2.323909583E-1,-1.437570214E0,1.991473585E-1,2.269760221E-1
2.423849583E-1,-1.487043262E0,-1.185144782E-1,2.037564516E-1
2.523779583E-1,-1.511095405E0,-2.411544323E-1,1.197477877E-1
2.623709583E-1,-1.562073112E0,-2.728827894E-1,8.983663283E-4
2.723649583E-1,-1.621217847E0,-2.856415808E-1,-1.048604548E-1
2.823579583E-1,-1.594368935E0,-1.807106137E-1,-1.524104029E-1
2.923509583E-1,-1.437044978E0,6.823279709E-2,-1.560753733E-1
3.023439583E-1,-1.127743840E0,4.385229945E-1,-1.423329264E-1
3.123379583E-1,-7.165063024E-1,7.681757212E-1,-7.739701122E-2
3.223309583E-1,-2.917584777E-1,9.365831017E-1,1.910582744E-2
3.323239583E-1,8.652853221E-2,9.108718038E-1,1.140612215E-1
3.423179583E-1,3.655891716E-1,7.269722819E-1,1.729474366E-1
3.523109583E-1,5.706920028E-1,4.777375758E-1,2.258144617E-1
3.623039583E-1,7.756909728E-1,2.513329387E-1,2.882565558E-1
3.722979583E-1,1.023892879E0,1.106452271E-1,3.007327020E-1
3.822909583E-1,1.300733805E0,2.805075049E-2,2.453397661E-1
3.922839583E-1,1.575476646E0,1.159079000E-2,1.594547629E-1
4.022779583E-1,1.788311720E0,6.960801780E-2,7.651381195E-2
4.122709583E-1,1.905682445E0,1.547724158E-1,2.859358303E-2
4.222639583E-1,1.948874593E0,1.870507300E-1,4.791987687E-2
4.322579583E-1,1.964864612E0,8.183086663E-2,1.478756070E-1
4.422509583E-1,1.946281314E0,-1.456547678E-1,2.719802558E-1
4.522439583E-1,1.774109602E0,-3.610479832E-1,4.223051667E-1
4.622379583E-1,1.376141787E0,-5.128667951E-1,6.185585260E-1
4.722309583E-1,8.056247830E-1,-5.427278876E-1,8.428730965E-1
4.822239583E-1,2.232724130E-1,-5.282378793E-1,9.796746373E-1
4.922169583E-1,-2.257789224E-1,-4.616406560E-1,9.252274632E-1
5.022109583E-1,-4.900121689E-1,-2.905077934E-1,6.366798282E-1
5.122039583E-1,-5.952527523E-1,-1.397972647E-2,2.123604566E-1
5.221969583E-1,-5.785733461E-1,3.169790208E-1,-4.954944178E-2
5.321909583E-1,-4.828734100E-1,5.641575456E-1,-1.605015695E-1
5.421839583E-1,-2.864815295E-1,7.479835749E-1,-2.182173282E-1
5.521769583E-1,4.350732267E-2,8.681082726E-1,-2.456866056E-1
5.621709583E-1,4.879300296E-1,8.267214298E-1,-2.961679101E-1
5.721639583E-1,9.786636829E-1,5.377064347E-1,-3.551600277E-1
5.821569583E-1,1.598805189E0,1.088373661E-1,-4.297455847E-1
5.921509583E-1,2.333414078E0,-2.392198294E-1,-4.890186489E-1
6.021439583E-1,2.925802469E0,-5.538827181E-1,-4.813005328E-1
6.121369583E-1,3.221581221E0,-1.004266739E0,-4.105459154E-1
6.221299583E-1,3.194308519E0,-1.483704448E0,-2.676659822E-1
6.321239583E-1,2.844025373E0,-1.821475387E0,-7.927638292E-2
6.421169583E-1,1.967058420E0,-1.735598087E0,1.676234305E-1
6.521099583E-1,9.351487160E-1,-1.477059245E0,3.905864656E-1
6.621039583E-1,1.863467097E-1,-1.303911686E0,3.909409344E-1
6.720969583E-1,-1.345615387E-1,-1.253381133E0,2.080547363E-1
6.820899583E-1,-1.640911996E-1,-1.206380606E0,4.912313819E-2
6.920839583E-1,-1.014035493E-1,-1.124340653E0,-2.680336311E-2
7.020769583E-1,1.218905225E-1,-9.904611707E-1,-5.047007650E-2
7.120699583E-1,5.331031084E-1,-8.272828460E-1,-1.241055056E-1
