"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.682829583E-1,1.355131989E0,-1.275183243E1,1.587448883E0
7.782769583E-1,1.166374512E0,-1.300540512E1,1.465153198E0
7.882699583E-1,7.732919312E-1,-1.234303253E1,1.611099701E0
7.982629583E-1,3.785627747E-1,-1.137110367E1,1.799408112E0
8.082559583E-1,-5.583389282E-2,-1.066247726E1,1.597028961E0
8.182499583E-1,-2.772235107E-1,-1.033750305E1,1.626218262E0
8.282429583E-1,-3.956272888E-1,-1.021400986E1,1.487007751E0
8.382359583E-1,-6.144721985E-1,-9.909542999E0,8.994795227E-1
8.482299583E-1,-8.960366821E-1,-9.549242249E0,4.143383789E-1
8.582229583E-1,-9.839039612E-1,-9.441616058E0,7.813751221E-2
8.682159583E-1,-8.858578491E-1,-9.272916870E0,7.753875732E-2
8.782099583E-1,-5.923182678E-1,-8.998088379E0,2.604583740E-2
8.882029583E-1,-4.632865906E-1,-8.775650940E0,-1.272354126E-2
8.981959583E-1,-4.242178345E-1,-8.645721130E0,-5.987548828E-3
9.081899583E-1,-5.222639465E-1,-8.544980621E0,1.077758789E-2
9.181829583E-1,-6.812333679E-1,-8.478668518E0,4.326004028E-2
9.281759583E-1,-7.714956665E-1,-8.505013733E0,4.640350342E-3
9.381689583E-1,-9.372010803E-1,-8.540340271E0,-1.007405090E-1
9.481629583E-1,-1.053509216E0,-8.586444397E0,-7.994874573E-1
9.581559583E-1,-9.635462952E-1,-8.635691986E0,-2.219434662E0
9.681489583E-1,-1.068777466E0,-8.634644165E0,-3.159180450E0
9.781429583E-1,-1.191971283E0,-8.553363190E0,-3.232228546E0
9.881359583E-1,-9.993218994E-1,-8.659193115E0,-2.223625946E0
9.981289583E-1,-8.171507263E-1,-8.936117249E0,-1.097517700E0
1.008122958E0,-1.045126648E0,-9.250164185E0,-1.405577087E-1
1.018115958E0,-1.252146149E0,-9.556726685E0,-2.098635864E-1
1.028108958E0,-1.129850464E0,-9.809700623E0,-8.952882385E-1
1.038102958E0,-1.002764740E0,-9.726174316E0,-1.329984283E0
1.048095958E0,-8.581654358E-1,-9.610165558E0,-1.807042236E0
1.058088958E0,-6.370751953E-1,-9.673932953E0,-2.231709137E0
1.068082958E0,-4.194277954E-1,-9.861642609E0,-2.429897003E0
1.078075958E0,-3.137475586E-1,-1.007674530E1,-2.506088562E0
1.088068958E0,-3.591032410E-1,-1.044857208E1,-2.456242218E0
1.098061958E0,-5.068460083E-1,-1.088611221E1,-2.312690735E0
1.108055958E0,-8.309220886E-1,-1.119671631E1,-2.136058044E0
1.118048958E0,-1.278341675E0,-1.130194748E1,-2.071691895E0
1.128041958E0,-1.680255890E0,-1.145358215E1,-1.975292358E0
1.138035958E0,-1.922452240E0,-1.153501282E1,-1.731449432E0
1.148028958E0,-2.158062286E0,-1.154504196E1,-1.483714600E0
1.158021958E0,-2.348316650E0,-1.171224426E1,-1.329984283E0
1.168015958E0,-2.504142609E0,-1.175236084E1,-1.237626343E0
1.178008958E0,-2.455194397E0,-1.171733368E1,-1.378932495E0
1.188001958E0,-2.302212524E0,-1.167137924E1,-1.964215393E0
1.197995958E0,-2.045945435E0,-1.181837357E1,-2.544408875E0
1.207988417E0,-1.842518463E0,-1.235874985E1,-2.334694977E0
1.217981417E0,-1.955533447E0,-1.287802002E1,-1.690734100E0
1.227974417E0,-2.496658173E0,-1.306183777E1,-1.123413849E0
1.237968417E0,-3.315006409E0,-1.303160065E1,-7.658074951E-1
1.247961417E0,-3.286266174E0,-1.286484741E1,-1.068178711E0
1.257954417E0,-2.227817230E0,-1.242730728E1,-1.300794983E0
1.267948417E0,-1.348845062E0,-1.228151047E1,-7.291337585E-1
1.277941417E0,-4.882846069E-1,-1.201716019E1,3.823049927E-1
1.287934417E0,5.709127808E-1,-1.094748459E1,1.168919220E0
1.297928417E0,1.321751404E0,-1.011446686E1,8.475375366E-1
1.307921417E0,1.799108734E0,-1.016910324E1,5.777984619E-1
