"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.253754162E-2,-1.722932434E1,4.170606232E1,1.023759460E1
2.253154165E-2,-1.719486237E1,4.171331024E1,1.042321777E1
3.252454166E-2,-1.711686707E1,4.159457397E1,1.080285645E1
4.251754162E-2,-1.709606934E1,4.123033524E1,1.180100250E1
5.251154164E-2,-1.720337677E1,4.102450562E1,1.289732361E1
6.250454165E-2,-1.759880066E1,4.055265808E1,1.382712555E1
7.249754167E-2,-1.803920746E1,4.002207947E1,1.495679474E1
8.249154163E-2,-1.845410919E1,3.934147263E1,1.614604187E1
9.248454164E-2,-1.911979675E1,3.843099976E1,1.758191681E1
1.024775417E-1,-1.981770325E1,3.739206314E1,1.923072052E1
1.124715416E-1,-2.023325348E1,3.652721405E1,2.075490570E1
1.224645416E-1,-2.015294647E1,3.546075439E1,2.238088989E1
1.324575417E-1,-1.967716980E1,3.461860275E1,2.421545410E1
1.424505417E-1,-1.909551239E1,3.386895752E1,2.598094177E1
1.524445416E-1,-1.867402649E1,3.308241272E1,2.738939667E1
1.624375416E-1,-1.842977905E1,3.223103714E1,2.854120636E1
1.724305417E-1,-1.844670868E1,3.150162125E1,2.924979401E1
1.824245416E-1,-1.863071442E1,3.081964874E1,2.993517303E1
1.924175416E-1,-1.927947998E1,3.040241623E1,3.004242706E1
2.024105416E-1,-2.001126862E1,3.014260101E1,3.007927704E1
2.124049583E-1,-2.001126862E1,3.014260101E1,3.007927704E1
2.223979583E-1,-2.033139801E1,2.980196762E1,3.028129578E1
2.323909583E-1,-2.071425629E1,2.937129593E1,3.032904053E1
2.423849583E-1,-2.082994080E1,2.924345016E1,3.064652252E1
2.523779583E-1,-2.093720245E1,2.876366806E1,3.105645752E1
2.623709583E-1,-2.090274811E1,2.835342026E1,3.141369629E1
2.723649583E-1,-2.071962738E1,2.797265625E1,3.193056488E1
2.823579583E-1,-2.076753998E1,2.756472015E1,3.245557404E1
2.923509583E-1,-2.070719147E1,2.691736984E1,3.287783051E1
3.023439583E-1,-2.075217438E1,2.641302872E1,3.342684174E1
3.123379583E-1,-2.088281250E1,2.594319534E1,3.357527161E1
3.223309583E-1,-2.112819672E1,2.565102005E1,3.374468994E1
3.323239583E-1,-2.148738098E1,2.554065323E1,3.388707733E1
3.423179583E-1,-2.155554199E1,2.551236343E1,3.367984009E1
3.523109583E-1,-2.179221344E1,2.576205826E1,3.345406342E1
3.623039583E-1,-2.177233124E1,2.586818695E1,3.311962128E1
3.722979583E-1,-2.185170746E1,2.605999374E1,3.273196411E1
3.822909583E-1,-2.181908417E1,2.637346649E1,3.262333679E1
3.922839583E-1,-2.175681305E1,2.700201035E1,3.227727509E1
4.022779583E-1,-2.178898621E1,2.745886230E1,3.190024567E1
