"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686310140772010E9,"2023-06-09 13:29:00.772 UTC+02:00"
"PAUSE",4.738320741662756E1,1.686310188156366E9,"2023-06-09 13:29:48.156 UTC+02:00"
"START",4.738320741662756E1,1.686310199790358E9,"2023-06-09 13:29:59.790 UTC+02:00"
"PAUSE",8.870402875001310E1,1.686310241112181E9,"2023-06-09 13:30:41.112 UTC+02:00"
"START",8.870402875001310E1,1.686310251643133E9,"2023-06-09 13:30:51.643 UTC+02:00"
"PAUSE",9.371622300002491E1,1.686310256655449E9,"2023-06-09 13:30:56.655 UTC+02:00"
"START",9.371622300002491E1,1.686310267054013E9,"2023-06-09 13:31:07.054 UTC+02:00"
"PAUSE",9.876061700005084E1,1.686310272098529E9,"2023-06-09 13:31:12.099 UTC+02:00"
"START",9.876061700005084E1,1.686310301205396E9,"2023-06-09 13:31:41.205 UTC+02:00"
"PAUSE",1.415967733333819E2,1.686310344042591E9,"2023-06-09 13:32:24.043 UTC+02:00"
"START",1.415967733333819E2,1.686310349252540E9,"2023-06-09 13:32:29.253 UTC+02:00"
"PAUSE",1.470874817917356E2,1.686310354743381E9,"2023-06-09 13:32:34.743 UTC+02:00"
"START",1.470874817917356E2,1.686310363590834E9,"2023-06-09 13:32:43.591 UTC+02:00"
"PAUSE",1.524620715416968E2,1.686310368965554E9,"2023-06-09 13:32:48.966 UTC+02:00"
"START",1.524620715416968E2,1.686310379288078E9,"2023-06-09 13:32:59.288 UTC+02:00"
"PAUSE",2.107967361250194E2,1.686310437624156E9,"2023-06-09 13:33:57.624 UTC+02:00"
"START",2.107967361250194E2,1.686310447537640E9,"2023-06-09 13:34:07.538 UTC+02:00"
"PAUSE",2.151683908749837E2,1.686310451909400E9,"2023-06-09 13:34:11.909 UTC+02:00"
"START",2.151683908749837E2,1.686310474243190E9,"2023-06-09 13:34:34.243 UTC+02:00"
"PAUSE",2.748649285000283E2,1.686310533941174E9,"2023-06-09 13:35:33.941 UTC+02:00"
"START",2.748649285000283E2,1.686310582729364E9,"2023-06-09 13:36:22.729 UTC+02:00"
"PAUSE",3.402311330417288E2,1.686310648097153E9,"2023-06-09 13:37:28.097 UTC+02:00"
"START",3.402311330417288E2,1.686310666426131E9,"2023-06-09 13:37:46.426 UTC+02:00"
"PAUSE",3.419033478333731E2,1.686310668098386E9,"2023-06-09 13:37:48.098 UTC+02:00"
"START",3.419033478333731E2,1.686310681381030E9,"2023-06-09 13:38:01.381 UTC+02:00"
"PAUSE",3.480441277500358E2,1.686310687521959E9,"2023-06-09 13:38:07.522 UTC+02:00"
"START",3.480441277500358E2,1.686310729782250E9,"2023-06-09 13:38:49.782 UTC+02:00"
"PAUSE",4.162505657083821E2,1.686310797990341E9,"2023-06-09 13:39:57.990 UTC+02:00"
"START",4.162505657083821E2,1.686310807147721E9,"2023-06-09 13:40:07.148 UTC+02:00"
"PAUSE",4.224317002083990E2,1.686310813329005E9,"2023-06-09 13:40:13.329 UTC+02:00"
"START",4.224317002083990E2,1.686310825725229E9,"2023-06-09 13:40:25.725 UTC+02:00"
"PAUSE",4.277025230833678E2,1.686310830996179E9,"2023-06-09 13:40:30.996 UTC+02:00"
"START",4.277025230833678E2,1.686310866730287E9,"2023-06-09 13:41:06.730 UTC+02:00"
"PAUSE",5.044115433750558E2,1.686310943441167E9,"2023-06-09 13:42:23.441 UTC+02:00"
"START",5.044115433750558E2,1.686310969776060E9,"2023-06-09 13:42:49.776 UTC+02:00"
"PAUSE",5.706871272500721E2,1.686311036053250E9,"2023-06-09 13:43:56.053 UTC+02:00"
"START",5.706871272500721E2,1.686311091514121E9,"2023-06-09 13:44:51.514 UTC+02:00"
"PAUSE",5.763382250834256E2,1.686311097165355E9,"2023-06-09 13:44:57.165 UTC+02:00"
"START",5.763382250834256E2,1.686311140895242E9,"2023-06-09 13:45:40.895 UTC+02:00"
"PAUSE",6.159323926251382E2,1.686311180490369E9,"2023-06-09 13:46:20.490 UTC+02:00"
"START",6.159323926251382E2,1.686311199556411E9,"2023-06-09 13:46:39.556 UTC+02:00"
"PAUSE",6.225961040834663E2,1.686311206220283E9,"2023-06-09 13:46:46.220 UTC+02:00"
