"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.018379165E-2,-8.115527034E-1,1.646528006E0,1.294920802E0
4.017679166E-2,-3.160460591E-1,1.012406111E0,6.196861863E-1
5.016979162E-2,-7.722534239E-2,1.183032840E-1,-3.677805960E-1
6.016179163E-2,-1.214205027E-1,-5.140919685E-1,-1.347453356E0
7.015479164E-2,-2.595227957E-1,-6.807443500E-1,-2.142109871E0
8.014779165E-2,-3.991272748E-1,-5.627015829E-1,-2.584801674E0
9.013979166E-2,-4.728703797E-1,-4.687399566E-1,-2.703938723E0
1.001327916E-1,-5.404052138E-1,-4.004304111E-1,-2.668856144E0
1.101257916E-1,-6.298221350E-1,-4.286109507E-1,-2.457237959E0
1.201177916E-1,-8.080398440E-1,-6.501563787E-1,-2.041485310E0
1.301107917E-1,-1.114418149E0,-7.035527825E-1,-1.395123839E0
1.401037917E-1,-1.398519874E0,-4.368329346E-1,-4.537531734E-1
1.500957917E-1,-1.516324878E0,-4.013409615E-1,6.076435447E-1
1.600887916E-1,-1.495463729E0,-7.066470981E-1,1.579837918E0
1.700817916E-1,-4.719091952E-1,-2.385992289E0,2.035386324E0
1.800737916E-1,5.125623345E-1,-3.977289915E0,1.962771416E0
1.900667917E-1,4.846641421E-1,-3.823483467E0,1.900829196E0
2.000597916E-1,3.479483724E-1,-3.076397181E0,1.701405287E0
2.100517916E-1,5.428592563E-1,-2.842462540E0,1.379561424E0
2.200447916E-1,2.668045163E-1,-1.385357976E0,9.610680342E-1
2.300377917E-1,-1.648152918E-1,6.554040313E-1,5.394296646E-1
2.400297917E-1,-2.909242213E-1,1.964831352E0,2.035453767E-1
2.500227916E-1,-6.797518581E-2,2.709886074E0,8.350619674E-2
2.600157916E-1,2.569136918E-1,3.036811352E0,1.716783941E-1
2.700077916E-1,5.763767958E-1,3.025517941E0,4.587545097E-1
2.800007917E-1,7.953642607E-1,2.730724096E0,8.426175117E-1
2.899937917E-1,8.572216630E-1,2.205155611E0,1.218242288E0
2.999857917E-1,8.658290505E-1,1.740698218E0,1.480040312E0
3.099787916E-1,8.959625363E-1,1.641743898E0,1.495365024E0
3.199717916E-1,8.677548766E-1,1.681146502E0,1.285833120E0
3.299637916E-1,7.455812097E-1,1.765594125E0,9.420845509E-1
3.399569583E-1,4.867419600E-1,1.731390834E0,5.947598815E-1
3.499499583E-1,1.352189332E-1,1.442838311E0,3.643853962E-1
3.599419583E-1,-5.213512182E-1,1.048578143E0,2.816111445E-1
3.699349583E-1,-1.514398098E0,5.465712547E-1,3.103558719E-1
3.799279583E-1,-2.310160398E0,5.783861503E-2,3.442520499E-1
3.899199583E-1,-2.732592821E0,-3.613077700E-1,3.602721989E-1
3.999129583E-1,-2.808154345E0,-6.370170712E-1,3.554553390E-1
4.099059583E-1,-2.672814369E0,-8.193744421E-1,3.517123759E-1
4.198979583E-1,-2.435731888E0,-1.022738934E0,3.844812214E-1
4.298909583E-1,-2.172560453E0,-1.333546162E0,4.547882676E-1
4.398839583E-1,-1.908927679E0,-1.743322968E0,5.369545221E-1
4.498759583E-1,-1.643744826E0,-2.109391212E0,6.045007110E-1
4.598689583E-1,-1.398937225E0,-2.284022331E0,6.409460902E-1
4.698619583E-1,-1.220226884E0,-2.109263659E0,5.687426329E-1
4.798539583E-1,-1.141721725E0,-1.613948941E0,3.717512786E-1
4.898469583E-1,-1.084009647E0,-9.356757998E-1,2.186355740E-1
4.998399583E-1,-9.553124905E-1,-2.171917111E-1,1.601752043E-1
5.098319583E-1,-7.283086777E-1,4.402257502E-1,1.764119864E-1
5.198249583E-1,-4.358765483E-1,1.006918430E0,2.368590832E-1
5.298179583E-1,-1.548562497E-1,1.476264000E0,3.369851112E-1
5.398099583E-1,3.807884082E-2,1.869336605E0,4.260883629E-1
5.498029583E-1,9.639567882E-2,2.200982094E0,4.741710424E-1
5.597959583E-1,3.991563246E-2,2.450959206E0,5.208234787E-1
5.697879583E-1,-1.097472236E-1,2.611876726E0,5.648659468E-1
5.797809583E-1,-2.916360497E-1,2.631151438E0,6.048013568E-1
5.897739583E-1,-4.231657088E-1,2.490633726E0,6.420743465E-1
5.997659583E-1,-4.271721840E-1,2.218343973E0,6.618243456E-1
6.097589583E-1,-3.263467848E-1,1.849065900E0,6.397203207E-1
6.197519583E-1,-1.931141615E-1,1.416536808E0,5.495851040E-1
6.297439583E-1,-9.559129924E-2,9.685816765E-1,4.137634337E-1
6.397369583E-1,-4.866533726E-2,4.415915906E-1,2.531963885E-1
6.497299583E-1,-7.039055973E-2,-1.319747865E-1,1.322624981E-1
6.597219583E-1,-1.652835160E-1,-6.278353930E-1,1.087425351E-1
6.697149583E-1,-2.576138675E-1,-9.230892658E-1,1.245080456E-1
6.797079583E-1,-3.386083245E-1,-9.651427269E-1,1.246747598E-1
6.896999583E-1,-4.661512077E-1,-8.271604180E-1,1.064674482E-1
6.996929583E-1,-6.405286193E-1,-5.920014381E-1,9.525074810E-2
7.096859583E-1,-8.049198389E-1,-3.189296126E-1,7.986196131E-2
7.196779583E-1,-8.890536427E-1,-1.196455359E-1,2.063006163E-2
7.296709583E-1,-8.197371960E-1,-1.537849307E-1,-9.357684851E-2
7.396639583E-1,-3.600021005E-1,-8.305908442E-1,-2.256983966E-1
7.496559583E-1,7.835913897E-1,-2.068410873E0,-4.433497190E-1
7.596489583E-1,2.199801922E0,-2.832879066E0,-7.844519019E-1
7.696419583E-1,3.216698170E0,-2.562345505E0,-1.185949206E0
7.796339583E-1,3.634966850E0,-1.578268647E0,-1.479820728E0
7.896269583E-1,3.687700987E0,-4.167581797E-1,-1.648421049E0
7.996199583E-1,3.620009899E0,5.708274245E-1,-1.847742438E0
8.096119583E-1,3.530093908E0,1.143470407E0,-1.994602323E0
8.196049583E-1,3.427497387E0,1.433705926E0,-2.015139580E0
8.295979583E-1,3.330491781E0,1.485689402E0,-1.881896615E0
8.395909583E-1,3.188799858E0,1.199964404E0,-1.593205214E0
8.495829583E-1,2.880381346E0,5.933726430E-1,-1.212001324E0
8.595759583E-1,2.335054636E0,-2.985693216E-1,-7.115811110E-1
8.695679583E-1,1.697049379E0,-1.366785765E0,-2.222385556E-1
8.795609583E-1,1.113231182E0,-2.255764961E0,-2.952024527E-2
8.895539583E-1,6.680043936E-1,-2.559832335E0,-2.206310630E-1
8.995459583E-1,3.733400404E-1,-2.138155699E0,-7.214574218E-1
9.095389583E-1,1.678694785E-1,-1.274103642E0,-1.255078435E0
9.195319583E-1,2.050783634E-1,-3.588487506E-1,-1.665835857E0
9.295239583E-1,5.547864437E-1,2.981724441E-1,-2.146391392E0
9.395169583E-1,6.844293475E-1,9.123069644E-1,-2.637659073E0
9.495099583E-1,4.734676480E-1,1.844196439E0,-3.061483383E0
9.595019583E-1,1.460953504E-1,2.557754040E0,-3.147534370E0
9.694949583E-1,-1.554629952E-1,2.549392939E0,-2.742469311E0
9.794879583E-1,-4.461054802E-1,2.218146086E0,-2.138829708E0
9.894799583E-1,-6.099169850E-1,2.038631678E0,-1.528283715E0
9.994729583E-1,-6.390226483E-1,1.910132170E0,-9.926549196E-1
1.009465958E0,-6.426215768E-1,1.858592510E0,-5.618351698E-1
1.019457958E0,-6.852702498E-1,1.904964328E0,-2.832120657E-1
1.029450958E0,-6.819723248E-1,1.861920953E0,-8.775351942E-2
1.039443958E0,-6.070286036E-1,1.723688483E0,9.225754999E-3
1.049435958E0,-4.540378153E-1,1.686143517E0,3.155938908E-2
1.059428958E0,-2.223300487E-1,1.662555575E0,3.371601924E-2
1.069421958E0,6.224239245E-2,1.665153027E0,6.015897542E-2
1.079413958E0,3.467849195E-1,1.677303195E0,1.713765711E-1
1.089406958E0,6.178344488E-1,1.753490329E0,2.939282060E-1
1.099399958E0,8.171851039E-1,1.926589727E0,3.872608244E-1
1.109391958E0,9.045990705E-1,2.242350817E0,4.388696849E-1
1.119384958E0,8.381388187E-1,2.712274075E0,5.325620770E-1
1.129377958E0,5.763589144E-1,3.262596846E0,6.324793100E-1
1.139369958E0,2.222830951E-1,3.638291597E0,7.130404711E-1
1.149362958E0,-1.009419784E-1,3.553987265E0,8.191639185E-1
1.159355958E0,-3.410027921E-1,3.112096786E0,9.747729897E-1
1.169347958E0,-5.370106101E-1,2.579536915E0,1.150481343E0
1.179340958E0,-6.977044344E-1,2.187430620E0,1.272992015E0
1.189333958E0,-8.169281483E-1,2.033374786E0,1.279783249E0
1.199325958E0,-8.692520857E-1,2.019317627E0,1.200495362E0
1.209318958E0,-6.966513395E-1,2.051690102E0,9.968154430E-1
1.219311958E0,-4.531985223E-1,1.975345850E0,6.362357140E-1
1.229303958E0,-2.035842836E-1,1.441012025E0,-1.130948216E-1
1.239296958E0,6.430096179E-2,5.448323488E-1,-1.210694313E0
1.249289958E0,1.641877145E-1,-2.379488796E-1,-2.271073818E0
1.259281958E0,-3.878457099E-2,-4.779225886E-1,-3.078000069E0
1.269274958E0,-2.945455015E-1,-3.207399547E-1,-3.379385233E0
