"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.018379165E-2,-6.838966370E0,4.552548218E1,1.146936798E1
4.017679166E-2,-6.555290222E0,4.549066925E1,1.177191162E1
5.016979162E-2,-6.608802795E0,4.551487732E1,1.189266968E1
6.016179163E-2,-6.841026306E0,4.540723419E1,1.204534912E1
7.015479164E-2,-7.299484253E0,4.529458618E1,1.226624298E1
8.014779165E-2,-8.231529236E0,4.521070862E1,1.248837280E1
9.013979166E-2,-9.351554871E0,4.490876007E1,1.262657166E1
1.001327916E-1,-1.042610168E1,4.450028992E1,1.269512177E1
1.101257916E-1,-1.161628723E1,4.417236328E1,1.313588715E1
1.201177916E-1,-1.268762970E1,4.381710052E1,1.342552185E1
1.301107917E-1,-1.356771851E1,4.359003067E1,1.413528442E1
1.401037917E-1,-1.393280029E1,4.315768814E1,1.448894501E1
1.500957917E-1,-1.398838043E1,4.287580109E1,1.530041504E1
1.600887916E-1,-1.398838043E1,4.287580109E1,1.530041504E1
1.700817916E-1,-1.357635498E1,4.279404449E1,1.590511322E1
1.800737916E-1,-1.262322235E1,4.283727646E1,1.643813324E1
1.900667917E-1,-1.130366516E1,4.294439697E1,1.691214752E1
2.000597916E-1,-9.853012085E0,4.332509232E1,1.709841919E1
2.100517916E-1,-8.501663208E0,4.356932449E1,1.732153320E1
2.200447916E-1,-7.321868896E0,4.366182327E1,1.730948639E1
2.300377917E-1,-6.526336670E0,4.373374557E1,1.728155518E1
2.400297917E-1,-6.161857605E0,4.406629181E1,1.760157013E1
2.500227916E-1,-6.259613037E0,4.389251328E1,1.733618164E1
2.600157916E-1,-6.414909363E0,4.388911057E1,1.731385040E1
2.700077916E-1,-6.787078857E0,4.394557190E1,1.683310699E1
2.800007917E-1,-6.993003845E0,4.404083633E1,1.662784576E1
2.899937917E-1,-7.058525085E0,4.430054855E1,1.624149323E1
2.999857917E-1,-7.031837463E0,4.434785080E1,1.581839752E1
3.099787916E-1,-6.732826233E0,4.475182343E1,1.514164734E1
3.199717916E-1,-6.318489075E0,4.493626404E1,1.461022186E1
3.299637916E-1,-6.051536560E0,4.517243195E1,1.396954346E1
3.399569583E-1,-5.810447693E0,4.528335571E1,1.370609283E1
3.499499583E-1,-5.747230530E0,4.533305740E1,1.326096344E1
3.599419583E-1,-5.725112915E0,4.535381699E1,1.323554993E1
3.699349583E-1,-5.574867249E0,4.523390579E1,1.341035461E1
3.799279583E-1,-5.534881592E0,4.499562836E1,1.410853577E1
3.899199583E-1,-5.275459290E0,4.469213486E1,1.532051849E1
3.999129583E-1,-5.032096863E0,4.408039474E1,1.645526886E1
4.099059583E-1,-4.809555054E0,4.374605179E1,1.777363586E1
4.198979583E-1,-4.809555054E0,4.374605179E1,1.777363586E1
4.298909583E-1,-4.414840698E0,4.331832886E1,1.909523010E1
4.398839583E-1,-3.953361511E0,4.299201584E1,2.024245453E1
4.498759583E-1,-3.470603943E0,4.245561600E1,2.117188263E1
4.598689583E-1,-2.813934326E0,4.212726212E1,2.193405914E1
4.698619583E-1,-2.142257690E0,4.180463791E1,2.244191742E1
4.798539583E-1,-1.333747864E0,4.152007294E1,2.289131927E1
4.898469583E-1,-6.644592285E-1,4.118612671E1,2.366099548E1
4.998399583E-1,-2.106323242E-1,4.104800797E1,2.387628937E1
5.098319583E-1,-6.732177734E-2,4.084747696E1,2.458342743E1
5.198249583E-1,1.165771484E-2,4.048999786E1,2.495838928E1
5.298179583E-1,-1.057739258E-1,4.037216568E1,2.529415131E1
5.398099583E-1,-3.751678467E-1,4.035788345E1,2.537356567E1
5.498029583E-1,-6.278152466E-1,4.036270523E1,2.528234863E1
5.597959583E-1,-1.051902771E0,4.026121521E1,2.507532501E1
5.697879583E-1,-1.329452515E0,4.029186630E1,2.510314941E1
5.797809583E-1,-1.897239685E0,4.014511490E1,2.539284515E1
5.897739583E-1,-2.207649231E0,4.010330582E1,2.545623779E1
5.997659583E-1,-2.630302429E0,3.997764969E1,2.511900330E1
6.097589583E-1,-2.878196716E0,4.001185608E1,2.529048920E1
6.197519583E-1,-3.079467773E0,3.998774338E1,2.538265228E1
6.297439583E-1,-3.171356201E0,3.997064209E1,2.540431976E1
6.397369583E-1,-3.189407349E0,3.987461472E1,2.554002380E1
6.497299583E-1,-3.056640625E0,3.986177063E1,2.564213562E1
6.597219583E-1,-3.035995483E0,3.983029938E1,2.563237000E1
6.697149583E-1,-2.782234192E0,3.989163208E1,2.579521179E1
6.797079583E-1,-2.782234192E0,3.989163208E1,2.579521179E1
6.896999583E-1,-2.559692383E0,3.977153397E1,2.596015930E1
6.996929583E-1,-2.150947571E0,3.963745117E1,2.601100922E1
7.096859583E-1,-1.972526550E0,3.944655228E1,2.636125946E1
7.196779583E-1,-1.811988831E0,3.937341309E1,2.649530792E1
7.296709583E-1,-1.801239014E0,3.910977936E1,2.672822571E1
7.396639583E-1,-1.866172791E0,3.882572937E1,2.719207001E1
7.496559583E-1,-1.825645447E0,3.867522049E1,2.759203339E1
7.596489583E-1,-1.469306946E0,3.882295609E1,2.752705383E1
7.696419583E-1,-1.163383484E0,3.922489166E1,2.716407013E1
7.796339583E-1,-9.006042480E-1,4.019289398E1,2.557875061E1
7.896269583E-1,-1.026351929E0,4.090781021E1,2.416086578E1
7.996199583E-1,-1.408645630E0,4.173698807E1,2.252874756E1
