"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.304414583E-1,1.006936375E-2,-3.020214848E-2,1.013339497E-4
7.404544584E-1,-9.330166504E-3,-2.152503841E-2,-2.672474366E-4
7.504664583E-1,-1.462040097E-2,-1.282980107E-2,1.161779743E-3
7.604784584E-1,-1.396845933E-2,-9.395921603E-3,2.429177985E-3
7.704904582E-1,-5.845788866E-3,-4.346762784E-3,3.276824020E-3
7.805034583E-1,1.373483613E-2,6.452621892E-3,1.855494920E-3
7.905154584E-1,2.680533193E-2,1.506464742E-2,1.162362751E-3
8.005274583E-1,2.647057362E-2,2.013184316E-2,2.553332131E-3
8.105394584E-1,1.275189873E-2,1.332454570E-2,2.698461059E-3
8.205514583E-1,-8.022593101E-4,5.789398216E-3,6.019955501E-3
8.305644584E-1,-7.359295618E-3,3.074829932E-3,7.115326822E-3
8.405764583E-1,-6.352354307E-3,1.178603061E-2,1.238305867E-2
8.505884584E-1,1.047839597E-2,3.605266660E-2,1.448435709E-2
8.606004582E-1,2.394706570E-2,6.255911291E-2,1.513550058E-2
8.706134583E-1,1.919405535E-2,7.093713433E-2,1.317622513E-2
8.806254584E-1,1.082746871E-2,6.965775043E-2,1.234957948E-2
8.906374583E-1,4.469201434E-3,6.963095814E-2,1.187677868E-2
9.006494584E-1,3.619120689E-3,6.768818200E-2,1.069460250E-2
9.106614583E-1,7.456635125E-3,7.798488438E-2,1.133737527E-2
9.206744584E-1,1.432972122E-2,9.221068770E-2,9.963983670E-3
9.306864582E-1,2.660166658E-2,1.018956900E-1,7.759532891E-3
9.406984583E-1,2.839317545E-2,1.060249209E-1,5.904641002E-3
9.507104584E-1,2.821837179E-2,1.013882086E-1,2.486625686E-3
9.607234583E-1,3.050895594E-2,9.656309336E-2,-6.409130991E-3
9.707354584E-1,2.247659862E-2,1.021327302E-1,-9.560292587E-3
9.807474583E-1,1.348550059E-2,1.101730838E-1,-1.657239534E-2
9.907594584E-1,1.856827922E-2,1.316641420E-1,-1.991516165E-2
1.000771458E0,3.172349930E-2,1.567969322E-1,-2.689290978E-2
1.010784458E0,3.602573648E-2,1.752453446E-1,-3.356029838E-2
1.020796458E0,2.680853568E-2,1.900288165E-1,-3.967171907E-2
1.030808458E0,1.018687431E-2,1.985540390E-1,-4.288524389E-2
1.040820458E0,-4.450391512E-3,2.017618120E-1,-4.168948531E-2
1.050833458E0,-7.578641176E-3,1.974526793E-1,-3.519494832E-2
1.060845458E0,1.065979712E-3,1.922856122E-1,-2.612927929E-2
1.070857458E0,6.259081885E-3,1.852429360E-1,-2.044351958E-2
1.080869458E0,3.950387705E-3,1.761916578E-1,-1.453316770E-2
1.090881458E0,-5.978947040E-3,1.702229232E-1,-9.350287728E-3
1.100894458E0,-8.718540892E-3,1.680606902E-1,-3.701456822E-3
1.110906458E0,5.171514582E-3,1.671153456E-1,2.895878162E-3
1.120918458E0,1.466115657E-2,1.556453854E-1,8.953504264E-3
1.130930458E0,1.227005385E-3,1.236947551E-1,1.281763799E-2
1.140943458E0,-1.360946521E-2,7.447501272E-2,1.523845084E-2
1.150955458E0,-1.964948513E-2,2.249580249E-2,1.321063004E-2
1.160967458E0,-1.363553293E-2,-9.648284875E-3,4.299161024E-3
1.170979458E0,-2.292800136E-2,-1.556754671E-2,-8.963533677E-3
1.180992458E0,-3.919032961E-2,7.133770268E-3,-3.472056240E-2
1.191004458E0,-4.789983109E-2,6.426058710E-2,-6.358831376E-2
1.201016458E0,-4.108852893E-2,1.602451652E-1,-8.840684593E-2
1.211028458E0,-3.273888677E-2,2.785084546E-1,-1.199793667E-1
1.221040458E0,-3.855203465E-2,3.808167279E-1,-1.570351124E-1
1.231053458E0,-6.339618564E-2,4.441793263E-1,-1.868925989E-1
1.241065458E0,-7.683050632E-2,4.545230269E-1,-2.109326869E-1
1.251077458E0,-6.606085598E-2,4.251359701E-1,-2.212621272E-1
1.261089458E0,-4.174698889E-2,3.667573631E-1,-2.251410186E-1
1.271102458E0,-1.332070585E-2,3.012632132E-1,-2.167445123E-1
1.281114458E0,8.240778930E-3,2.509699166E-1,-2.125638723E-1
1.291126458E0,3.009416908E-2,2.203060538E-1,-2.065368742E-1
1.301138458E0,4.900314286E-2,2.238853425E-1,-1.964179277E-1
1.311150458E0,8.962175250E-2,2.597142458E-1,-1.853403598E-1
1.321163458E0,1.364275962E-1,3.271894455E-1,-1.866386533E-1
1.331175458E0,1.622315794E-1,4.012786150E-1,-1.849906892E-1
1.341187458E0,1.463926882E-1,4.493907392E-1,-1.965938210E-1
1.351199458E0,1.088136882E-1,4.708203077E-1,-2.127982676E-1
1.361212083E0,8.006193489E-2,4.665763080E-1,-2.237358689E-1
1.371224083E0,6.887059659E-2,4.350605011E-1,-2.261457741E-1
1.381236083E0,5.109772459E-2,3.832023442E-1,-2.215132117E-1
1.391248083E0,2.651441470E-2,2.970564961E-1,-2.221837491E-1
1.401260083E0,-3.254665993E-3,2.091423720E-1,-2.097390741E-1
1.411273083E0,-2.502613701E-2,1.445887238E-1,-1.989794374E-1
1.421285083E0,-3.598717228E-2,1.212578341E-1,-1.887100339E-1
1.431297083E0,-3.490403667E-2,1.144668758E-1,-1.771221757E-1
1.441309083E0,-2.648924664E-2,1.087575853E-1,-1.585082710E-1
1.451322083E0,-2.007015795E-2,1.101776287E-1,-1.427488029E-1
1.461334083E0,-2.956778929E-2,1.217671707E-1,-1.199196652E-1
1.471346083E0,-4.619657248E-2,1.131685972E-1,-9.284112602E-2
1.481358083E0,-6.095181778E-2,7.293568552E-2,-6.296178699E-2
1.491370083E0,-7.776381820E-2,2.863957547E-3,-3.292297944E-2
1.501383083E0,-1.159098744E-1,-7.962612808E-2,-1.511260634E-3
1.511395083E0,-1.839690059E-1,-1.363845021E-1,2.765012532E-2
1.521407083E0,-2.871880829E-1,-1.376100928E-1,5.385456234E-2
1.531419083E0,-4.335031509E-1,-8.520223200E-2,5.417141691E-2
1.541432083E0,-6.242304444E-1,1.693878137E-2,6.340592355E-2
1.551444083E0,-8.025892973E-1,1.369647235E-1,9.203208238E-2
1.561456083E0,-9.220973253E-1,2.228085250E-1,1.384989023E-1
1.571468083E0,-9.712603688E-1,2.376180142E-1,1.704251915E-1
1.581480083E0,-9.653087258E-1,1.813630015E-1,1.991630942E-1
1.591493083E0,-9.110235572E-1,4.900016636E-2,2.222365439E-1
1.601505083E0,-8.489868045E-1,-1.460036933E-1,2.478827834E-1
1.611517083E0,-8.166188598E-1,-2.948513031E-1,2.681083977E-1
1.621529083E0,-8.156563640E-1,-3.230957091E-1,3.250577152E-1
1.631542083E0,-8.182739615E-1,-1.963156015E-1,3.821510673E-1
1.641554083E0,-7.991673350E-1,4.898363352E-2,3.902561367E-1
1.651566083E0,-7.531585097E-1,3.357706368E-1,3.635891378E-1
1.661578083E0,-6.647042632E-1,5.576537251E-1,3.275485933E-1
1.671590083E0,-5.422457457E-1,6.417496800E-1,3.053242564E-1
1.681603083E0,-4.091598392E-1,5.579730272E-1,2.997941971E-1
1.691615083E0,-3.209316432E-1,3.220565915E-1,3.186958134E-1
1.701627083E0,-3.022381365E-1,1.233732887E-2,3.562580943E-1
1.711639083E0,-3.675358891E-1,-2.133121789E-1,3.890702426E-1
1.721652083E0,-4.254279435E-1,-2.688742280E-1,4.028472900E-1
1.731664083E0,-3.671343625E-1,-1.570173651E-1,4.185731411E-1
1.741676083E0,-1.868104190E-1,7.197774947E-2,4.687665403E-1
1.751688083E0,3.513737023E-2,2.794167101E-1,5.106713772E-1
1.761701083E0,2.010376602E-1,3.418063223E-1,5.379743576E-1
1.771713083E0,2.610256076E-1,2.352023721E-1,5.636235476E-1
1.781725083E0,2.583693862E-1,2.052363753E-2,5.724636316E-1
1.791737083E0,2.458753288E-1,-1.630010754E-1,5.667726398E-1
1.801749083E0,2.524080575E-1,-2.034062892E-1,5.454236269E-1
1.811762083E0,2.764051259E-1,-8.559153974E-2,5.092251897E-1
1.821774083E0,2.954573929E-1,1.326981783E-1,4.662756324E-1
1.831786083E0,2.970267832E-1,3.626089394E-1,4.170249403E-1
1.841798083E0,3.080999553E-1,5.630381703E-1,3.699450493E-1
1.851810083E0,3.655742705E-1,7.724826336E-1,3.239395320E-1
1.861823083E0,4.612089396E-1,9.910740852E-1,2.691085041E-1
1.871835083E0,5.599222779E-1,1.149821281E0,2.145287246E-1
1.881847083E0,6.310340166E-1,1.226773024E0,1.579900831E-1
1.891859083E0,6.870737672E-1,1.241115928E0,7.935619354E-2
1.901872083E0,7.204905748E-1,1.195765734E0,-2.256164700E-2
1.911884083E0,6.899147034E-1,1.141451478E0,-1.325192004E-1
1.921896083E0,6.042211056E-1,1.114562869E0,-2.395865321E-1
1.931908083E0,5.108184814E-1,1.115645885E0,-3.215591311E-1
1.941921083E0,4.317519069E-1,1.118765235E0,-3.536265194E-1
1.951933083E0,3.661802411E-1,1.115347266E0,-3.394324780E-1
1.961945083E0,3.065842986E-1,1.081494927E0,-3.251091838E-1
1.971957083E0,2.823159397E-1,1.029039264E0,-3.305324912E-1
1.981969083E0,3.318006694E-1,9.992938638E-1,-3.623372912E-1
1.991982083E0,4.048445523E-1,9.796625972E-1,-4.310816824E-1
2.001994083E0,4.743541479E-1,9.500352144E-1,-5.070132017E-1
2.012006083E0,4.890645444E-1,8.445792794E-1,-6.064518094E-1
2.022018083E0,4.326470792E-1,6.458007097E-1,-7.207278013E-1
2.032031083E0,3.424929380E-1,4.108128250E-1,-8.252847791E-1
2.042043083E0,2.700903714E-1,2.354295254E-1,-8.820993304E-1
2.052055083E0,2.312481105E-1,1.585596204E-1,-8.826175928E-1
2.062067083E0,2.374298424E-1,2.090004236E-1,-8.664940596E-1
2.072079083E0,2.829364538E-1,3.339411914E-1,-8.375096321E-1
