"Time (s)","X (hPa)"
8.447991829E1,1.014483490E3
8.548638629E1,1.014478760E3
8.649284629E1,1.014473953E3
8.749938129E1,1.014472961E3
8.850597329E1,1.014469299E3
8.885615929E1,1.014468384E3
8.992978429E1,1.014466553E3
9.100347029E1,1.014465714E3
9.207711929E1,1.014465714E3
9.315081029E1,1.014466934E3
9.422449929E1,1.014470978E3
9.529823329E1,1.014473724E3
9.637195529E1,1.014475555E3
9.744567929E1,1.014475555E3
9.851932229E1,1.014473038E3
9.959293629E1,1.014472733E3
1.006665353E2,1.014471893E3
1.017401433E2,1.014471436E3
1.028137083E2,1.014471436E3
1.038873233E2,1.014474106E3
1.049609963E2,1.014474411E3
1.060346073E2,1.014474564E3
1.071082223E2,1.014475250E3
1.081818783E2,1.014475250E3
1.092555313E2,1.014473953E3
1.103291953E2,1.014472046E3
1.114028363E2,1.014467163E3
1.124764553E2,1.014462128E3
1.135500993E2,1.014458084E3
1.146237143E2,1.014455643E3
1.156973563E2,1.014453354E3
1.167709983E2,1.014453278E3
1.178446623E2,1.014453125E3
1.189183263E2,1.014453125E3
1.199919553E2,1.014453125E3
1.210656063E2,1.014452896E3
1.221392683E2,1.014452896E3
1.232129173E2,1.014455032E3
1.242865533E2,1.014458618E3
1.253601553E2,1.014462128E3
1.264338233E2,1.014468842E3
1.275074513E2,1.014475403E3
1.285810873E2,1.014478607E3
1.296546823E2,1.014481049E3
1.307283003E2,1.014481125E3
1.318019753E2,1.014481049E3
1.328757123E2,1.014475784E3
1.339494133E2,1.014472733E3
1.350230453E2,1.014465332E3
1.360966923E2,1.014457092E3
1.371702863E2,1.014447403E3
1.382438243E2,1.014440002E3
1.393173763E2,1.014434967E3
1.403909943E2,1.014434967E3
1.414646103E2,1.014440460E3
1.425382643E2,1.014448853E3
1.436119583E2,1.014461060E3
1.446856433E2,1.014470596E3
1.457593203E2,1.014480743E3
1.468329863E2,1.014485779E3
1.479066653E2,1.014488297E3
1.489802993E2,1.014488297E3
1.500539233E2,1.014487381E3
1.511275643E2,1.014484940E3
1.522012453E2,1.014484940E3
1.532749283E2,1.014490128E3
1.543486543E2,1.014491806E3
1.554223623E2,1.014499664E3
1.564961013E2,1.014502716E3
1.575698743E2,1.014502716E3
