"Time (s)","X (hPa)"
9.918299388E1,1.015187073E3
1.001831309E2,1.015209579E3
1.011832359E2,1.015209579E3
1.021833369E2,1.015209579E3
1.025413709E2,1.015212173E3
1.036081479E2,1.015212173E3
1.046749319E2,1.015218887E3
1.057417729E2,1.015218887E3
1.068085759E2,1.015220642E3
1.078754019E2,1.015220642E3
1.089422049E2,1.015220642E3
1.100090169E2,1.015221329E3
1.110758179E2,1.015221710E3
1.121425869E2,1.015222549E3
1.132093239E2,1.015224838E3
1.142761529E2,1.015227966E3
1.153429839E2,1.015228577E3
1.164097799E2,1.015228577E3
1.174765749E2,1.015229111E3
1.185433839E2,1.015230484E3
1.196101899E2,1.015230789E3
1.206770009E2,1.015230789E3
1.217438309E2,1.015231400E3
1.228106549E2,1.015231857E3
1.238775209E2,1.015231857E3
1.249443709E2,1.015232239E3
1.260112179E2,1.015231857E3
1.270780109E2,1.015228806E3
1.281448379E2,1.015227203E3
1.292116529E2,1.015223618E3
1.302784569E2,1.015221252E3
1.313452399E2,1.015221024E3
1.324119839E2,1.015220261E3
1.334788069E2,1.015220261E3
1.345455589E2,1.015217743E3
1.356123659E2,1.015217743E3
1.366791999E2,1.015217743E3
1.377460099E2,1.015210266E3
1.388128369E2,1.015193253E3
1.410127187E2,1.015150757E3
1.420128677E2,1.015153503E3
1.430130247E2,1.015156326E3
1.440131957E2,1.015207443E3
1.450133907E2,1.015210953E3
1.465010290E2,1.015104370E3
1.475011610E2,1.015114822E3
1.485012770E2,1.015125275E3
1.495014170E2,1.015182114E3
1.505015720E2,1.015190506E3
1.518812457E2,1.015212860E3
1.528814087E2,1.015230560E3
1.538815797E2,1.015248337E3
1.548816927E2,1.015259247E3
1.558817967E2,1.015260391E3
1.562397927E2,1.015260391E3
1.573065447E2,1.015259171E3
1.583733177E2,1.015248413E3
1.594400727E2,1.015247955E3
1.605069047E2,1.015247955E3
1.615736837E2,1.015251617E3
1.626404987E2,1.015252228E3
1.637072907E2,1.015253296E3
1.647740807E2,1.015253677E3
1.658408457E2,1.015253677E3
1.669076567E2,1.015254745E3
1.679744327E2,1.015260468E3
1.690412297E2,1.015260468E3
1.701080487E2,1.015260468E3
1.711749067E2,1.015254364E3
1.722417457E2,1.015247803E3
1.733085547E2,1.015241241E3
1.743753417E2,1.015238495E3
1.754421787E2,1.015234146E3
1.765090387E2,1.015233307E3
1.775757987E2,1.015231552E3
