"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.183837501E-2,-2.833280331E0,4.439270443E-1,-2.675310491E0
2.183237497E-2,-3.254302662E0,3.334082365E-2,-3.032167232E0
3.182537499E-2,-3.404310349E0,-7.172796983E-1,-3.325615597E0
4.181837500E-2,-3.297846293E0,-1.714841001E0,-3.433112563E0
5.181137496E-2,-3.131188367E0,-2.765302649E0,-3.462667315E0
6.180437497E-2,-3.105747132E0,-3.553003873E0,-3.414448836E0
7.179737499E-2,-3.199251127E0,-4.319194361E0,-3.274809140E0
8.179037500E-2,-3.364272417E0,-5.002620435E0,-2.999558480E0
9.178337496E-2,-3.735865310E0,-5.026432051E0,-2.615686433E0
1.017763750E-1,-3.872513278E0,-4.290803790E0,-1.951857303E0
1.117693750E-1,-2.996250125E0,-3.290103117E0,-1.136612769E0
1.217623750E-1,-1.601013254E0,-2.841078470E0,-7.787533768E-1
1.317553750E-1,-2.696764364E-1,-2.795113508E0,-1.381027991E0
1.417483750E-1,1.114758289E0,-2.603366350E0,-1.797750426E0
1.517413750E-1,2.357817791E0,-2.112490257E0,-2.128469528E0
1.617343750E-1,3.348421492E0,-1.556555704E0,-2.050376455E0
1.717283750E-1,3.585424053E0,-1.255718797E0,-9.761938226E-1
1.817213750E-1,3.608545698E0,-1.159667755E0,6.233400857E-1
1.917143750E-1,4.365754862E0,-1.205293579E0,2.080221813E0
2.017073750E-1,4.992080244E0,-1.204708858E0,2.814813362E0
2.117003750E-1,6.198024033E0,-1.273597829E0,1.990310347E0
2.216933750E-1,7.570605283E0,-1.547507722E0,8.131035760E-2
2.316863750E-1,7.085246038E0,-1.647042536E0,-8.167202251E-1
2.416793750E-1,6.005520830E0,-2.166355977E0,-7.879039769E-1
2.516723750E-1,6.017115859E0,-1.401923747E0,5.556600264E-1
2.616653750E-1,6.389822062E0,3.564567912E-1,2.234499721E0
2.716583750E-1,5.524434146E0,1.605717924E0,3.922678295E0
