"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.901625015E-3,-2.271676025E0,-9.110654297E0,-7.481442261E-1
8.091374999E-3,-2.803819427E0,-9.218879242E0,-9.825567627E-1
1.808537496E-2,-3.297043762E0,-9.623936920E0,-1.308429108E0
2.807837498E-2,-3.527115326E0,-1.037028488E1,-1.581910400E0
3.807137499E-2,-3.495830383E0,-1.136526581E1,-1.682052155E0
4.806437501E-2,-3.389551392E0,-1.241518250E1,-1.716480560E0
5.805737496E-2,-3.405119019E0,-1.320464081E1,-1.684596863E0
6.805037498E-2,-3.522924042E0,-1.397538803E1,-1.575024719E0
7.804337499E-2,-3.708987122E0,-1.466680023E1,-1.350042572E0
8.803637500E-2,-4.123325500E0,-1.470167770E1,-1.042282562E0
9.802937496E-2,-4.331392822E0,-1.397838181E1,-4.766088867E-1
1.080223750E-1,-3.544030151E0,-1.299013687E1,2.218386841E-1
1.180153750E-1,-2.237097931E0,-1.255424332E1,4.402345276E-1
1.280083750E-1,-9.773176575E-1,-1.252325775E1,-3.329077148E-1
1.380013750E-1,3.665876770E-1,-1.234872070E1,-9.584568787E-1
1.479943750E-1,1.611099701E0,-1.187630310E1,-1.539847870E0
1.579873750E-1,2.649190979E0,-1.133697464E1,-1.749412079E0
1.679813750E-1,2.972967682E0,-1.104657852E1,-9.846524048E-1
1.779743750E-1,3.116219788E0,-1.095212494E1,3.047662354E-1
1.879673750E-1,4.021537170E0,-1.098984650E1,1.463656311E0
1.979603750E-1,4.814887390E0,-1.097113541E1,1.908381500E0
2.079533750E-1,6.207441559E0,-1.100825821E1,7.768844604E-1
2.179463750E-1,7.773784332E0,-1.123084534E1,-1.476828918E0
2.279393750E-1,7.437733154E0,-1.125778931E1,-2.752027130E0
2.379323750E-1,6.438710632E0,-1.168919220E1,-3.103945312E0
2.479253750E-1,6.483317871E0,-1.083192490E1,-2.107766876E0
2.579183750E-1,6.883136444E0,-8.983718262E0,-7.241940308E-1
2.679113750E-1,6.066734161E0,-7.655081177E0,7.321275330E-1
2.779043750E-1,4.645290070E0,-7.627987518E0,2.007026367E0
2.878973750E-1,3.067271576E0,-8.489895172E0,2.652184753E0
2.978903750E-1,8.006849670E-1,-9.478140106E0,3.011886749E0
3.078833750E-1,-5.128335571E-1,-9.957742767E0,1.659000092E0
3.178763750E-1,-1.393003235E0,-1.038839722E1,-1.193318481E0
3.278703750E-1,-2.190694427E0,-1.073223221E1,-2.693049774E0
3.378633750E-1,-2.396516418E0,-1.058074722E1,-1.703457642E0
3.478563750E-1,-2.083517303E0,-1.022074585E1,-2.556683350E-1
3.578493750E-1,-1.399439850E0,-9.617799683E0,6.682104492E-1
3.678423750E-1,-7.960446167E-1,-8.681496735E0,4.722679138E-1
3.778353750E-1,-2.234852600E-1,-7.761509857E0,-2.634521484E-1
3.878283750E-1,1.022373962E-1,-7.219037933E0,-6.084846497E-1
3.978213750E-1,6.643185425E-1,-6.869514771E0,-6.697073364E-1
4.078143750E-1,1.357527008E0,-6.531367950E0,-5.572911072E-1
4.178073750E-1,1.919757843E0,-6.009852448E0,-3.445834351E-1
4.278003750E-1,2.418820038E0,-5.334157562E0,-2.137554932E-1
4.377933750E-1,2.782563629E0,-4.955894165E0,-3.788621521E-1
4.477863750E-1,3.156336365E0,-4.661755829E0,-7.375163269E-1
4.577793750E-1,3.774700470E0,-4.133055267E0,-1.246308289E0
4.677723750E-1,3.943699036E0,-3.752247162E0,-1.633103943E0
4.777653750E-1,3.755839691E0,-3.782334595E0,-1.779649200E0
4.877583750E-1,3.293600922E0,-4.176614685E0,-1.908830566E0
4.977513750E-1,2.352957001E0,-4.989424438E0,-2.102378082E0
5.077453750E-1,1.572180634E0,-6.058800659E0,-2.567760315E0
5.177383750E-1,1.441801758E0,-6.909481659E0,-3.314707031E0
5.277313750E-1,1.450483704E0,-7.559579773E0,-4.223916321E0
5.377243750E-1,1.189127197E0,-8.421637115E0,-5.150489502E0
5.477173750E-1,1.205892334E0,-9.437873840E0,-6.077212372E0
5.577103750E-1,1.402882690E0,-1.072205338E1,-6.957831116E0
5.677033750E-1,1.626068573E0,-1.201775894E1,-8.247549133E0
5.776963750E-1,1.699715424E0,-1.313743057E1,-1.080617844E1
5.876893750E-1,-5.703140259E-2,-1.369187759E1,-1.305899368E1
5.976823750E-1,-1.851948853E0,-1.328098206E1,-1.270857239E1
6.076753750E-1,-2.355202332E0,-1.205592957E1,-1.012165192E1
6.176683750E-1,-2.158810730E0,-1.089584198E1,-6.846163330E0
6.276613750E-1,-1.781595154E0,-1.025861710E1,-4.238136749E0
6.376543750E-1,-2.066901855E0,-1.043465103E1,-3.126847687E0
6.476473750E-1,-2.180365906E0,-1.103789658E1,-3.354075165E0
6.576413750E-1,-1.540596313E0,-1.205907303E1,-4.472399597E0
6.676343750E-1,-1.604663086E-1,-1.422402100E1,-5.176086273E0
6.776273750E-1,2.677482147E0,-1.793106216E1,-1.144370270E0
6.876203750E-1,5.858367462E0,-2.069207062E1,3.676354980E0
6.976133750E-1,5.645360413E0,-1.809916260E1,4.532125397E0
7.076063750E-1,3.364403687E0,-1.464823883E1,2.719993744E0
7.175992916E-1,1.027164001E0,-1.246353195E1,1.132993927E0
7.275922917E-1,2.112107849E-1,-9.487570496E0,5.926176453E-1
7.375852917E-1,8.137078857E-1,-6.241720276E0,6.909631348E-1
7.475782916E-1,2.083816681E0,-4.496798859E0,7.694000244E-1
7.575712916E-1,2.138003998E0,-3.694617004E0,5.565426636E-1
7.675642917E-1,1.333726501E0,-3.114573212E0,2.327659607E-1
7.775572917E-1,4.957690430E-1,-2.816093903E0,2.812651062E-1
7.875502916E-1,3.918850708E-1,-3.068618774E0,6.306385803E-1
7.975432916E-1,1.299298096E0,-5.229974213E0,8.192463684E-1
8.075362917E-1,2.775528259E0,-8.792715454E0,9.776170349E-1
8.175292917E-1,3.833677826E0,-1.162737076E1,1.069226532E0
8.275232916E-1,3.894152069E0,-1.316317703E1,1.380728760E0
8.375162916E-1,3.779490509E0,-1.373558670E1,1.306632843E0
8.475092917E-1,3.325484619E0,-1.317964279E1,1.669178925E0
8.575022917E-1,2.639610901E0,-1.157542877E1,2.257904663E0
8.674952916E-1,2.283800812E0,-9.470655670E0,2.287093964E0
8.774882916E-1,1.895807648E0,-8.103398895E0,2.152074738E0
8.874812917E-1,1.627715149E0,-8.306376801E0,1.847757568E0
8.974742917E-1,1.157093811E0,-8.729995880E0,1.265318756E0
9.074672916E-1,6.773414612E-1,-9.025481415E0,9.919871521E-1
9.174602916E-1,2.746788025E-1,-9.203461304E0,8.346643066E-1
9.274532917E-1,-9.639953613E-2,-9.262588348E0,5.438191223E-1
9.374462917E-1,-6.411167908E-1,-9.352401581E0,3.112028503E-1
9.474392916E-1,-1.104253693E0,-9.523645477E0,2.158511353E-1
9.574322916E-1,-1.342707825E0,-9.793384552E0,5.418731689E-2
9.674252917E-1,-1.500180359E0,-1.001926483E1,-1.466949463E-2
9.774182917E-1,-1.492246857E0,-1.016970200E1,9.280700684E-2
9.874112916E-1,-1.617236938E0,-9.936636658E0,2.142045593E-1
9.974052917E-1,-2.126777344E0,-9.485025787E0,3.417393494E-1
1.007398292E0,-2.618504791E0,-9.094338226E0,3.125500488E-1
1.017391292E0,-2.938090210E0,-8.741222534E0,1.522334290E-1
1.027384292E0,-3.078348541E0,-8.711434479E0,6.721023560E-2
1.037377292E0,-3.399131470E0,-8.761280823E0,3.906875610E-2
1.047370292E0,-3.590134277E0,-8.670120392E0,8.090675354E-1
1.057363292E0,-3.777544556E0,-8.707542572E0,7.593708801E-1
1.067356292E0,-4.062252502E0,-9.134454803E0,-1.807491302E0
1.077349292E0,-4.437671814E0,-9.572893066E0,-5.455854492E0
1.087342292E0,-4.446952515E0,-9.410480804E0,-1.001282822E1
1.097335292E0,-3.821553040E0,-9.230854340E0,-1.087743027E1
1.107328292E0,-3.801644440E0,-9.366771698E0,-7.466772766E0
1.117321292E0,-4.506828003E0,-1.005354355E1,-3.515888672E0
1.127314292E0,-4.633764038E0,-1.045291306E1,-1.811233521E-2
1.137307292E0,-4.497996368E0,-1.041623932E1,2.446213074E0
1.147300292E0,-4.451892242E0,-1.023870850E1,2.901416473E0
1.157294292E0,-4.233496399E0,-1.010099487E1,2.232756958E0
1.167287292E0,-3.646267548E0,-1.003602997E1,1.283281403E0
1.177280292E0,-3.051105194E0,-1.007030869E1,1.438508606E-1
1.187273292E0,-2.498604126E0,-1.007869125E1,-1.012943573E0
1.197266292E0,-2.274520111E0,-1.040890457E1,-1.931433563E0
1.207259292E0,-2.109263763E0,-1.112860794E1,-2.249821472E0
1.217252292E0,-1.545685730E0,-1.199994598E1,-2.064656525E0
1.227245292E0,-1.216370544E0,-1.288864792E1,-1.701212311E0
1.237238292E0,-1.226250000E0,-1.373648483E1,-9.834548950E-1
1.247231292E0,-1.662442932E0,-1.420381302E1,3.016227722E-1
1.257224292E0,-2.147883453E0,-1.413226181E1,3.832031250E-1
1.267217292E0,-3.064726868E0,-1.347183517E1,1.583706665E-1
1.277210292E0,-3.063229980E0,-1.290271866E1,3.156935120E-1
1.287203292E0,-2.554587708E0,-1.298908905E1,-1.496887207E-2
1.297196292E0,-2.516117706E0,-1.328681992E1,-6.719526672E-1
1.307189292E0,-1.309626617E0,-1.266157013E1,-7.050338745E-1
1.317182292E0,2.613565063E-1,-1.185759201E1,-5.402265930E-1
1.327176292E0,1.620979156E0,-1.147917892E1,-1.883084106E-1
1.337169292E0,2.072440338E0,-1.191447372E1,4.781057739E-1
1.347162292E0,2.822829895E0,-1.240410553E1,1.634900208E0
1.357155292E0,3.625011749E0,-1.246053818E1,3.029550018E0
1.367148292E0,4.801265717E0,-1.242670853E1,3.988605652E0
1.377141292E0,5.656587067E0,-1.175774963E1,2.277214508E0
1.387134292E0,6.448141022E0,-1.133547775E1,-1.316212921E0
1.397127292E0,6.579418030E0,-1.110465775E1,-3.073857880E0
1.407120292E0,5.560935974E0,-1.180340469E1,-3.751049652E0
1.417113292E0,5.425317993E0,-1.222492813E1,-4.010310516E0
1.427106292E0,6.937623138E0,-1.094808334E1,-1.817969513E0
1.437099292E0,6.430328064E0,-9.362131348E0,2.935395813E-1
1.447092292E0,4.431235199E0,-8.018974457E0,1.695075073E0
1.457085292E0,2.921774139E0,-7.800428925E0,2.917283478E0
1.467078292E0,2.622995453E0,-8.446186066E0,1.628613281E0
1.477071292E0,3.722758484E-1,-9.279353485E0,5.140310669E-1
1.487064292E0,-1.879940643E0,-1.052012329E1,4.487667847E-1
1.497058292E0,-4.033212891E0,-1.239198074E1,4.745132446E-1
1.507051292E0,-3.554807739E0,-1.285182449E1,-1.876198425E0
1.517044292E0,-1.378483429E0,-1.179038177E1,-2.196382599E0
1.527037292E0,-5.986051941E-1,-1.062445633E1,-1.270108795E0
1.537030292E0,-5.490582275E-1,-9.626781006E0,-7.132667542E-1
1.547023292E0,-3.342549133E-1,-8.642427979E0,-3.466790771E-1
1.557016292E0,2.079176331E-1,-7.720195770E0,-4.834945679E-2
1.567009292E0,1.159937897E0,-6.650520172E0,-2.351609802E-1
1.577002292E0,2.064057770E0,-5.248834991E0,-4.731660461E-1
